N	2gram	Ircho_Kome_1	Vvedenie
1	и т	9	42
2	т д	4	36
3	т е	13	35
4	и в	22	32
5	в том	11	31
6	в этом	3	30
7	может быть	9	26
8	том что	12	26
9	не только	10	22
10	для того	1	21
11	того чтобы	1	20
12	таким образом	8	19
13	также и	1	18
14	то что	2	16
15	потому что	5	15
16	так как	4	15
17	не может	2	14
18	в нем	4	13
19	в самом	2	13
20	со стороны	2	13
21	о том	8	13
22	как на	1	12
23	того что	1	12
24	и не	8	12
25	только в	3	12
26	в их	4	12
27	в его	5	12
28	в общем	1	12
29	представляет собой	1	12
30	как мы	4	11
31	ясно что	4	11
32	в данном	1	11
33	что в	6	10
34	по себе	1	9
35	между тем	5	9
36	в той	1	9
37	в истории	5	9
38	то же	6	9
39	но в	4	9
40	этого рода	1	9
41	как об	1	9
42	и как	3	9
43	не менее	3	8
44	не в	6	8
45	а только	1	8
46	тем не	2	8
47	именно в	4	8
48	с другой	5	8
49	но не	2	7
50	все же	3	7
51	вопрос о	3	7
52	прежде всего	5	7
53	точки зрения	4	7
54	в применении	1	7
55	смысле этого	1	7
56	дело с	1	7
57	было бы	2	7
58	к выводу	1	7
59	можно было	1	7
60	же время	4	6
61	вовсе не	2	6
62	сих пор	2	6
63	до сих	2	6
64	с тем	1	6
65	его в	3	6
66	но и	11	6
67	и даже	5	6
68	как и	9	6
69	и его	8	6
70	в качестве	4	6
71	н э	3	6
72	в то	10	6
73	хотя бы	1	6
74	как он	1	6
75	один из	5	6
76	в руки	1	6
77	тем что	4	6
78	представить себе	1	6
79	не могут	1	6
80	все это	5	6
81	до н	2	6
82	и это	1	6
83	из этих	1	6
84	применении к	1	6
85	одним из	1	5
86	данном случае	1	5
87	и тем	2	5
88	т п	5	5
89	на этот	1	5
90	иное как	1	5
91	об этом	1	5
92	так что	1	5
93	но если	1	5
94	а как	1	5
95	в целом	3	5
96	сказать что	1	5
97	вместе с	2	5
98	в течение	3	5
99	по своему	3	5
100	в них	3	5
101	другой стороны	5	5
102	могут быть	3	5
103	в которых	1	5
104	быть в	1	5
105	в г	11	5
106	уже в	5	5
107	так например	1	5
108	как бы	1	5
109	в себе	2	4
110	еще не	2	4
111	во всяком	2	4
112	и для	1	4
113	отношению к	3	4
114	еще и	2	4
115	и ее	3	4
116	как раз	3	4
117	независимо от	2	4
118	в виде	3	4
119	как это	3	4
120	а в	6	4
121	в тексте	1	4
122	с этой	1	4
123	что он	6	4
124	это только	1	4
125	только что	2	4
126	что иное	1	4
127	по отношению	3	4
128	на вопрос	1	4
129	речь в	1	4
130	нельзя не	2	4
131	всяком случае	2	4
132	в и	2	4
133	даже и	1	4
134	о чем	1	4
135	времени и	2	4
136	в каждом	1	4
137	в особенности	1	4
138	одной стороны	3	4
139	в котором	4	4
140	с одной	3	4
141	этом отношении	3	4
142	не что	1	4
143	и что	1	4
144	той же	1	4
145	что могло	1	4
146	должен был	1	4
147	или иначе	1	4
148	так или	1	4
149	е в	2	4
150	материал для	1	3
151	в в	4	3
152	и вот	4	3
153	говорить о	1	3
154	на том	1	3
155	так же	3	3
156	при этом	5	3
157	может служить	1	3
158	гораздо более	1	3
159	с понятием	1	3
160	к нему	2	3
161	в конце	6	3
162	что это	1	3
163	работы в	1	3
164	греции и	2	3
165	ответа на	1	3
166	в одном	8	3
167	что уже	1	3
168	ответ на	1	3
169	совсем не	2	3
170	но все	1	3
171	в начале	3	3
172	что же	1	3
173	одной из	3	3
174	в области	2	3
175	отношение к	3	3
176	до нас	5	3
177	на этой	1	3
178	культуры в	1	3
179	к тому	6	3
180	мы видели	2	3
181	как две	1	3
182	хотя и	3	3
183	и других	7	3
184	во второй	3	3
185	и к	1	3
186	за собой	1	3
187	в чем	3	3
188	в сущности	2	3
189	да и	3	3
190	или меньшей	1	3
191	такого рода	6	3
192	так называемых	1	3
193	на основании	3	3
194	этой области	1	3
195	чтобы понять	1	3
196	в этой	7	3
197	в этих	1	3
198	которых не	1	3
199	что и	4	3
200	и на	3	3
201	однако не	1	3
202	до конца	2	3
203	в результате	4	3
204	на этом	2	3
205	в известном	2	3
206	как целое	1	3
207	однако в	3	3
208	в частности	3	3
209	а также	4	3
210	в каком	1	3
211	то это	1	3
212	в ней	1	3
213	из наиболее	2	3
214	к этому	4	3
215	что она	1	3
216	со всей	1	3
217	и уже	1	3
218	как будто	2	3
219	большей или	1	3
220	из них	10	3
221	об отношении	2	3
222	в основании	1	3
223	в своем	1	3
224	том же	1	2
225	по тем	1	2
226	о которых	5	2
227	каждый из	3	2
228	отсюда и	1	2
229	в ряде	1	2
230	все более	3	2
231	и здесь	2	2
232	в значительной	1	2
233	и с	3	2
234	следует что	1	2
235	бы в	1	2
236	с полной	1	2
237	в другом	4	2
238	конце концов	4	2
239	жизни и	1	2
240	того же	2	2
241	в более	3	2
242	уже знаем	1	2
243	не к	2	2
244	в этот	1	2
245	по времени	1	2
246	для них	2	2
247	так и	5	2
248	при жизни	1	2
249	до того	1	2
250	с ней	1	2
251	говоря уже	2	2
252	из двух	1	2
253	это еще	2	2
254	и сама	1	2
255	это в	1	2
256	если это	1	2
257	которая как	1	2
258	мы не	3	2
259	и другие	1	2
260	второй половине	2	2
261	действительности к	1	2
262	это однако	2	2
263	как следует	1	2
264	во всех	1	2
265	образом по	1	2
266	и те	1	2
267	в форме	2	2
268	казалось бы	3	2
269	до наших	1	2
270	по его	1	2
271	такого же	1	2
272	нашего времени	1	2
273	собой в	1	2
274	его к	1	2
275	на протяжении	4	2
276	в принципе	2	2
277	по возможности	1	2
278	культурной жизни	1	2
279	не мог	3	2
280	нуждается в	1	2
281	iv в	5	2
282	было сказано	1	2
283	в силу	2	2
284	к действительности	1	2
285	но зато	1	2
286	о которой	1	2
287	у них	1	2
288	из его	4	2
289	из которых	2	2
290	д все	1	2
291	после этого	1	2
292	в дальнейшем	1	2
293	в до	2	2
294	мог бы	2	2
295	именно на	2	2
296	у нас	3	2
297	не говоря	2	2
298	понять что	1	2
299	идет речь	1	2
300	поэтов и	1	2
301	что к	2	2
302	что нет	1	2
303	в отношении	6	2
304	с этим	1	2
305	и сам	3	2
306	только на	1	2
307	которые были	1	2
308	ничего не	3	2
309	наших дней	1	2
310	так называемая	1	2
311	в соответствии	1	2
312	по меньшей	2	2
313	тому как	1	2
314	ее от	1	2
315	не могли	1	2
316	и др	1	2
317	для этого	2	2
318	одна из	2	2
319	мы уже	1	2
320	этого слова	1	2
321	будто бы	2	2
322	же как	3	2
323	от того	1	2
324	них не	1	2
325	же самое	2	2
326	того как	3	2
327	или нет	1	2
328	тому что	1	2
329	критики и	1	2
330	бы с	1	2
331	соответствии с	1	2
332	несмотря на	4	2
333	же касается	1	2
334	в каждой	1	2
335	подобно тому	1	2
336	само собой	1	2
337	мы можем	4	2
338	еще при	1	2
339	по существу	1	2
340	нам не	1	2
341	познания и	1	2
342	не следует	2	2
343	чем же	2	2
344	из числа	3	2
345	должна была	2	2
346	время не	1	2
347	хотя в	1	2
348	говорит он	1	2
349	это уже	1	2
350	из того	1	2
351	по содержанию	3	2
352	в разной	1	2
353	состоит в	1	2
354	меньшей мере	2	2
355	от которых	1	2
356	античной культуры	1	2
357	ближе к	1	2
358	но это	2	2
359	этому времени	1	2
360	что по	2	1
361	если и	1	1
362	и из	2	1
363	его от	1	1
364	не могла	1	1
365	любовь к	1	1
366	одну из	2	1
367	может и	1	1
368	всю ее	1	1
369	уже о	2	1
370	дошедших до	3	1
371	время была	1	1
372	в примечаниях	1	1
373	это особенно	1	1
374	из чего	1	1
375	с самого	1	1
376	им как	1	1
377	не означает	1	1
378	на его	5	1
379	отношении к	1	1
380	прием как	1	1
381	чтобы в	1	1
382	о ней	1	1
383	время и	2	1
384	за исключением	3	1
385	из дошедших	1	1
386	но он	2	1
387	в предисловии	1	1
388	бы на	1	1
389	человеческой личности	1	1
390	форме не	1	1
391	был первым	1	1
392	сам по	1	1
393	бы то	2	1
394	и сообщений	1	1
395	как надо	1	1
396	в древности	2	1
397	в сообщениях	1	1
398	к концу	1	1
399	не была	1	1
400	на которые	2	1
401	принято считать	1	1
402	после смерти	3	1
403	заинтересованных в	1	1
404	к этим	3	1
405	половине iv	1	1
406	потребность в	1	1
407	в настоящем	2	1
408	уже выше	1	1
409	после того	3	1
410	же собственно	1	1
411	и тот	1	1
412	в далеком	1	1
413	только при	2	1
414	и все	3	1
415	в стороне	1	1
416	на то	3	1
417	на эту	1	1
418	не по	1	1
419	говорить в	1	1
420	наконец в	1	1
421	значительное место	1	1
422	это конечно	1	1
423	каким был	1	1
424	зрения должен	1	1
425	становится возможным	1	1
426	к которому	3	1
427	всем что	1	1
428	дает нам	1	1
429	под этим	1	1
430	и трудно	1	1
431	оказывались в	1	1
432	с двумя	1	1
433	этой точки	1	1
434	особенно важно	1	1
435	он поставил	1	1
436	объяснение в	1	1
437	можно только	1	1
438	и без	2	1
439	не дает	1	1
440	платона в	2	1
441	что на	1	1
442	в ходе	1	1
443	во главе	1	1
444	иначе его	1	1
445	согласно которой	1	1
446	убедиться в	1	1
447	с известным	1	1
448	то в	1	1
449	правда в	2	1
450	к изданию	1	1
451	высшего расцвета	1	1
452	каким образом	1	1
453	в эту	1	1
454	и была	1	1
455	указывает сам	1	1
456	связей и	1	1
457	места и	1	1
458	с критикой	2	1
459	из всего	2	1
460	путь к	2	1
461	мере не	1	1
462	который был	1	1
463	здесь в	3	1
464	только один	2	1
465	способы ее	1	1
466	именно так	1	1
467	его также	1	1
468	превращается в	1	1
469	в тех	3	1
470	слова и	1	1
471	зрения на	1	1
472	мере две	1	1
473	том каким	1	1
474	содержания и	1	1
475	совершенно не	1	1
476	из него	1	1
477	представления в	1	1
478	в каком-нибудь	1	1
479	судя по	2	1
480	раз в	2	1
481	это были	2	1
482	следовательно и	1	1
483	в обоих	1	1
484	европейской культуры	1	1
485	и очень	1	1
486	должны были	8	1
487	на самом	1	1
488	еще более	1	1
489	к своему	1	1
490	своим собственным	1	1
491	говорится в	1	1
492	относительно которых	1	1
493	и можно	2	1
494	жизнь и	1	1
495	этим и	2	1
496	для нужд	1	1
497	это ясно	1	1
498	в дополнение	1	1
499	видно из	2	1
500	во-вторых и	1	1
501	глубокого кризиса	1	1
502	а уж	1	1
503	материалом для	1	1
504	и прежде	1	1
505	по адресу	14	1
506	от времени	1	1
507	и после	1	1
508	и этику	1	1
509	ни одной	2	1
510	всегда и	1	1
511	столько раз	1	1
512	они не	1	1
513	как в	5	1
514	чаще всего	3	1
515	одного из	6	1
516	это потребность	1	1
517	больше всего	1	1
518	культуры и	1	1
519	отличие от	2	1
520	ее в	2	1
521	последний вопрос	1	1
522	для исследования	2	1
523	можно говорить	1	1
524	войны в	2	1
525	в латинской	1	1
526	что у	2	1
527	были в	2	1
528	к новым	1	1
529	основная мысль	1	1
530	что из	1	1
531	в самых	1	1
532	которые он	2	1
533	то ни	2	1
534	в литературе	1	1
535	что иной	1	1
536	или по	2	1
537	предисловии к	1	1
538	следует только	1	1
539	и своим	1	1
540	же рода	1	1
541	остановиться на	1	1
542	в поисках	1	1
543	и о	3	1
544	во всем	1	1
545	зависимости от	1	1
546	а между	1	1
547	тому же	6	1
548	бы только	1	1
549	и потому	1	1
550	что они	4	1
551	в гг	3	1
552	вв в	2	1
553	мог не	1	1
554	очевидно что	1	1
555	цельную картину	1	1
556	а с	1	1
557	а и	1	1
558	он был	2	1
559	его из	1	1
560	и художественного	1	1
561	как один	1	1
562	из которой	1	1
563	его современников	1	1
564	в изображении	1	1
565	да рядом	1	1
566	и за	1	1
567	наряду с	2	1
568	перед собой	1	1
569	к сфере	1	1
570	к целому	1	1
571	или менее	2	1
572	это было	1	1
573	у платона	1	1
574	действительности дело	1	1
575	что все	1	1
576	из самых	1	1
577	образом в	2	1
578	во время	5	1
579	поводу того	1	1
580	более или	1	1
581	ко всему	1	1
582	идей и	1	1
583	в зависимости	1	1
584	на те	2	1
585	ни было	2	1
586	у него	3	1
587	а к	2	1
588	он в	1	1
589	всех отношениях	1	1
590	а наоборот	1	1
591	что именно	1	1
592	и имел	1	1
593	только одна	1	1
594	они должны	1	1
595	чтобы не	1	1
596	для себя	2	1
597	впрочем не	1	1
598	исторических условиях	1	1
599	в таком	1	1
600	в которой	6	1
601	которые и	1	1
602	слова о	2	1
603	в отличие	1	1
604	к одной	1	1
605	месте в	1	1
606	и этим	1	1
607	г и	3	1
608	ли это	2	1
609	автора в	1	1
610	с большой	1	1
611	надо сказать	1	1
612	сведения о	1	1
613	также что	1	1
614	похожи на	1	1
615	первой половине	2	1
616	явления в	1	1
617	различия между	1	1
618	человека к	1	1
619	государства и	1	1
620	в действительности	2	1
621	самые разнообразные	1	1
622	согласуется и	2	1
