N	2gram	Vinokur_Ku_1	TeoriaLi
1	не только	10	18
2	в качестве	7	17
3	тогда как	2	16
4	и не	12	16
5	я в	1	16
6	а в	5	14
7	состоит в	3	13
8	и в	24	13
9	в частности	4	13
10	так и	7	12
11	может быть	13	12
12	в этом	14	11
13	при этом	6	11
14	в том	30	11
15	но не	5	10
16	и его	5	10
17	а не	8	10
18	то же	8	9
19	в его	12	9
20	по отношению	8	8
21	своего рода	1	8
22	сводится к	3	8
23	но и	6	8
24	отношению к	9	8
25	что в	17	8
26	отличие от	1	7
27	в себе	3	7
28	том что	21	7
29	точки зрения	14	7
30	в отличие	1	7
31	в то	2	7
32	во второй	1	7
33	только в	11	7
34	себя в	1	7
35	как это	3	7
36	в данном	4	7
37	еще не	5	6
38	с его	4	6
39	но в	2	6
40	лишь в	2	6
41	же время	2	6
42	как бы	7	6
43	мы имеем	6	5
44	в рамках	4	5
45	в своем	3	5
46	в самом	10	5
47	роли в	2	5
48	он не	2	5
49	того или	4	5
50	как и	2	5
51	не в	11	5
52	однако в	1	5
53	тем самым	4	5
54	а а	3	5
55	в нем	4	5
56	в ее	1	5
57	в пределах	4	5
58	или иной	3	5
59	а также	1	5
60	между тем	5	5
61	и одновременно	1	5
62	уже не	8	5
63	не случайно	6	5
64	с другой	7	5
65	как в	4	5
66	или иного	3	5
67	в искусстве	1	5
68	между ними	2	5
69	по преимуществу	2	4
70	говорить о	1	4
71	как правило	1	4
72	отношение к	1	4
73	субъекта и	1	4
74	хотя и	3	4
75	по пути	1	4
76	всего лишь	1	4
77	то что	9	4
78	ни в	2	4
79	в слове	2	4
80	в ходе	1	4
81	в своей	2	4
82	в их	3	4
83	или менее	3	4
84	не столько	2	4
85	не менее	7	4
86	можно сказать	3	4
87	в конечном	1	4
88	в форме	1	4
89	за пределами	1	4
90	но он	1	4
91	и а	2	4
92	в свою	3	4
93	не знает	1	4
94	сказать что	1	4
95	не может	7	4
96	более или	3	4
97	и то	3	3
98	например в	5	3
99	что можно	2	3
100	а только	8	3
101	в сторону	2	3
102	не все	2	3
103	а всего	1	3
104	в акте	1	3
105	перед нами	1	3
106	со своей	1	3
107	все эти	6	3
108	в нашем	1	3
109	в этой	3	3
110	он должен	1	3
111	и вот	1	3
112	и по	1	3
113	его в	1	3
114	этом смысле	3	3
115	мог бы	1	3
116	и сам	1	3
117	в этих	4	3
118	тем не	4	3
119	никогда не	2	3
120	как раз	8	3
121	потому что	23	3
122	той или	1	3
123	свою очередь	3	3
124	другой стороны	6	3
125	и что	5	3
126	того что	9	3
127	а с	3	3
128	для него	1	3
129	слова в	1	3
130	на почве	1	3
131	именно в	6	3
132	нового времени	1	3
133	прежде всего	9	3
134	в соответствии	3	3
135	и потому	4	3
136	по своему	1	3
137	этого слова	3	3
138	к которому	3	3
139	объекта и	1	3
140	таким образом	12	3
141	или в	2	3
142	отношении к	1	3
143	речи и	5	3
144	я и	1	2
145	была бы	3	2
146	того же	4	2
147	это и	4	2
148	тех или	1	2
149	на деле	1	2
150	и больше	1	2
151	к собственной	1	2
152	собою в	1	2
153	на себя	3	2
154	я не	2	2
155	в целом	4	2
156	в сочетании	1	2
157	в чем	1	2
158	но как	1	2
159	в стихе	1	2
160	что они	4	2
161	как говорит	1	2
162	данный момент	1	2
163	как к	1	2
164	в противном	1	2
165	и как	2	2
166	в которой	6	2
167	так или	2	2
168	но на	1	2
169	с языком	2	2
170	противном случае	1	2
171	к одному	1	2
172	в году	1	2
173	или иных	1	2
174	без исключения	1	2
175	одно и	1	2
176	не следует	1	2
177	об этом	1	2
178	это не	7	2
179	и иных	1	2
180	и тем	2	2
181	к какому-либо	2	2
182	соответствии с	3	2
183	вовсе не	10	2
184	и того	2	2
185	иначе говоря	2	2
186	одного и	2	2
187	сочетании с	1	2
188	с точки	9	2
189	от себя	2	2
190	в имени	1	2
191	по себе	2	2
192	даже в	3	2
193	литературы как	1	2
194	и притом	1	2
195	дело не	2	2
196	не могло	1	2
197	только не	1	2
198	казалось бы	3	2
199	слова как	3	2
200	как будто	1	2
201	и для	2	2
202	в стилистическом	1	2
203	не ограничивается	1	2
204	здесь не	3	2
205	в организации	1	2
206	в себя	1	2
207	роль в	4	2
208	не с	3	2
209	к его	1	2
210	мы в	1	2
211	если бы	9	2
212	в виду	5	2
213	и здесь	3	2
214	о том	9	2
215	е о	2	2
216	времени в	1	2
217	это было	2	2
218	во всех	1	2
219	или иначе	2	2
220	однако с	1	2
221	во втором	2	2
222	соединении с	1	2
223	в литературе	1	2
224	тот или	1	2
225	с одной	1	2
226	этом что	1	2
227	в большинстве	2	2
228	в прозе	1	2
229	в конце	1	2
230	в структуре	2	2
231	стилистическом отношении	1	2
232	и даже	3	2
233	со стороны	4	2
234	в данный	1	2
235	в области	7	2
236	а именно	2	2
237	перед ним	1	2
238	себя и	1	2
239	одной стороны	1	2
240	а на	2	2
241	не на	4	2
242	человеческой жизни	1	2
243	знания о	2	2
244	о чем	2	2
245	вместе с	7	2
246	так же	4	2
247	к жизни	2	2
248	в той	5	2
249	могут быть	1	2
250	и позволяет	1	2
251	к тому	5	2
252	собственно говоря	1	2
253	жизни в	1	2
254	поскольку не	1	2
255	что он	6	2
256	культуры в	1	2
257	в роли	1	2
258	только к	2	1
259	можно говорить	2	1
260	также что	1	1
