N	4gram	Medvedev_V_1	StatiiOP
1	одном из писем к	2	2
2	в одном из писем	2	2
3	в известном письме к	1	2
4	уже о том что	1	1
5	не имеет ничего общего	1	1
6	по его собственному признанию	1	1
7	говоря уже о том	1	1
8	дело не в том	1	1
9	горя от ума и	1	1
10	одно и то же	1	1
11	в своем рассказе о	1	1
12	иметь в виду что	1	1
13	и в ту же	1	1
14	и вместе с тем	1	1
15	говорит о том что	1	1
16	не в том что	2	1
17	понимать в том смысле	1	1
18	в том смысле что	1	1
19	в то же время	5	1
20	в ту же ночь	1	1
21	имеет ничего общего с	1	1
22	в том же духе	1	1
23	не говоря уже о	1	1
