N	3gram	Propp_Russ_2	formyVre
1	как мы уже	1	8
2	для того чтобы	6	5
3	и в других	4	4
4	в то время	2	3
5	в этом отношении	1	3
6	может быть только	2	3
7	не может быть	3	3
8	с одной стороны	2	2
9	так же как	4	2
10	как и в	1	2
11	может быть и	1	2
12	в том что	18	2
13	же как и	2	2
14	в отличие от	3	2
15	все то что	1	2
16	дело в том	1	2
17	вместе с тем	4	2
18	но и в	1	2
19	на другой день	2	2
20	то время как	1	2
21	на третий день	1	1
22	в том же	1	1
23	о том что	4	1
24	но все это	1	1
25	тех случаях когда	1	1
26	в этот день	10	1
27	как мы увидим	1	1
28	в это время	1	1
29	в другом месте	1	1
30	и в этом	1	1
31	к выводу что	1	1
32	то увидим что	1	1
33	всякой связи с	1	1
34	буквальном смысле этого	1	1
35	в этом случае	6	1
36	и в том	1	1
37	бросается в глаза	2	1
38	но она не	2	1
39	но вместе с	2	1
40	том что в	1	1
41	не имеет существенного	1	1
42	одном ряду с	1	1
43	совершенно иной характер	1	1
44	имеет существенного значения	1	1
45	в тех случаях	1	1
46	или во всяком	1	1
47	то же значение	1	1
48	смысле этого слова	1	1
49	не только на	1	1
50	в виду что	1	1
51	в данном случае	6	1
52	а как раз	1	1
53	в этом и	2	1
54	по существу не	1	1
55	кроме того в	2	1
56	тогда когда они	1	1
57	для нас не	1	1
58	не входит в	1	1
59	мы уже знаем	1	1
60	этим объясняется и	1	1
61	в одном ряду	1	1
62	во всех этих	1	1
63	во всяком случае	1	1
64	в свою очередь	1	1
65	с тем и	1	1
