N	3gram	Vygotskiy__3	VrazhdaK
1	и все же	1	5
2	имел в виду	1	3
3	с точки зрения	9	2
4	и что в	1	2
5	как раз в	1	2
6	не может быть	1	2
7	в том что	11	2
8	и в ней	1	1
9	а между тем	1	1
10	в комментариях к	1	1
11	которые до сих	1	1
12	до сих пор	5	1
13	в мировой литературе	1	1
14	в той же	1	1
15	не было бы	1	1
16	в этом отношении	1	1
17	все же в	2	1
18	и то что	3	1
19	может быть и	1	1
20	одно и то	2	1
21	речь идет не	1	1
22	но и это	1	1
23	о том как	2	1
24	в высшей степени	1	1
25	и то же	2	1
26	и в этом	3	1
27	а с другой	1	1
28	каждый из них	1	1
29	не только как	1	1
30	во всяком случае	2	1
31	что у него	2	1
32	с другой стороны	5	1
33	как бы в	1	1
34	что в этой	2	1
35	заключается в том	6	1
36	в то время	2	1
37	в свою очередь	2	1
38	что в ней	1	1
39	о том что	3	1
40	и в самом	10	1
41	не только не	1	1
42	он как бы	1	1
43	на то что	12	1
44	речь идет о	3	1
