N	3gram	Vygotskiy__2	VrazhdaK
1	то же время	2	4
2	в то же	2	4
3	в связи с	1	3
4	он не только	1	2
5	с точки зрения	10	2
6	и что в	2	2
7	не может быть	8	2
8	в том что	17	2
9	а между тем	1	1
10	это то что	2	1
11	мыслей и чувств	1	1
12	в этом смысле	1	1
13	до сих пор	5	1
14	и не может	2	1
15	при этом он	1	1
16	не было бы	1	1
17	в этом отношении	5	1
18	точно так же	3	1
19	только при помощи	1	1
20	но и как	1	1
21	по крайней мере	1	1
22	и то что	2	1
23	одно и то	1	1
24	речь идет не	1	1
25	не имеет никаких	1	1
26	но и это	1	1
27	о том как	1	1
28	идет не об	1	1
29	едва ли не	1	1
30	так же как	4	1
31	и что он	1	1
32	в высшей степени	1	1
33	в конце концов	3	1
34	и то же	1	1
35	но при этом	1	1
36	а с другой	1	1
37	каждый из них	2	1
38	что он сам	1	1
39	все же не	1	1
40	он сказал что	1	1
41	во всяком случае	2	1
42	с другой стороны	2	1
43	связи с этим	1	1
44	тем не менее	4	1
45	что в этой	2	1
46	заключается в том	10	1
47	в то время	3	1
48	в свою очередь	2	1
49	о том что	4	1
50	и никогда не	2	1
51	и в самом	4	1
52	не только не	1	1
53	с помощью которых	1	1
54	следует искать в	1	1
55	на то что	6	1
56	то что они	1	1
57	цель которой он	1	1
58	что для нас	1	1
