N	3gram	Propp_Isto_5	KFilosof
1	по отношению к	2	21
2	не может быть	3	11
3	с точки зрения	1	10
4	в нем и	3	3
5	на самом деле	1	3
6	но и здесь	1	3
7	может быть в	1	3
8	но это уже	1	2
9	в соответствии с	1	2
10	и все эти	1	2
11	здесь мы имеем	3	2
12	во всех этих	1	2
13	то же время	1	2
14	вопрос о том	1	2
15	в то же	1	2
16	тем не менее	4	2
17	в том что	2	2
18	а не в	1	2
19	сводится к следующему	1	1
20	это уже не	2	1
21	на то что	2	1
22	всех этих случаях	1	1
23	отражается и в	1	1
24	потому что в	1	1
25	а с точки	1	1
26	он не может	2	1
27	себя в нем	1	1
28	только в том	1	1
29	не знать что	1	1
30	в зависимости от	1	1
31	со всем что	1	1
32	ведь это не	1	1
33	но не было	1	1
34	но это не	2	1
35	вместе с тем	6	1
36	и тем не	1	1
37	в непосредственной близости	1	1
38	вокруг него в	1	1
39	здесь мы видим	1	1
40	не превращается в	3	1
41	том смысле в	1	1
42	должен быть признан	1	1
43	на задний план	1	1
44	в иной мир	6	1
45	место это не	1	1
46	в одном случае	1	1
47	с ним и	1	1
48	не в том	1	1
49	конечно не может	1	1
50	во всяком случае	1	1
51	для того чтобы	3	1
52	что может быть	1	1
53	в свою очередь	1	1
54	само по себе	1	1
55	и тем самым	1	1
56	не было ни	1	1
57	и не потому	1	1
58	в том смысле	1	1
59	в себя как	1	1
60	все что есть	1	1
61	это может быть	1	1
62	дело не в	1	1
63	или в виде	1	1
64	мы имеем здесь	2	1
65	ясно что это	1	1
66	что и в	2	1
67	и входит в	1	1
68	только тогда когда	1	1
69	по которой он	1	1
70	на том что	2	1
