N	4gram	Losev_Vlad_3	StatiiOP
1	дело в том что	4	4
2	в то же время	2	4
3	не имеет ничего общего	2	2
4	на то что в	1	2
5	заключается в том что	1	2
6	имеет ничего общего с	2	2
7	в том что в	3	2
8	том смысле как мы	1	1
9	в этой области можно	1	1
10	что бы то ни	2	1
11	само собой разумеется что	1	1
12	и в то же	2	1
13	только в том случае	3	1
14	в то время как	2	1
15	так или иначе но	1	1
16	и в данном случае	1	1
17	точно так же и	1	1
18	тем не менее и	1	1
19	в том что он	1	1
20	во что бы то	2	1
21	до сих пор не	1	1
22	так же как и	1	1
23	только с точки зрения	1	1
24	в том смысле как	1	1
25	в том что и	1	1
26	также и то что	2	1
27	бы то ни стало	2	1
28	свидетельствует о том что	2	1
