N	2gram	Vinokur_Vv_1	UchenyiS
1	и в	27	14
2	а не	3	10
3	не только	21	10
4	прежде всего	8	8
5	и не	13	8
6	не может	13	7
7	вот почему	3	7
8	в этом	34	7
9	то что	17	7
10	может быть	24	6
11	то же	8	5
12	все это	6	5
13	хотя бы	5	5
14	перестает быть	1	5
15	с другой	8	4
16	но и	5	4
17	что такое	10	4
18	в их	11	4
19	в конечном	1	4
20	в россии	1	4
21	в этой	3	4
22	то ни	1	3
23	вряд ли	2	3
24	и то	5	3
25	это не	8	3
26	было бы	5	3
27	как и	5	3
28	для этого	3	3
29	в частности	3	3
30	в своей	4	3
31	и т.д	4	3
32	бы то	1	3
33	очевидно что	1	3
34	этой области	3	3
35	в то	5	3
36	все же	8	3
37	но в	10	3
38	истории литературы	3	3
39	не следует	2	3
40	же время	5	3
41	в области	4	3
42	у нас	2	3
43	другой стороны	5	3
44	для него	1	3
45	не как	3	3
46	ни было	1	3
47	как такового	2	3
48	что все	1	2
49	а между	1	2
50	крайней мере	4	2
51	именно как	3	2
52	одним из	5	2
53	и с	2	2
54	материала и	1	2
55	до сих	5	2
56	а как	3	2
57	это было	1	2
58	самом деле	6	2
59	художественных произведений	2	2
60	должна быть	2	2
61	к области	1	2
62	превращается в	1	2
63	мы не	2	2
64	о чем	4	2
65	на эту	1	2
66	если бы	2	2
67	что мы	2	2
68	как метода	1	2
69	ничего не	2	2
70	не столько	2	2
71	если не	1	2
72	должна была	2	2
73	том что	26	2
74	материал для	3	2
75	этого термина	2	2
76	меньшей степени	1	2
77	литературы и	1	2
78	надо было	2	2
79	в широком	7	2
80	нам представляется	1	2
81	но не	7	2
82	в сторону	1	2
83	в противовес	1	2
84	в его	10	2
85	по крайней	4	2
86	по существу	2	2
87	что и	3	2
88	по себе	9	2
89	конце концов	2	2
90	сих пор	5	2
91	но это	1	2
92	этом смысле	11	2
93	в том	31	2
94	тех или	3	2
95	это уже	1	2
96	и для	4	2
97	что он	4	2
98	в себе	4	2
99	искусства как	1	2
100	в самом	12	2
101	неудивительно что	1	2
102	между тем	8	2
103	и у	1	2
104	только в	13	2
105	не в	8	2
106	и является	1	2
107	вопроса о	1	2
108	в системе	1	2
109	не есть	4	2
110	этом отношении	3	2
111	или иных	3	2
112	его и	1	2
113	бы и	2	2
114	не могут	5	2
115	могут быть	4	2
116	в конце	3	2
117	смысле этого	8	2
118	же самое	2	2
119	как раз	4	2
120	тем что	6	2
121	что она	3	2
122	таким образом	19	2
123	даже и	3	2
124	для себя	1	1
125	и это	6	1
126	области в	1	1
127	об этом	5	1
128	же как	3	1
129	искусство и	2	1
130	в этот	2	1
131	человека и	1	1
132	был первым	1	1
133	в виду	4	1
134	деле есть	1	1
135	сам по	1	1
136	значительной мере	1	1
137	входит в	2	1
138	данном случае	5	1
139	или иначе	4	1
140	только при	1	1
141	себе применение	1	1
142	выяснять причины	1	1
143	искусства в	1	1
144	для читателя	1	1
145	есть язык	1	1
146	материалов и	2	1
147	и исторические	1	1
148	и прежде	1	1
149	наука о	3	1
150	или меньшей	2	1
151	метода он	1	1
152	из самых	1	1
153	установка на	1	1
154	или по	1	1
155	и др	2	1
156	поэтов и	2	1
157	слова а	1	1
158	объясняется и	1	1
159	никогда не	3	1
160	так и	1	1
161	по его	2	1
162	одной стороны	4	1
163	той же	4	1
164	целого но	1	1
165	историю литературы	1	1
166	несомненно представляет	1	1
167	этого не	2	1
168	или системой	1	1
169	и лингвистика	1	1
170	отсюда и	2	1
171	до конца	3	1
172	с тем	6	1
173	мы имеем	3	1
174	для начала	1	1
175	и ученики	1	1
176	была уже	1	1
177	при более	1	1
178	об ее	1	1
179	об искусстве	4	1
180	и даже	5	1
181	должно быть	2	1
182	иначе говоря	1	1
183	метода в	1	1
184	можно сказать	3	1
185	смысле и	2	1
186	не вполне	4	1
187	в г	5	1
188	к сумме	1	1
189	к лицу	1	1
190	не исключительно	1	1
191	словесного искусства	1	1
192	искусства и	1	1
193	как искусство	2	1
194	как на	11	1
195	быть оправдано	1	1
196	о том	15	1
197	в ней	3	1
198	сходных с	1	1
199	почти не	1	1
200	в котором	4	1
201	научного анализа	2	1
202	и что	4	1
203	заключенных в	1	1
204	и этого	3	1
205	он был	1	1
206	напр в	1	1
207	в различных	2	1
208	быть в	4	1
209	из которых	2	1
210	в значительной	2	1
211	для первого	1	1
212	чем то	1	1
213	как науки	4	1
214	которых так	1	1
215	все в	1	1
216	в течение	5	1
217	в той	7	1
218	своей работе	1	1
219	не самый	1	1
220	чем к	1	1
221	в данном	11	1
222	что же	3	1
223	не то	1	1
224	бы в	1	1
225	того что	12	1
226	для второго	1	1
227	в которых	6	1
228	эта работа	1	1
229	так возникает	1	1
230	на его	1	1
231	говорит он	2	1
232	это значит	1	1
233	что этот	1	1
234	искусства вообще	1	1
235	нет и	1	1
236	язык в	1	1
237	на то	1	1
238	быть не	1	1
239	течение многих	2	1
240	о принципах	1	1
241	задачи и	1	1
242	еще раз	1	1
243	этом случае	6	1
244	независимо от	3	1
245	так он	1	1
246	впрочем не	1	1
247	литературы как	1	1
248	поэтика и	1	1
249	большей или	2	1
250	в своем	3	1
