N	3gram	Medvedev_V_1	UchenyiS
1	в конечном счете	5	4
2	не может быть	8	4
3	в этой области	3	3
4	в то же	5	3
5	то же время	5	3
6	с другой стороны	8	3
7	в этом смысле	1	2
8	в этом отношении	13	2
9	не могут быть	1	2
10	в художественном творчестве	5	2
11	но даже и	1	2
12	в самом деле	1	2
13	в художественном произведении	4	2
14	в конце концов	2	2
15	до сих пор	1	2
16	в противном случае	2	2
17	хотя бы и	5	2
18	в том что	5	2
19	то же самое	1	2
20	по крайней мере	2	2
21	а между тем	1	2
22	что все они	1	1
23	так или иначе	1	1
24	в значительной мере	3	1
25	может быть в	1	1
26	с одной стороны	2	1
27	в известном письме	1	1
28	в течение многих	1	1
29	содержания и формы	1	1
30	художественное творчество и	1	1
31	мы полагаем что	1	1
32	лирических стихотворений и	1	1
33	и в их	1	1
34	большей или меньшей	3	1
35	в сфере искусства	1	1
36	на предыдущих страницах	1	1
37	приходится признать что	1	1
38	не было бы	4	1
39	более или менее	6	1
40	не только в	2	1
41	достоевского и толстого	1	1
42	свойственна не только	1	1
43	говорить не о	2	1
44	в словесном творчестве	1	1
45	не случайно и	1	1
46	не может обойтись	1	1
47	по меньшей мере	1	1
48	данного произведения в	1	1
49	и в то	3	1
50	но в то	1	1
51	в точном смысле	2	1
52	можно сказать что	4	1
53	все же не	1	1
54	но по существу	1	1
55	равно как и	4	1
56	в процессе художественного	3	1
57	этом отношении очень	1	1
58	другой стороны в	1	1
59	словесного художественного творчества	1	1
60	по его собственному	1	1
61	л толстого и	1	1
62	но не могут	1	1
63	что для него	1	1
64	наивно полагая что	1	1
65	имеем в виду	1	1
66	а не только	1	1
67	в ней не	1	1
68	не в том	2	1
69	произведения как целого	3	1
70	никогда не может	1	1
71	то о чем	1	1
72	в данном случае	1	1
73	в большей или	2	1
74	в этом плане	1	1
75	сводится именно к	1	1
76	или меньшей степени	2	1
77	процессе художественного творчества	3	1
