N	2gram	Voloshinov_1	Mirosoze
1	и в	3	46
2	может быть	1	21
3	не только	1	18
4	и не	1	18
5	для него	1	18
6	но и	1	15
7	не может	4	15
8	а не	1	13
9	в ней	1	11
10	то же	1	5
11	к тому	1	5
12	один из	2	5
13	в его	1	5
14	и все	1	5
15	тому что	1	4
16	и на	1	3
17	он в	1	3
18	в каждом	1	3
19	если бы	1	3
20	и должно	1	3
21	и можно	1	3
22	в центре	2	2
23	достоевского и	2	2
24	точки зрения	1	2
25	связи с	1	2
26	мы видим	1	2
27	ничего кроме	1	2
28	бы в	1	2
29	права и	1	1
30	можно и	1	1
31	если в	2	1
32	нет и	1	1
33	ни один	1	1
34	и социальной	1	1
35	бы на	1	1
36	с точки	1	1
37	на нее	1	1
38	может не	1	1
39	не из	1	1
40	на примере	1	1
41	во второй	1	1
42	ней ничего	1	1
43	форм нет	1	1
