N	3gram	Propp_Isto_4	Problemy
1	не может быть	4	6
2	знаете ли вы	1	3
3	с другой стороны	4	3
4	смысле этого слова	2	2
5	подобно тому как	1	2
6	в этом случае	3	2
7	знает что он	1	2
8	и не может	1	2
9	вместе с тем	1	2
10	друг на друга	1	2
11	как и все	1	2
12	тем что он	2	2
13	остановимся только на	1	2
14	о том что	2	2
15	так и в	2	2
16	тем не менее	2	2
17	в большинстве случаев	1	2
18	мы увидим что	2	2
19	и т д	24	2
20	как мы видели	3	2
21	а затем его	1	1
22	он не мог	1	1
23	и в особенности	1	1
24	бы они были	1	1
25	потому что я	1	1
26	у меня в	1	1
27	до сих пор	5	1
28	и в других	1	1
29	что он не	1	1
30	мы должны признать	1	1
31	потому что у	1	1
32	не только с	1	1
33	за то что	1	1
34	с ними в	1	1
35	от него он	1	1
36	выдает себя за	1	1
37	здесь еще не	1	1
38	и то что	5	1
39	к тому что	1	1
40	в данном случае	3	1
41	и тут же	1	1
42	не случайно он	1	1
43	как будто бы	1	1
44	и с этой	1	1
45	и то же	1	1
46	то что они	1	1
47	в этот момент	1	1
48	может быть и	1	1
49	что даже и	1	1
50	своей основной функции	1	1
51	одно и то	1	1
52	то что он	2	1
53	видели что в	1	1
54	на нее он	1	1
55	случаях когда герой	1	1
56	мы видели что	3	1
57	что же это	1	1
58	из которых каждый	1	1
59	вообще не знает	1	1
60	и вместе с	1	1
61	как и в	1	1
62	но все же	4	1
63	особое место занимает	1	1
64	можно сказать что	1	1
65	но и по	1	1
66	к нему с	1	1
67	на то что	3	1
68	он во время	1	1
69	и во всем	1	1
70	в узком смысле	1	1
71	что и в	1	1
