N	3gram	Nazirov_Tr_1	Myshleni
1	в том что	2	31
2	смысле этого слова	1	7
3	в самом деле	1	6
4	не только не	1	5
5	и то что	1	4
6	о том что	2	3
7	точно так же	2	3
8	по сравнению с	1	3
9	в обоих случаях	1	3
10	во всяком случае	1	3
11	в этом случае	1	3
12	в связи с	1	3
13	не могут быть	1	2
14	в высшей степени	1	2
15	по нашему мнению	1	2
16	на всем протяжении	1	2
17	между этими двумя	2	2
18	в отличие от	2	2
19	в данном случае	2	2
20	может быть в	1	1
21	с самого начала	1	1
22	в самой природе	1	1
23	не может быть	1	1
24	и в частности	2	1
25	с помощью этих	1	1
26	как и в	1	1
27	самой природе вещей	1	1
28	и при этом	1	1
29	две неравные части	1	1
30	в конце концов	1	1
31	и в истории	1	1
32	в той же	1	1
33	к тому что	1	1
34	что он не	1	1
35	ответа на вопрос	1	1
36	и как бы	2	1
37	общепринятый взгляд на	1	1
38	на две неравные	1	1
39	вместо того чтобы	1	1
40	может быть не	1	1
41	на вопрос о	1	1
42	но все же	2	1
43	все же не	1	1
44	это мы видим	1	1
45	понятно что в	1	1
46	том что он	1	1
47	после того как	1	1
48	тем не менее	1	1
49	не только к	1	1
50	имеет в виду	1	1
