N	2gram	Voloshinov_1	VrazhdaK
1	в году	1	18
2	не только	7	9
3	в этом	9	8
4	и в	16	8
5	и что	1	8
6	но и	4	7
7	и все	4	7
8	то что	3	7
9	что в	3	7
10	все же	1	6
11	но в	4	6
12	в нем	4	6
13	как и	2	6
14	и с	8	6
15	о нем	1	6
16	в начале	2	6
17	и даже	4	6
18	то же	2	5
19	у него	2	5
20	и не	4	5
21	в ней	1	4
22	что он	2	4
23	при этом	6	4
24	несмотря на	1	4
25	все это	4	4
26	первая любовь	1	4
27	в виду	1	4
28	с ним	2	4
29	о том	2	4
30	для нас	2	4
31	уже в	1	4
32	может быть	17	4
33	как бы	5	4
34	в своих	1	4
35	так же	2	4
36	я не	1	3
37	он был	1	3
38	в чем	5	3
39	с его	7	3
40	и как	3	3
41	в этот	2	3
42	его в	4	3
43	он не	2	3
44	том что	3	3
45	что есть	1	3
46	и его	8	3
47	связи с	1	3
48	человека в	1	3
49	и о	2	3
50	в его	4	3
51	в том	3	3
52	в конце	1	3
53	в связи	1	3
54	матери и	3	3
55	к этому	2	3
56	отношения к	3	2
57	же как	2	2
58	и то	1	2
59	на место	1	2
60	столь же	1	2
61	но как	2	2
62	отнюдь не	4	2
63	в этой	4	2
64	чувств и	3	2
65	время и	1	2
66	в нашей	1	2
67	их в	3	2
68	нашего времени	2	2
69	таким образом	9	2
70	в мире	1	2
71	в них	2	2
72	а с	1	2
73	мы знаем	3	2
74	на первый	2	2
75	в эту	1	2
76	во время	3	2
77	точки зрения	8	2
78	в своей	2	2
79	и ее	4	2
80	с точки	6	2
81	не менее	2	2
82	одна из	1	2
83	никогда не	2	2
84	в момент	1	2
85	к себе	3	2
86	на это	1	2
87	и это	6	2
88	году в	1	2
89	на основе	2	2
90	еще не	5	2
91	году и	1	2
92	этот момент	1	2
93	и образы	2	2
94	по мнению	1	2
95	об их	1	2
96	с нею	2	2
97	уже не	1	2
98	его и	1	2
99	для него	6	2
100	отношение к	5	2
101	к ним	2	2
102	как раз	1	2
103	и т.п	2	2
104	с которым	1	2
105	не может	8	2
106	вместе с	3	2
107	в него	5	2
108	но это	2	2
109	что я	1	2
110	же в	1	2
111	а в	3	2
112	в период	1	2
113	в свою	1	2
114	это в	1	2
115	как известно	1	1
116	доступ в	2	1
117	человека и	1	1
118	того же	2	1
119	шаг за	1	1
120	это и	1	1
121	и есть	3	1
122	едва ли	3	1
123	по его	1	1
124	полагает что	1	1
125	той же	1	1
126	вот она	1	1
127	пока только	1	1
128	не слишком	1	1
129	говорить о	2	1
130	что мог	1	1
131	а другие	1	1
132	на них	2	1
133	первый план	1	1
134	влияния на	1	1
135	по своему	2	1
136	одним словом	1	1
137	совсем не	2	1
138	но не	1	1
139	о смерти	1	1
140	же на	1	1
141	заметим что	1	1
142	энергии и	1	1
143	и т.д	1	1
144	каком направлении	1	1
145	что они	1	1
146	к сожалению	1	1
147	и чувств	2	1
148	первый взгляд	1	1
149	же с	1	1
150	с этим	2	1
151	дает нам	1	1
152	для всех	4	1
153	некоторое время	1	1
154	как нам	1	1
155	и наконец	4	1
156	не являются	1	1
157	в самом	2	1
158	что это	2	1
159	не был	1	1
160	что же	1	1
161	пользу и	1	1
162	во многих	1	1
163	но ведь	2	1
164	как он	1	1
165	основания предполагать	1	1
166	высшей степени	1	1
167	из него	1	1
168	и этот	2	1
169	однако в	1	1
170	не будет	2	1
171	конечно в	1	1
172	в глубине	1	1
173	это было	1	1
174	было бы	2	1
175	ни разу	1	1
176	задолго до	1	1
177	в итоге	2	1
178	в жизни	2	1
179	не ясно	1	1
180	в высшей	1	1
181	всю жизнь	2	1
182	не всегда	1	1
183	в развитии	2	1
184	нашей статье	1	1
185	одного и	1	1
186	и взял	1	1
187	в этих	3	1
188	и их	4	1
189	всяком случае	3	1
190	вторая часть	1	1
191	его современников	1	1
192	его отношение	1	1
193	сам же	1	1
194	не будем	1	1
195	по крайней	3	1
196	есть еще	1	1
197	не должна	1	1
198	отношения двух	1	1
199	всех их	1	1
200	человека но	1	1
201	не имеет	1	1
202	только не	1	1
203	не лучше	1	1
204	ничего не	1	1
205	и лишь	2	1
206	того в	1	1
207	этом отношении	1	1
208	в каком	2	1
209	среди них	1	1
210	в духе	1	1
211	органическое единство	1	1
212	могут быть	3	1
213	похож на	1	1
214	отличается от	1	1
215	она же	1	1
216	не есть	2	1
217	время сна	1	1
218	ничего общего	1	1
219	он ищет	2	1
220	не совсем	1	1
221	с ее	4	1
222	только при	1	1
223	но мы	4	1
224	роль в	1	1
225	и сам	1	1
226	так и	4	1
227	еще в	1	1
228	именно этот	1	1
229	быть может	2	1
230	и вообще	2	1
231	и эстетический	1	1
232	во всяком	3	1
233	его жизни	1	1
234	до сих	3	1
235	нас в	1	1
236	к нему	1	1
237	во всех	3	1
238	говорить об	1	1
239	во всей	2	1
240	крайней мере	3	1
241	в другой	1	1
242	с большими	1	1
243	и можно	1	1
244	в свете	1	1
245	неожиданно для	1	1
246	человека как	1	1
247	на старом	1	1
248	этом смысле	3	1
249	один из	2	1
250	что только	1	1
251	во всем	1	1
252	назад в	3	1
253	это же	1	1
254	в качестве	1	1
255	себя в	1	1
256	хотя в	1	1
257	а это	1	1
258	в душе	2	1
259	что для	1	1
260	говорит о	1	1
261	искать в	1	1
262	пока не	1	1
263	в известной	1	1
264	в одном	3	1
265	привела к	1	1
266	ее не	1	1
267	от того	1	1
268	с другой	1	1
269	характерно для	2	1
270	прежде всего	9	1
271	на этот	1	1
272	и самый	1	1
273	с помощью	2	1
274	нет ничего	1	1
275	в частности	2	1
276	этот мотив	1	1
277	предположить что	1	1
278	по которой	1	1
279	в свое	2	1
280	и другом	1	1
281	сих пор	3	1
282	в основном	3	1
283	с последним	1	1
284	но какое	1	1
285	и другими	1	1
286	хотя и	1	1
287	еще более	1	1
288	но зато	2	1
289	позволяет нам	1	1
290	только что	1	1
291	лучше ли	1	1
292	и начинается	1	1
293	только как	3	1
294	мы считаем	1	1
295	за шагом	1	1
296	жизни и	3	1
297	которому в	1	1
298	во сне	2	1
299	как на	1	1
300	все что	4	1
301	они не	2	1
