N	2gram	Vinokur_St_3	Hudozhes
1	в качестве	4	19
2	то есть	2	18
3	состоит в	4	16
4	и не	10	16
5	не только	12	15
6	и в	25	15
7	в том	20	15
8	может быть	19	13
9	в частности	1	13
10	и его	3	12
11	а в	6	12
12	но не	2	11
13	в этом	24	11
14	то же	5	10
15	эстетическое отношение	1	10
16	представляет собой	1	10
17	как бы	6	10
18	так и	5	10
19	а не	5	10
20	но и	9	10
21	такого рода	5	9
22	точки зрения	7	9
23	в его	12	9
24	в рамках	2	8
25	своего рода	3	8
26	я и	3	7
27	но в	5	7
28	в то	7	7
29	или иной	2	7
30	с другой	5	7
31	с его	3	6
32	отношение к	4	6
33	том что	15	6
34	не в	6	6
35	же время	3	6
36	по своей	1	6
37	в ее	1	6
38	приводит к	1	6
39	не может	7	6
40	что в	19	6
41	в их	3	5
42	более или	1	5
43	в самом	2	5
44	то что	12	5
45	ни в	5	5
46	художественного творчества	1	5
47	могут быть	2	5
48	той или	1	5
49	с ее	2	5
50	можно сказать	4	5
51	а также	4	5
52	того что	5	5
53	только в	6	5
54	уже не	3	5
55	другой стороны	5	5
56	или менее	1	5
57	в нем	1	5
58	отношения к	1	4
59	и то	1	4
60	мы имеем	5	4
61	место в	6	4
62	говорить о	3	4
63	еще не	2	4
64	и как	1	4
65	он не	5	4
66	в другом	3	4
67	самим собой	1	4
68	и тем	4	4
69	в этих	11	4
70	в своей	4	4
71	не столько	2	4
72	и т.д	1	4
73	между тем	6	4
74	в форме	2	4
75	для него	3	4
76	со стороны	3	4
77	к которому	3	4
78	прежде всего	10	4
79	не знает	1	4
80	например в	4	4
81	к тому	2	4
82	особого рода	1	4
83	сказать что	4	4
84	речи и	1	4
85	того же	2	3
86	значении этого	1	3
87	перед лицом	1	3
88	и ее	2	3
89	в целом	4	3
90	что можно	1	3
91	в виду	2	3
92	как говорит	1	3
93	и к	4	3
94	или иного	1	3
95	всего лишь	1	3
96	в которой	4	3
97	он должен	1	3
98	лишь в	4	3
99	его в	1	3
100	это не	7	3
101	этом смысле	4	3
102	как и	4	3
103	с точки	4	3
104	но он	3	3
105	тем не	2	3
106	в отношении	2	3
107	не менее	2	3
108	в русской	6	3
109	как раз	3	3
110	потому что	5	3
111	в стихотворении	3	3
112	говорит и	2	3
113	в произведении	1	3
114	в пределах	1	3
115	так в	1	3
116	если бы	4	3
117	произведения как	2	3
118	и что	3	3
119	того или	1	3
120	что он	19	3
121	к нему	4	3
122	во втором	2	3
123	во всей	1	3
124	и того	1	3
125	оказывается в	1	3
126	или иным	1	3
127	не случайно	1	3
128	в области	6	3
129	в рассказе	3	3
130	не на	2	3
131	была бы	4	3
132	о чем	1	3
133	в данном	1	3
134	в той	1	3
135	и для	4	3
136	таким образом	10	3
137	в свою	2	3
138	и это	5	2
139	идет о	1	2
140	по преимуществу	1	2
141	и больше	1	2
142	в году	5	2
143	совпадает с	1	2
144	этого термина	2	2
145	во мне	1	2
146	и на	6	2
147	в чем	4	2
148	но как	2	2
149	не все	1	2
150	в комедии	1	2
151	за пределы	1	2
152	еще один	1	2
153	в своем	1	2
154	говорит что	5	2
155	все эти	3	2
156	бы не	1	2
157	в этой	14	2
158	но на	1	2
159	всей его	1	2
160	не как	2	2
161	на этом	3	2
162	об этом	5	2
163	времени и	2	2
164	времени в	1	2
165	по себе	1	2
166	в них	5	2
167	несмотря на	3	2
168	жизни но	2	2
169	и некоторые	1	2
170	хх века	1	2
171	известной степени	1	2
172	от себя	1	2
173	и более	3	2
174	вовсе не	2	2
175	даже в	1	2
176	тому что	3	2
177	дело не	2	2
178	одна из	2	2
179	не могло	1	2
180	вытекает из	1	2
181	классицизма в	2	2
182	слова как	2	2
183	этих двух	2	2
184	пушкина что	4	2
185	не является	3	2
186	для себя	1	2
187	и о	1	2
188	того чтобы	1	2
189	свою очередь	1	2
190	здесь не	1	2
191	тем или	1	2
192	к жизни	1	2
193	с языком	1	2
194	и сам	1	2
195	или в	2	2
196	в порядке	1	2
197	о том	8	2
198	в значительной	1	2
199	русской литературе	1	2
200	однако с	1	2
201	я думаю	2	2
202	как художественное	1	2
203	именно в	1	2
204	а именно	1	2
205	в литературе	1	2
206	тот или	1	2
207	с одной	2	2
208	есть в	2	2
209	и др	4	2
210	что сама	1	2
211	одно из	2	2
212	слова в	1	2
213	в одном	1	2
214	при всей	2	2
215	у него	9	2
216	для того	2	2
217	на почве	5	2
218	в данный	1	2
219	или иначе	1	2
220	а с	2	2
221	себя и	2	2
222	одной стороны	3	2
223	в сторону	1	2
224	начиная с	2	2
225	так же	1	2
226	как в	6	2
227	из которых	4	2
228	искусства но	1	2
229	так или	1	2
230	в европейской	2	2
231	было и	1	2
232	и по	2	2
233	в контексте	1	2
234	о его	1	2
235	ни для	1	2
236	во всех	2	2
237	речь идет	2	2
238	совершенно иной	1	2
239	собственно говоря	1	2
240	тем более	3	2
241	с ним	1	2
242	отношении к	1	2
243	одной из	2	2
244	из этого	4	2
245	также и	1	1
246	начинается с	1	1
247	в элегии	1	1
248	е годы	1	1
249	как произведения	1	1
250	ты и	1	1
251	то в	4	1
252	отношения между	5	1
253	из его	7	1
254	свое место	1	1
255	вещей в	1	1
256	уже по	1	1
257	той же	2	1
258	есть не	1	1
259	принадлежит только	1	1
260	не во	1	1
261	из своих	1	1
262	стиля в	1	1
263	не была	2	1
264	любовь смерть	2	1
265	в литературном	1	1
266	от своих	1	1
267	в сущности	2	1
268	дай мне	1	1
269	как я	2	1
270	и со	1	1
271	никогда не	2	1
272	в каждой	2	1
273	пребывания в	1	1
274	проявляется в	1	1
275	думаю что	2	1
276	между собой	1	1
277	себя а	1	1
278	что его	2	1
279	является таким	1	1
280	тем как	2	1
281	а тем	1	1
282	нет не	2	1
283	себе отчет	2	1
284	говорилось выше	1	1
285	что они	2	1
286	на основе	2	1
287	в произведениях	2	1
288	и я	1	1
289	в истории	1	1
290	в центре	4	1
291	что касается	7	1
292	что по	3	1
293	и внутреннюю	1	1
294	тем же	1	1
295	самом начале	1	1
296	от этого	1	1
297	совершенно иными	1	1
298	вещи но	1	1
299	говорят о	1	1
300	из жизни	1	1
301	что это	16	1
302	бог сойти	1	1
303	состоит как	1	1
304	за это	1	1
