N	3gram	Voloshinov_1	VrazhdaK
1	в связи с	1	3
2	с точки зрения	6	2
3	в году в	1	2
4	в этот момент	1	2
5	не может быть	3	2
6	в том что	1	2
7	говорить об их	1	1
8	то что я	1	1
9	в этом смысле	3	1
10	не лучше ли	1	1
11	на первый план	1	1
12	до сих пор	3	1
13	в этом отношении	1	1
14	все же в	1	1
15	но мы знаем	1	1
16	по крайней мере	3	1
17	во время сна	1	1
18	так же как	2	1
19	и что он	1	1
20	в высшей степени	1	1
21	на первый взгляд	1	1
22	и в этом	2	1
23	а с другой	1	1
24	во всяком случае	3	1
25	связи с этим	1	1
26	шаг за шагом	1	1
27	что в этой	1	1
28	его отношение к	1	1
29	это и есть	1	1
30	о том что	2	1
31	в нашей статье	1	1
32	в каком направлении	1	1
