N	2gram	Vygotskiy__2	Retstnzi
1	не может	9	4
2	и в	15	3
3	один из	1	2
4	нет и	2	1
5	и можно	2	1
6	о формах	1	1
7	в особенности	1	1
8	и не	7	1
9	тому что	1	1
10	категорий и	2	1
11	не только	15	1
12	ни один	1	1
13	связи с	9	1
14	этой проблемы	2	1
15	самых первых	1	1
16	точки зрения	26	1
17	на примере	1	1
18	так называемая	1	1
19	но и	10	1
20	и должно	1	1
21	поставить в	1	1
22	в системе	1	1
23	с другими	3	1
24	тех же	1	1
25	ничего кроме	1	1
26	в ней	1	1
27	впадает в	1	1
28	с точки	18	1
29	и на	1	1
30	для него	3	1
31	мы видим	4	1
32	может не	1	1
33	в языке	1	1
34	эта вторая	1	1
35	к тому	7	1
36	речь и	5	1
37	а не	3	1
38	может быть	9	1
39	несмотря на	4	1
40	в его	2	1
41	с самых	1	1
42	он в	3	1
43	то же	5	1
44	и все	3	1
45	из этих	4	1
46	если бы	8	1
47	исходя из	1	1
48	бы в	1	1
