N	3gram	Berdyaev_V_1	Problema
1	в том что	2	8
2	по крайней мере	1	6
3	с другой стороны	1	6
4	то и другое	1	3
5	вместе с тем	1	3
6	и во всяком	1	3
7	и т д	2	3
8	хотя бы и	1	2
9	и не было	1	2
10	но все же	1	1
11	о великом инквизиторе	4	1
12	в существе своем	2	1
13	легенда о великом	2	1
14	и в сознании	1	1
15	в прошлом и	1	1
16	том что он	2	1
17	по сравнению с	1	1
18	познания добра и	2	1
19	бы то ни	1	1
20	за то что	3	1
21	в жизни и	1	1
22	есть то что	1	1
23	не могли бы	1	1
24	все равно не	1	1
25	на земле то	1	1
26	в конце концов	1	1
27	бы и не	2	1
28	в известном смысле	1	1
29	и не любят	1	1
30	д и т	1	1
31	так и в	1	1
32	и вместе с	1	1
33	жизни в этом	1	1
34	тысячи лет назад	1	1
35	т д и	1	1
36	но и тут	1	1
37	жизни и потому	1	1
38	к тому что	3	1
39	как и в	1	1
40	добра и зла	2	1
