N	3gram	Nazirov_Tv_2	Vladivir
1	там же с	9	10
2	в том что	2	9
3	в связи с	1	8
4	в то время	1	6
5	во всяком случае	2	6
6	в письме к	1	4
7	содержит в себе	1	4
8	по крайней мере	2	4
9	о том что	2	3
10	от декабря года	1	3
11	в то же	7	3
12	точно так же	1	3
13	то же время	7	3
14	т i с	1	3
15	в отличие от	2	3
16	дело в том	1	3
17	в том же	2	2
18	л н толстого	1	2
19	и в году	2	2
20	марта года в	2	2
21	письма т ii	2	2
22	в дальнейшем мы	1	2
23	так и не	1	2
24	хотя и не	1	2
25	т ii с	2	2
26	в свою очередь	1	2
27	не то что	1	2
28	можно было бы	1	2
29	но как бы	1	1
30	может быть в	1	1
31	как нечто внешнее	1	1
32	в память достоевского	1	1
33	в которой он	1	1
34	в том числе	1	1
35	возвращении в петербург	1	1
36	в мае года	1	1
37	апреля года в	1	1
38	выше мы уже	1	1
39	от октября года	1	1
40	имеем не только	1	1
41	и в то	2	1
42	но в то	1	1
43	в первую очередь	1	1
44	и в том	1	1
45	января года в	1	1
46	с самого начала	1	1
47	но это не	1	1
48	потому что в	1	1
49	до сих пор	3	1
50	а может быть	1	1
51	по себе не	1	1
52	прежде всего нужно	1	1
53	фет а а	1	1
54	оставляет без внимания	1	1
55	не столько к	1	1
56	и прежде всего	1	1
57	в году в	1	1
58	фактов его биографии	1	1
59	ничего общего с	1	1
60	в этот период	1	1
61	и вообще все	1	1
62	том же году	2	1
63	и т д	11	1
64	и особенно в	1	1
65	к тому же	1	1
66	в них нет	1	1
67	в году он	1	1
68	мае года он	1	1
69	в первый раз	1	1
70	года он писал	1	1
71	отец ее был	1	1
72	что в нем	1	1
73	в самом деле	2	1
74	его но не	1	1
75	и достоевского можно	1	1
76	в высшей степени	1	1
77	на этот вопрос	2	1
78	только то что	1	1
79	нам представляется что	1	1
80	нужно сказать что	1	1
81	прежде всего его	1	1
82	по возвращении в	1	1
83	не может быть	3	1
