N	3gram	Losev_Vlad_1	KulturaY
1	в самом деле	1	11
2	для того чтобы	2	11
3	тем не менее	2	9
4	в том что	7	8
5	и т д	2	8
6	тех пор пока	1	4
7	с одной стороны	1	4
8	и в этом	1	4
9	в связи с	1	4
10	до тех пор	1	4
11	потому что как	1	3
12	то обстоятельство что	2	3
13	в том чтобы	2	3
14	не только в	2	3
15	а с другой	1	3
16	с другой стороны	3	3
17	не может быть	3	3
18	так и в	1	3
19	о том что	7	3
20	смысле этого слова	1	2
21	не говоря уже	1	2
22	как раз и	2	2
23	один и тот	2	2
24	говоря уже о	1	2
25	только то что	1	2
26	и тот же	2	2
27	потому что в	1	2
28	так как он	2	2
29	более или менее	3	2
30	тем более что	2	2
31	дело не в	1	2
32	что и в	2	2
33	к тому же	2	2
34	в свое время	5	2
35	уже не только	1	2
36	одной стороны а	1	1
37	которая как раз	1	1
38	что же касается	4	1
39	и не знаю	1	1
40	по одному тому	1	1
41	и той же	1	1
42	должны сказать что	1	1
43	также и в	1	1
44	в этом смысле	4	1
45	еще и о	1	1
46	в этом слове	1	1
47	они ничего не	1	1
48	не знаю кто	1	1
49	и не может	1	1
50	и в то	2	1
51	что он не	3	1
52	бы то ни	1	1
53	с тем что	1	1
54	мы сталкиваемся на	1	1
55	что я хочу	1	1
56	не только не	1	1
57	вместе с тем	1	1
58	что даже в	1	1
59	и я не	1	1
60	как он будет	1	1
61	в то время	2	1
62	можно сказать только	1	1
63	не потому что	1	1
64	заключается в том	1	1
65	несмотря на весь	1	1
66	который как мы	1	1
67	то что он	5	1
68	в связи со	2	1
69	во всяком случае	2	1
70	на вопросе о	1	1
71	по существу то	1	1
72	а в том	1	1
73	внутреннюю связь между	1	1
74	то же время	4	1
75	и о том	1	1
76	а именно что	1	1
77	и вместе с	1	1
78	в тех же	1	1
79	в свою очередь	1	1
80	мы должны сказать	1	1
81	стороны а с	1	1
82	ответить на вопрос	1	1
83	в то же	4	1
84	что дело не	1	1
85	по этому поводу	1	1
86	к тому что	1	1
87	одной и той	1	1
88	уже о том	1	1
