N	2gram	Voloshinov_2	Sotsiolo
1	все это	1	7
2	в этом	15	5
3	в том	7	5
4	социологический метод	1	4
5	не только	13	3
6	как же	1	3
7	в его	5	3
8	и в	19	3
9	но ведь	3	3
10	не в	10	3
11	социологического метода	2	3
12	и только	1	3
13	только в	8	2
14	это зависит	1	2
15	может быть	28	2
16	и что	1	2
17	это и	1	2
18	главным образом	1	2
19	то же	16	2
20	нашей науки	1	2
21	должна быть	4	2
22	было бы	4	2
23	далеко не	2	2
24	ведь это	2	2
25	таким образом	14	2
26	но и	10	2
27	тем более	5	2
28	еще не	3	2
29	то что	4	2
30	или даже	1	2
31	за пределы	3	2
32	по отношению	8	2
33	к которому	1	2
34	отношению к	8	2
35	что в	2	2
36	как бы	19	2
37	в смысле	6	2
38	том что	10	2
39	в марксистской	1	1
40	и не	19	1
41	и затем	1	1
42	может развиваться	1	1
43	в этой	3	1
44	столь же	3	1
45	для изучения	1	1
46	в процессе	18	1
47	в своей	3	1
48	бы в	4	1
49	еще и	1	1
50	по себе	3	1
51	все эти	3	1
52	в заключение	1	1
53	тем именно	1	1
54	и его	16	1
55	не дает	1	1
56	в целом	1	1
57	и школа	1	1
58	с другой	3	1
59	в сущности	14	1
60	бы они	1	1
61	именно на	1	1
62	ровно ничего	1	1
63	с каким-либо	1	1
64	связи с	13	1
65	от друга	1	1
66	быть не	1	1
67	крайней мере	2	1
68	что она	1	1
69	в них	1	1
70	конечно только	1	1
71	должно было	1	1
72	в связи	7	1
73	что он	4	1
74	тем же	4	1
75	систему его	1	1
76	представляется нам	1	1
77	что все	1	1
78	не было	3	1
79	в каждом	1	1
80	применения социологического	1	1
81	опорой для	1	1
82	данный человек	1	1
83	образом в	1	1
84	когда мы	1	1
85	исторического характера	1	1
86	а с	2	1
87	ли не	1	1
88	не из	1	1
89	конечном счете	1	1
90	но не	2	1
91	мы понимаем	1	1
92	и более	7	1
93	они ни	1	1
94	но она	1	1
95	вовсе не	11	1
96	все же	5	1
97	между тем	6	1
98	но как	2	1
99	а в	3	1
100	в конечном	1	1
101	бы он	3	1
102	это не	4	1
103	в то	8	1
104	мы должны	1	1
105	между ними	2	1
106	означает только	1	1
107	конечно не	4	1
108	и наконец	1	1
109	существуют два	1	1
110	никогда не	7	1
111	ними в	1	1
112	в силу	1	1
113	собой не	1	1
114	науки о	2	1
115	во всяком	3	1
116	в противном	2	1
117	на тех	1	1
118	в котором	3	1
119	и им	1	1
120	темы и	2	1
121	осложняется еще	1	1
122	тому что	4	1
123	в него	1	1
124	отнюдь не	8	1
125	по крайней	2	1
126	и о	2	1
127	чуть ли	1	1
128	в этих	3	1
129	и какие	1	1
130	у него	2	1
131	как и	9	1
132	с помощью	6	1
133	но именно	1	1
134	с ним	1	1
135	место в	2	1
136	мысли в	1	1
137	ни на	1	1
138	на все	2	1
139	только научная	1	1
140	и как	6	1
141	же не	1	1
142	какие же	1	1
143	именно и	1	1
144	его в	7	1
145	методы и	3	1
146	с одной	3	1
147	о том	3	1
148	далеки от	1	1
149	или нет	1	1
150	одной стороны	3	1
151	же самое	6	1
152	вступает в	2	1
153	и потому	2	1
154	хотя бы	6	1
155	слова но	1	1
156	дает нам	1	1
157	время в	1	1
158	ничего не	4	1
159	все то	2	1
160	что это	2	1
161	между собой	1	1
162	на основании	1	1
163	мы не	2	1
164	ее социологической	1	1
165	не может	18	1
166	же время	8	1
167	но только	1	1
168	нашей работы	3	1
169	прежде всего	7	1
170	остается в	1	1
171	они не	2	1
172	противном случае	2	1
173	подвести итоги	1	1
174	всяком случае	2	1
175	он говорит	1	1
176	или не	1	1
177	друг от	1	1
178	тем что	2	1
179	что эти	1	1
180	так и	10	1
181	марксистской литературе	1	1
182	в данном	5	1
183	в виде	2	1
184	именно в	2	1
185	это же	2	1
186	только для	1	1
187	перед нами	3	1
188	только тогда	1	1
189	эти два	1	1
190	ни были	1	1
