N	2gram	Propp_Russ_2	Tragedij
1	и в	29	18
2	в году	3	9
3	в этом	11	9
4	не только	10	8
5	и с	10	7
6	и на	6	7
7	может быть	13	7
8	как бы	18	7
9	и не	1	7
10	но в	5	6
11	и его	1	6
12	в образе	2	6
13	что он	1	6
14	то же	4	5
15	все же	2	5
16	что это	3	5
17	это не	5	5
18	как и	11	5
19	несмотря на	1	5
20	в то	2	5
21	так и	1	5
22	не может	5	5
23	к жизни	5	5
24	еще не	6	4
25	в этой	3	4
26	в нем	1	4
27	об этом	2	4
28	том что	22	4
29	и что	5	4
30	но и	8	4
31	и даже	1	4
32	прежде всего	2	4
33	так же	4	4
34	но это	1	4
35	все это	10	4
36	что в	22	4
37	и все	4	4
38	то что	5	4
39	своего рода	1	3
40	отнюдь не	1	3
41	как в	7	3
42	в своем	1	3
43	и как	2	3
44	все эти	3	3
45	при этом	6	3
46	должно быть	2	3
47	что с	2	3
48	о чем	4	3
49	в поле	19	3
50	iii в	1	3
51	мог бы	1	3
52	жизнь и	2	3
53	с ним	1	3
54	к нему	4	3
55	в его	1	3
56	один из	2	3
57	уже в	1	3
58	для него	1	3
59	в конце	1	3
60	как будто	1	3
61	как это	4	3
62	что за	1	3
63	в основном	1	3
64	вряд ли	2	2
65	из самых	1	2
66	и до	1	2
67	что эти	1	2
68	и за	1	2
69	а как	1	2
70	из своих	1	2
71	никогда не	2	2
72	и то	2	2
73	он был	1	2
74	не был	2	2
75	ее к	2	2
76	отношение к	1	2
77	отличие от	3	2
78	не просто	1	2
79	так что	4	2
80	она как	2	2
81	перед нами	1	2
82	в самом	1	2
83	то и	4	2
84	что она	3	2
85	но все	1	2
86	что все	1	2
87	его в	8	2
88	знает что	1	2
89	дома и	1	2
90	в это	1	2
91	нет в	1	2
92	с тем	6	2
93	в отличие	3	2
94	вопрос о	4	2
95	но эта	1	2
96	не в	4	2
97	не играют	1	2
98	что этот	1	2
99	но они	1	2
100	одна из	11	2
101	не имеет	3	2
102	и это	1	2
103	в ее	3	2
104	данном случае	7	2
105	еще в	2	2
106	как у	1	2
107	ничего не	1	2
108	лицо его	1	2
109	и здесь	1	2
110	о том	9	2
111	в глаза	2	2
112	что и	2	2
113	бросается в	2	2
114	в том	22	2
115	который в	1	2
116	и ее	2	2
117	уже не	4	2
118	в виде	4	2
119	не так	1	2
120	в одном	1	2
121	друг друга	3	2
122	тем что	3	2
123	говорит о	2	2
124	до конца	3	2
125	под влиянием	1	2
126	в данном	6	2
127	ненависть к	1	2
128	потому что	5	2
129	этим объясняется	1	2
130	в таком	4	2
131	а между	1	1
132	ли мы	1	1
133	ту же	1	1
134	также что	2	1
135	и т	5	1
136	одним из	2	1
137	например в	1	1
138	человека и	1	1
139	он показывает	2	1
140	и др	1	1
141	это и	2	1
142	и есть	1	1
143	смысл этого	1	1
144	на две	2	1
145	объясняется и	1	1
146	в селе	1	1
147	хлеб и	1	1
148	собой как	1	1
149	поле в	2	1
150	на себя	2	1
151	в виду	2	1
152	жизни столь	1	1
153	в ней	1	1
154	в xix	3	1
155	представляет собой	2	1
156	между собой	2	1
157	без которой	1	1
158	во всех	3	1
159	подобной же	1	1
160	что иногда	1	1
161	на другой	2	1
162	присмотреться к	1	1
163	но не	5	1
164	значение и	1	1
165	а он	2	1
166	тогда как	2	1
167	большое значение	1	1
168	на стол	1	1
169	к сожалению	1	1
170	это самое	1	1
171	что именно	1	1
172	место где	1	1
173	что ее	3	1
174	и наконец	1	1
175	новую жизнь	1	1
176	в которой	2	1
177	сливается с	1	1
178	он в	1	1
179	все по	1	1
180	право на	2	1
181	только один	1	1
182	как он	1	1
183	если он	2	1
184	не могла	1	1
185	чтобы установить	1	1
186	и если	1	1
187	вообще не	1	1
188	что без	1	1
189	так сказать	1	1
190	и еще	2	1
191	не к	2	1
192	по всем	3	1
193	и по	3	1
194	на этом	3	1
195	таким образом	6	1
196	от нее	1	1
197	здесь мы	2	1
198	а затем	4	1
199	с криком	1	1
200	в другом	1	1
201	и чтобы	1	1
202	на все	1	1
203	известно что	1	1
204	быть не	1	1
205	а это	1	1
206	никакой роли	1	1
207	по улицам	1	1
208	из первых	1	1
209	в них	4	1
210	он же	1	1
211	а за	4	1
212	девочка в	1	1
213	для чего	1	1
214	говорится о	1	1
215	в развитии	1	1
216	или вообще	4	1
217	но если	3	1
218	и при	2	1
219	в своей	2	1
220	игры в	2	1
221	этой связи	1	1
222	в такой	1	1
223	в котором	3	1
224	с своими	1	1
225	человеком и	1	1
226	не столько	2	1
227	представление о	5	1
228	должны были	2	1
229	камень на	1	1
230	но он	3	1
231	над ними	1	1
232	тем не	2	1
233	на всю	1	1
234	возвращается к	1	1
235	iii и	1	1
236	не менее	2	1
237	что эта	1	1
238	она не	3	1
239	на земле	5	1
240	вместе и	1	1
241	считает что	1	1
242	связан и	1	1
243	того как	2	1
244	как его	1	1
245	не вызывает	1	1
246	в полночь	1	1
247	до самой	1	1
248	детей и	1	1
249	и притом	1	1
250	к ней	2	1
251	по своей	1	1
252	к вам	5	1
253	для нас	6	1
254	особое значение	1	1
255	связи с	2	1
256	что на	2	1
257	в момент	2	1
258	к себе	1	1
259	своей книге	2	1
260	могут быть	2	1
261	на улицу	2	1
262	сходство с	1	1
263	как некое	1	1
264	что при	2	1
265	в применении	1	1
266	как мы	3	1
267	и о	3	1
268	того чтобы	6	1
269	и способствует	1	1
270	человека с	1	1
271	с собой	1	1
272	можно было	2	1
273	же говорит	1	1
274	на нее	6	1
275	когда в	1	1
276	на них	4	1
277	но может	1	1
278	а по	1	1
279	особой силой	1	1
280	ему нужно	1	1
281	случае как	1	1
282	после того	2	1
283	с того	1	1
284	это должно	1	1
285	а также	4	1
286	от него	1	1
287	все в	2	1
288	связь между	2	1
289	между тем	3	1
290	теперь уже	1	1
291	в форме	2	1
292	все время	1	1
293	хорошо знает	1	1
294	в литературе	1	1
295	того что	3	1
296	он есть	2	1
297	в новой	2	1
