N	2gram	Tiupa_Hudo_2	Sotsiolo
1	все это	3	7
2	в том	15	5
3	в этом	13	5
4	и только	2	3
5	более чем	2	3
6	как же	2	3
7	для нас	3	3
8	не только	11	3
9	и в	28	3
10	но ведь	1	3
11	не в	13	3
12	в его	11	3
13	за пределы	1	2
14	как только	3	2
15	но и	9	2
16	было бы	3	2
17	к которому	1	2
18	она может	2	2
19	только в	4	2
20	дело не	2	2
21	том что	19	2
22	в частности	7	2
23	как будто	4	2
24	то что	6	2
25	или даже	1	2
26	и что	1	2
27	еще не	3	2
28	только как	1	2
29	ведь это	1	2
30	это и	1	2
31	отношению к	7	2
32	в конце	1	2
33	что в	5	2
34	может быть	8	2
35	как бы	5	2
36	по отношению	7	2
37	и заключается	1	2
38	по существу	1	2
39	то же	6	2
40	друг от	1	1
41	в свои	1	1
42	тотчас же	1	1
43	что все	3	1
44	я и	6	1
45	же не	2	1
46	наконец в	1	1
47	по себе	1	1
48	даже в	1	1
49	а вот	2	1
50	в мире	7	1
51	не должна	1	1
52	в этой	5	1
53	тому что	4	1
54	отнюдь не	2	1
55	эти два	1	1
56	стоит только	1	1
57	с другой	3	1
58	в соответствующих	2	1
59	его в	2	1
60	что личность	2	1
61	только для	2	1
62	и какие	1	1
63	с ним	7	1
64	это не	6	1
65	такого построения	1	1
66	именно в	2	1
67	характера это	1	1
68	все же	2	1
69	один из	2	1
70	перед нами	11	1
71	в то	6	1
72	его собственная	1	1
73	мысли в	1	1
74	еще и	2	1
75	а с	3	1
76	том как	2	1
77	тем что	6	1
78	что он	8	1
79	прежде всего	3	1
80	бы он	1	1
81	слова но	1	1
82	в них	3	1
83	так и	8	1
84	не было	6	1
85	одной стороны	3	1
86	те же	2	1
87	и не	18	1
88	полагает что	1	1
89	из себя	1	1
90	никогда не	5	1
91	мы не	1	1
92	же время	4	1
93	ничего не	5	1
94	не мешает	1	1
95	и о	4	1
96	все эти	1	1
97	это же	1	1
98	легко но	1	1
99	именно на	2	1
100	как и	11	1
101	между собой	1	1
102	бы в	1	1
103	без этого	1	1
104	в настоящее	1	1
105	иначе говоря	1	1
106	вне пределов	1	1
107	в сущности	1	1
108	в серьезных	1	1
109	образом в	1	1
110	и его	5	1
111	в этих	3	1
112	место в	2	1
113	автор не	1	1
114	от друга	1	1
115	хотя бы	2	1
116	вступает в	1	1
117	его собственные	1	1
118	теперь он	1	1
119	стало быть	1	1
120	не может	4	1
121	в своей	6	1
122	строгом значении	1	1
123	только тогда	1	1
124	а в	6	1
125	из путей	1	1
126	него и	1	1
127	что она	7	1
128	о том	12	1
129	в области	1	1
130	и потому	1	1
131	же это	1	1
132	настоящее время	1	1
133	представить себе	1	1
134	факта что	1	1
135	но именно	2	1
136	в котором	6	1
137	никак не	1	1
138	в строгом	2	1
139	между ними	2	1
140	на что	1	1
141	представляется нам	2	1
142	столь же	3	1
143	собой не	1	1
144	когда мы	1	1
145	в силу	1	1
146	ни на	1	1
147	должно было	1	1
148	в конечном	4	1
149	что это	5	1
150	вовсе не	2	1
151	ли не	1	1
152	жизни он	2	1
153	же самое	3	1
154	с одной	3	1
155	что без	1	1
156	может служить	1	1
157	а между	4	1
158	но не	4	1
159	у него	5	1
160	в виде	2	1
161	в данном	2	1
162	между тем	8	1
163	но как	1	1
164	только когда	2	1
165	что на	3	1
166	конечном счете	3	1
167	это по	1	1
168	героя который	1	1
169	и более	1	1
170	и стало	1	1
171	в каждом	1	1
