N	3gram	Nazirov_Vr_1	Analitik
1	о том что	1	6
2	в том что	2	6
3	и в этом	1	4
4	в этом отношении	1	3
5	героя нашего времени	1	3
6	по крайней мере	1	3
7	тем не менее	1	3
8	и стал смотреть	1	2
9	в этом смысле	1	2
10	в ответ на	1	2
11	в соответствии с	1	2
12	с точки зрения	2	2
13	в то же	4	2
14	и то что	1	2
15	едва ли не	1	2
16	с другой стороны	1	2
17	то же время	4	2
18	и в самом	1	2
19	не только не	1	2
20	на то что	1	2
21	на это в	1	1
22	себя в качестве	1	1
23	а между тем	1	1
24	во второй раз	1	1
25	между прочим и	1	1
26	уже говорилось выше	1	1
27	и всего романа	1	1
28	имеется в виду	1	1
29	а тем более	1	1
30	не имеет никаких	1	1
31	в третий раз	1	1
32	они выступают как	1	1
33	не имело бы	1	1
34	о том же	1	1
35	от которого у	1	1
36	на этот раз	1	1
37	и то же	1	1
38	в известном смысле	1	1
39	в свою очередь	1	1
40	в связи с	3	1
41	одно и то	1	1
42	все что ни	1	1
43	не может быть	2	1
44	заключается в том	1	1
45	речь идет о	1	1
46	он не только	2	1
47	точно так же	1	1
