N	3gram	Bakhtin_sl_2	Problema
1	по отношению к	4	19
2	и т п	33	13
3	не может быть	15	11
4	с точки зрения	3	6
5	в отличие от	12	5
6	в его целом	1	5
7	между тем как	1	5
8	в большинстве случаев	5	5
9	имеет дело с	1	4
10	с другой стороны	1	4
11	во всех его	2	4
12	может быть только	1	3
13	в применении к	1	3
14	все то что	1	3
15	с одной стороны	5	3
16	то же время	4	3
17	в том что	4	3
18	в то же	4	3
19	тем не менее	1	3
20	и в нем	1	3
21	в чем не	2	2
22	отношения к материалу	1	2
23	в какой мере	1	2
24	со всех сторон	1	2
25	на первый план	1	2
26	но и в	1	2
27	ни в чем	2	2
28	и не может	1	2
29	в лучшем случае	1	2
30	и в то	1	2
31	не только в	2	2
32	приходится иметь дело	2	2
33	не могут быть	2	2
34	никогда не может	2	2
35	то есть чисто	1	2
36	того или иного	1	2
37	может и не	1	2
38	так и в	3	2
39	и в них	1	2
40	мы можем сказать	1	2
41	к нему и	1	2
42	той или иной	5	2
43	в известной степени	1	2
44	не может и	1	2
45	как композиционная форма	1	2
46	не входят в	1	2
47	для того чтобы	2	2
48	не довлеет себе	1	2
49	в этом отношении	3	2
50	тем как в	1	2
51	в этом его	1	1
52	именно в том	1	1
53	и может быть	1	1
54	на нем и	1	1
55	но она может	1	1
56	зрения на мир	2	1
57	точка зрения на	1	1
58	хотя и не	1	1
59	конечно и в	1	1
60	иметь в виду	1	1
61	а не с	1	1
62	а вовсе не	2	1
63	входить в рассмотрение	1	1
64	в свою очередь	2	1
65	далеко не все	1	1
66	также и в	1	1
67	всех его моментах	1	1
68	одной стороны и	3	1
69	языка то есть	2	1
70	а следовательно и	1	1
71	до сих пор	2	1
72	хотя бы и	2	1
73	до известной степени	1	1
74	сами по себе	1	1
75	то есть вне	1	1
76	может иметь место	1	1
77	существенного отношения к	1	1
78	может быть конечно	1	1
79	на то что	1	1
80	могли бы быть	1	1
81	может быть и	2	1
82	и не в	1	1
83	на фоне которого	1	1
84	самого слова и	1	1
85	конечно не в	1	1
86	эти высказывания могут	1	1
87	все снова и	1	1
88	в значительной степени	6	1
89	но в то	3	1
90	значительной степени и	1	1
91	убираются леса когда	1	1
92	независимо от него	1	1
93	а также и	2	1
94	и с которым	1	1
95	говорить об особой	1	1
96	однако отметить что	1	1
97	его в области	1	1
98	в нашем случае	1	1
99	материал в его	1	1
100	в связи с	2	1
101	к своему предмету	5	1
102	то есть не	1	1
103	связи и взаимоотношения	1	1
104	в нем не	1	1
105	в этом направлении	1	1
106	тем или иным	1	1
107	не для того	1	1
108	в их целом	2	1
109	как убираются леса	1	1
110	в области поэтики	1	1
111	и в романе	2	1
112	нем не только	1	1
113	о которых мы	1	1
114	он живет и	1	1
115	хотя бы только	1	1
116	а в том	1	1
117	в узком смысле	4	1
118	в процессе работы	1	1
119	таким образом в	1	1
120	как предмету познания	1	1
121	в нем нет	1	1
122	человека и его	2	1
123	себя и в	1	1
124	и т д	2	1
125	на протяжении всего	1	1
126	отношение к материалу	1	1
127	как бы две	1	1
128	и уже затем	1	1
129	социальные и исторические	1	1
130	язык в его	1	1
131	зрения не может	1	1
132	языка как такового	1	1
133	языка может быть	2	1
134	с помощью одного	1	1
135	и как мы	1	1
136	вообще и не	1	1
137	иметь место в	1	1
138	в себе все	1	1
139	в другом случае	1	1
140	как мы уже	2	1
141	это как бы	1	1
142	к единству языка	1	1
143	но конечно не	1	1
144	слова это не	1	1
145	в напряженном и	1	1
146	снова и снова	1	1
147	она не может	1	1
148	как и в	1	1
149	выходят за пределы	1	1
150	нем и с	1	1
151	мы еще не	1	1
152	то есть к	1	1
