N	2gram	Bakhtin_sl_1	Narrotol
1	не только	16	32
2	может быть	14	25
3	но и	16	23
4	в качестве	3	21
5	и не	16	20
6	то есть	26	19
7	и в	41	19
8	в том	3	18
9	в этом	12	17
10	в частности	2	14
11	не в	7	14
12	том что	2	14
13	а не	15	12
14	а в	6	11
15	не может	14	10
16	точки зрения	16	10
17	так и	11	9
18	в его	13	9
19	со стороны	1	9
20	при этом	6	9
21	в себе	3	8
22	с другой	5	8
23	не является	2	8
24	все же	7	7
25	еще не	4	7
26	как и	4	7
27	одной стороны	4	7
28	к тому	3	7
29	такого рода	2	7
30	с одной	4	7
31	а также	2	7
32	как в	8	7
33	на протяжении	2	6
34	высказывания в	1	6
35	но не	2	6
36	в себя	1	6
37	в той	10	6
38	но в	8	6
39	именно в	3	6
40	о том	3	6
41	то в	2	6
42	точка зрения	8	6
43	с его	4	6
44	в форме	1	5
45	можно сказать	2	5
46	не предполагает	2	5
47	к нему	5	5
48	мира в	1	5
49	нуждается в	1	5
50	отличие от	1	5
51	и его	14	5
52	не все	1	5
53	уже не	2	5
54	в этой	1	5
55	далеко не	5	5
56	в отличие	1	5
57	себя в	9	5
58	в основе	5	5
59	или иной	9	5
60	в данном	3	5
61	и с	4	4
62	же время	12	4
63	данном случае	3	4
64	отличается от	1	4
65	прежде всего	8	4
66	здесь не	2	4
67	другой стороны	4	4
68	хотя бы	3	4
69	или напротив	2	4
70	те же	2	4
71	же не	1	4
72	одной из	3	4
73	несобственно-прямой речи	1	4
74	то же	14	4
75	в противовес	1	4
76	героя и	1	4
77	что не	1	4
78	да и	1	4
79	только в	6	4
80	не столько	1	4
81	в особенности	8	4
82	и тем	2	4
83	точку зрения	3	4
84	у него	3	4
85	связи с	2	4
86	же в	1	4
87	было бы	3	4
88	одного из	2	4
89	перед нами	4	4
90	о нем	4	4
91	как бы	12	4
92	сказать что	2	4
93	той или	9	4
94	в нем	30	4
95	во втором	1	4
96	столь же	2	3
97	может не	8	3
98	бы быть	1	3
99	жизни и	1	3
100	не есть	2	3
101	бы то	1	3
102	на том	2	3
103	что они	2	3
104	ни было	2	3
105	не менее	1	3
106	на будущее	1	3
107	и он	1	3
108	по своей	1	3
109	сводится к	1	3
110	в ее	2	3
111	особенно в	1	3
112	между тем	2	3
113	никогда не	3	3
114	хотя и	2	3
115	не с	2	3
116	высказывания и	2	3
117	с ее	4	3
118	как мы	8	3
119	то ни	1	3
120	в то	14	3
121	в сущности	13	3
122	ни в	1	3
123	один из	4	3
124	свою очередь	2	3
125	в первом	3	3
126	тем не	1	3
127	а с	2	3
128	одна из	2	3
129	же как	2	3
130	могут быть	19	3
131	то или	1	3
132	этом отношении	1	3
133	и на	14	3
134	он не	3	3
135	в ней	4	3
136	из них	3	3
137	из этих	3	3
138	или иначе	1	3
139	и даже	6	3
140	в свою	3	3
141	все эти	9	2
142	что по	1	2
143	точек зрения	5	2
144	одним из	4	2
145	или иное	1	2
146	приводит к	1	2
147	в значительной	1	2
148	оно не	6	2
149	от всех	1	2
150	или в	8	2
151	в литературе	1	2
152	в двух	1	2
153	персонажа и	1	2
154	каждый из	1	2
155	и тот	1	2
156	так же	2	2
157	и для	4	2
158	и ее	3	2
159	не было	3	2
160	известном смысле	2	2
161	и все	4	2
162	есть в	1	2
163	как ни	1	2
164	наконец в	2	2
165	как раз	2	2
166	которого он	1	2
167	даже в	2	2
168	возможность иного	1	2
169	включает в	1	2
170	в отвлечении	1	2
171	этой точки	1	2
172	бы не	1	2
173	они в	2	2
174	в последние	2	2
175	та же	1	2
176	но сама	1	2
177	того или	2	2
178	его по	1	2
179	его в	3	2
180	или даже	2	2
181	и только	1	2
182	его как	2	2
183	время в	1	2
184	все то	1	2
185	между собой	2	2
186	вокруг него	2	2
187	в результате	3	2
188	при всем	3	2
189	зрения на	7	2
190	отношение к	7	2
191	например в	2	2
192	для него	3	2
193	между ними	2	2
194	дело с	1	2
195	в таком	1	2
196	нет и	1	2
197	по всей	3	2
198	но как	1	2
199	всей вероятности	3	2
200	значительной степени	1	2
201	не от	1	2
202	оно может	2	2
203	первом случае	2	2
204	с точки	8	2
205	однако в	1	2
206	подход к	1	2
207	при всех	2	2
208	они не	1	2
209	языка и	12	2
210	зрения и	2	2
211	не на	5	2
212	как известно	1	2
213	несобственно-прямая речь	1	2
214	и потому	4	2
215	ничего не	4	2
216	лица и	1	2
217	его жизни	1	2
218	с чем	1	2
219	как к	2	2
220	о чем	1	2
221	или менее	3	2
222	прямой речи	1	2
223	в пределах	14	2
224	и др	14	2
225	совершенно не	2	2
226	этого слова	1	2
227	без исключения	1	2
228	различие между	1	2
229	к другому	1	2
230	по существу	3	2
231	себя и	1	2
232	она не	3	2
233	что мы	1	2
234	роль в	2	2
235	несмотря на	1	2
236	не как	4	2
237	у нее	1	2
238	в чужой	1	2
239	тем более	1	2
240	в известном	2	2
241	которая в	1	2
242	отвлечении от	1	2
243	всех его	7	2
244	не могло	3	2
245	рассказ в	2	2
246	на свой	1	2
247	в какой	1	2
248	или иного	2	2
249	а иногда	3	2
250	это не	6	2
251	и одновременно	2	2
252	жизнью и	1	2
253	даже вовсе	1	2
254	так или	1	2
255	именно это	1	2
256	соответствующего жанра	1	2
257	можно было	2	2
258	человека в	1	2
259	мы имеем	1	2
260	в своем	3	2
261	и до	1	2
262	более или	3	2
263	жизни но	2	2
264	произведения не	2	1
265	и позволяет	1	1
266	отталкивается от	1	1
267	дистанции между	4	1
268	на разных	1	1
269	тому или	1	1
270	и там	3	1
271	и совершенно	1	1
272	преимущественно в	4	1
273	входя в	4	1
274	какой бы	1	1
275	и иных	2	1
276	известной степени	4	1
277	как живая	1	1
278	или иных	1	1
279	если во	1	1
280	было предложено	1	1
281	и здесь	3	1
282	всегда в	2	1
283	на его	8	1
284	не знает	1	1
285	но она	1	1
286	высказывания не	2	1
287	почву для	1	1
288	речевого целого	1	1
289	третьими и	1	1
290	для нас	2	1
291	в свое	3	1
292	и наконец	4	1
293	в другом	2	1
294	всего они	1	1
295	входит в	4	1
296	есть до	1	1
297	в него	3	1
298	настоящим и	1	1
299	например на	1	1
300	очень часто	1	1
301	композиционная форма	2	1
302	высказываний в	1	1
303	художника но	1	1
304	в комнату	1	1
305	место в	1	1
306	к единому	2	1
307	но он	2	1
308	аналогии с	1	1
309	в герое	1	1
310	поэтической речи	1	1
311	о котором	1	1
312	ориентация на	1	1
313	от этого	2	1
314	в плане	6	1
315	как таковой	1	1
316	и многообразно	1	1
317	высказывания а	1	1
318	к концу	1	1
319	интересующие нас	1	1
320	с которым	2	1
321	в один	1	1
322	его голос	1	1
323	иногда и	1	1
324	входит и	1	1
325	для всего	1	1
326	и ничего	1	1
327	в настоящем	1	1
328	крайней мере	1	1
329	для передачи	1	1
330	но по	2	1
331	как такового	3	1
332	самую сущность	1	1
333	вовсе не	7	1
334	и света	1	1
335	к языку	3	1
336	которых оно	1	1
337	связь с	2	1
338	и жанровые	1	1
339	таким образом	9	1
340	последние десятилетия	1	1
341	ценностный кругозор	1	1
342	не утратив	1	1
343	обстоит дело	2	1
344	друг с	2	1
345	это может	1	1
346	сих пор	2	1
347	автора с	1	1
348	совершенно иными	1	1
349	и риторического	1	1
350	свое время	1	1
351	с ним	7	1
352	историческое становление	1	1
353	и во	3	1
354	и вообще	2	1
355	его текст	1	1
356	быть только	2	1
357	далее и	1	1
358	в драме	1	1
359	звучать и	1	1
