N	4gram	Vinokur_Vv_1	Dialekti
1	не что иное как	4	8
2	в то же время	5	6
3	есть не что иное	2	5
4	и т д и	1	3
5	одной и той же	2	3
6	не говоря уже о	1	3
7	и в этом смысле	1	2
8	и т д все	2	2
9	но в то же	3	2
10	с этой точки зрения	1	2
11	вовсе не в том	1	2
12	и тем не менее	3	1
13	заключается вовсе не в	1	1
14	т д все это	1	1
15	и именно в этом	1	1
16	но все же это	1	1
17	не может быть в	1	1
18	по себе не есть	1	1
19	уже о том что	1	1
20	можно сказать что в	1	1
21	сама по себе не	1	1
22	и т д но	5	1
23	и т д в	2	1
24	дело в том что	2	1
25	все же это не	1	1
26	все т е все	1	1
27	она есть не что	1	1
28	возможно только потому что	1	1
29	говоря уже о том	1	1
30	в самом же начале	1	1
31	в связи с этим	1	1
