N	2gram	Berdyaev_O_1	Psycholo
1	и в	19	38
2	то что	5	35
3	все время	1	30
4	в том	5	25
5	в самом	5	25
6	самом деле	1	21
7	что в	4	20
8	может быть	11	19
9	и что	1	18
10	на то	1	16
11	что она	1	16
12	в ней	1	15
13	том что	2	14
14	если бы	1	14
15	как бы	3	14
16	потому что	9	14
17	в этом	12	13
18	в этой	5	13
19	не только	11	12
20	было бы	3	12
21	не в	11	12
22	что он	3	11
23	в сущности	1	10
24	что это	1	10
25	и не	13	10
26	и все	10	10
27	того чтобы	4	9
28	и то	2	8
29	все же	2	8
30	и как	1	8
31	с тем	2	8
32	как и	6	8
33	в одном	1	8
34	и это	1	8
35	так что	2	8
36	вовсе не	1	8
37	для того	3	8
38	заключается в	1	7
39	не может	4	7
40	в ее	2	7
41	что у	2	7
42	может служить	1	7
43	а не	11	7
44	а в	5	7
45	и на	2	6
46	к чему	1	6
47	как это	1	6
48	он не	7	6
49	в котором	1	6
50	она не	1	6
51	не имеет	2	6
52	и его	4	6
53	указывает на	1	6
54	и здесь	1	6
55	о том	3	6
56	один из	1	6
57	из них	1	6
58	так как	2	6
59	он говорит	1	6
60	двух противоположных	1	5
61	должна быть	1	5
62	мы не	1	5
63	гибели и	1	5
64	в своем	2	5
65	в которой	2	5
66	в другом	2	5
67	в своей	2	5
68	и когда	1	5
69	в его	7	5
70	но и	13	5
71	действующих лиц	1	5
72	совершенно не	1	5
73	что они	2	4
74	как в	1	4
75	когда он	3	4
76	все эти	4	4
77	в себе	3	4
78	в нем	10	4
79	не могли	2	4
80	одна из	1	4
81	в нас	1	4
82	из него	1	4
83	никогда не	9	4
84	в самой	9	4
85	как будто	1	4
86	в виду	1	4
87	что и	2	4
88	с той	1	4
89	у него	22	4
90	и даже	1	4
91	того что	3	4
92	и для	2	4
93	сказать что	2	4
94	ее в	2	4
95	в своих	3	4
96	из всех	1	3
97	совсем не	2	3
98	что как	1	3
99	и к	2	3
100	но в	2	3
101	та же	1	3
102	что все	2	3
103	бы в	1	3
104	его в	2	3
105	в них	1	3
106	со всей	1	3
107	в поэме	1	3
108	того как	1	3
109	указал на	1	3
110	и о	2	3
111	он был	8	3
112	был бы	1	3
113	не так	1	3
114	тем что	2	3
115	что не	4	3
116	но это	1	3
117	все это	6	3
118	она должна	1	3
