N	3gram	Propp_Isto_7	NovoeSre
1	не может быть	3	4
2	он не может	1	2
3	вместе с тем	1	2
4	так же как	4	2
5	с одной стороны	4	2
6	с другой стороны	8	2
7	вопрос о том	1	2
8	совсем не в	1	2
9	она не может	1	2
10	только потому что	1	1
11	был ли он	1	1
12	а не с	1	1
13	а не в	1	1
14	то время как	2	1
15	будет сказать что	1	1
16	же как и	1	1
17	и оно же	1	1
18	до сих пор	2	1
19	что он может	1	1
20	в зависимости от	1	1
21	о том чтобы	1	1
22	но и в	2	1
23	не знает что	1	1
24	можно было бы	1	1
25	и не в	1	1
26	другой же стороны	1	1
27	в том чтобы	2	1
28	не только в	5	1
29	что в эту	1	1
30	и потому что	1	1
31	то что он	1	1
32	о том что	5	1
33	в то время	2	1
34	то что в	3	1
35	это значит что	1	1
36	и все они	1	1
37	совершенно так же	1	1
38	в большинстве случаев	1	1
39	в том что	4	1
40	как и в	2	1
41	с другой же	1	1
42	конечно не в	1	1
