N	2gram	Bakhtin_Fr_8	Tragedij
1	и в	56	18
2	в романе	21	10
3	в году	3	9
4	в этом	14	9
5	не только	8	8
6	и с	8	7
7	и на	7	7
8	может быть	3	7
9	как бы	11	7
10	и не	9	7
11	но в	6	6
12	и его	12	6
13	в образе	3	6
14	же время	10	6
15	что он	2	6
16	у него	7	6
17	то же	11	5
18	все же	2	5
19	что это	4	5
20	это не	2	5
21	как и	5	5
22	несмотря на	2	5
23	в то	12	5
24	так и	13	5
25	это очень	2	5
26	не может	2	5
27	он всегда	1	4
28	еще не	10	4
29	в себе	4	4
30	в этой	6	4
31	в нем	8	4
32	том что	8	4
33	и что	1	4
34	но и	9	4
35	и даже	8	4
36	прежде всего	6	4
37	так же	2	4
38	но это	2	4
39	все это	8	4
40	этот образ	1	4
41	что в	5	4
42	и все	6	4
43	то что	3	4
44	в мире	2	3
45	и он	1	3
46	своего рода	5	3
47	эпизод с	2	3
48	как в	1	3
49	в своем	3	3
50	и как	2	3
51	все эти	15	3
52	при этом	4	3
53	то есть	24	3
54	своего отца	1	3
55	с ее	5	3
56	и сам	2	3
57	мог бы	1	3
58	с ним	2	3
59	к нему	2	3
60	в его	18	3
61	один из	5	3
62	романа и	1	3
63	уже в	2	3
64	для него	2	3
65	никто не	1	3
66	как будто	1	3
67	что за	1	3
68	из самых	1	2
69	и до	10	2
70	что эти	2	2
71	а как	1	2
72	из своих	1	2
73	никогда не	5	2
74	и то	2	2
75	он был	12	2
76	не был	4	2
77	с его	5	2
78	отличие от	1	2
79	не просто	3	2
80	так что	3	2
81	это был	1	2
82	перед нами	3	2
83	в самом	9	2
84	бы и	2	2
85	жизнью и	1	2
86	по словам	1	2
87	он не	5	2
88	что она	2	2
89	что все	4	2
90	его в	2	2
91	дома и	1	2
92	ни в	2	2
93	нет в	1	2
94	с тем	2	2
95	не мог	3	2
96	в отличие	1	2
97	вопрос о	1	2
98	не в	3	2
99	но они	1	2
100	этими двумя	1	2
101	одна из	4	2
102	не имеет	1	2
103	не могут	1	2
104	его за	1	2
105	он и	2	2
106	к тому	1	2
107	и это	1	2
108	но при	1	2
109	в ее	6	2
110	данном случае	2	2
111	еще в	1	2
112	как у	1	2
113	и здесь	3	2
114	о том	4	2
115	времени в	3	2
116	что и	3	2
117	даже на	1	2
118	в том	13	2
