1	в то же	5	9
2	то же время	5	7
3	с точки зрения	2	5
4	в зависимости от	1	5
5	мы никогда не	1	5
6	с самого начала	1	4
7	в свою очередь	1	4
8	не только в	4	3
9	прежде всего в	3	3
10	на самом деле	1	3
11	ту или иную	2	3
12	и тем самым	2	3
13	тех или иных	1	3
14	в этом отношении	2	2
15	не может быть	1	2
16	но при этом	2	2
17	и не только	1	2
18	в связи с	4	2
19	в значительной степени	1	2
20	только потому что	1	2
21	что перед нами	1	2
22	но все же	1	2
23	о том что	2	2
24	чуть ли не	2	2
25	но в то	1	2
26	деятельности направленной к	1	2
27	образом если б	1	1
28	если и не	1	1
29	на первый взгляд	1	1
30	как бы два	1	1
31	тот или иной	1	1
32	до сих пор	1	1
33	точки зрения было	1	1
34	места и его	1	1
35	литература и т.п	1	1
36	и тем более	1	1
37	слово как таковое	1	1
38	несмотря на свою	1	1
39	по большей части	1	1
40	хотя бы на	1	1
41	и тем же	1	1
42	перед нами не	1	1
43	в другом месте	1	1
44	как раз и	1	1
45	тем не менее	2	1
46	как это ни	1	1
47	и в этом	1	1
48	общей для них	1	1
49	одного и того	1	1
50	в конечном счете	4	1
51	можно было бы	1	1
52	это еще не	1	1
53	и от самой	1	1
54	теми или иными	1	1
55	по крайней мере	1	1
56	в исторической жизни	1	1
57	не говоря уже	2	1
58	жизни и в	1	1
59	в том что	11	1
60	к нему другими	1	1
61	в большинстве случаев	1	1
62	и того же	1	1
63	на наш взгляд	5	1
64	в самом деле	1	1
65	каждому из них	1	1
66	иметь в виду	1	1
67	в хх веке	5	1
68	при этом не	1	1
69	в русской литературе	3	1
70	сознания прежде всего	1	1
71	не только на	1	1
72	решающую роль в	1	1
73	говоря уже об	1	1
74	с другой стороны	1	1
