N	2gram	Losev_Vlad_1	Dialekti
1	не есть	1	40
2	и не	17	30
3	и есть	1	19
4	а не	1	18
5	и т	2	17
6	ничего не	3	17
7	может быть	6	17
8	то что	18	16
9	т д	2	15
10	и в	31	15
11	точки зрения	2	14
12	так как	8	14
13	того что	2	13
14	это не	1	12
15	в этом	14	11
16	и вот	3	11
17	ясно что	2	11
18	в том	11	11
19	прежде всего	1	11
20	не может	6	11
21	и все	4	11
22	том что	14	10
23	потому что	11	10
24	с ее	1	10
25	личности и	1	10
26	она есть	1	10
27	это и	2	9
28	то же	6	9
29	мы не	1	9
30	было бы	2	9
31	и что	6	9
32	уже не	3	9
33	и пр	1	9
34	все это	5	9
35	что иное	1	8
36	в чем	2	8
37	не в	5	8
38	в себе	4	8
39	не только	24	8
40	ни в	2	8
41	и это	2	8
42	и о	2	8
43	иное как	1	8
44	не что	1	8
45	не просто	1	7
46	и мы	2	7
47	как и	4	7
48	и вообще	4	7
49	и его	7	7
50	только в	9	7
51	что мы	2	7
52	или в	1	7
53	что он	12	7
54	что в	14	7
55	хотя и	4	6
56	и тем	1	6
57	если бы	1	6
58	в то	8	6
59	же время	4	6
60	что и	5	6
61	так что	10	6
62	веры и	2	6
63	вовсе не	5	6
64	и даже	15	6
65	а именно	2	6
66	в результате	2	6
67	тем более	2	6
68	сказать что	7	6
69	той же	2	5
70	мы имеем	1	5
71	и на	3	5
72	с его	11	5
73	в своем	4	5
74	то в	1	5
75	учение о	2	5
76	на то	5	5
77	что она	2	5
78	в нем	4	5
79	есть не	1	5
80	в жизни	3	5
81	что такое	2	5
82	что я	2	5
83	в ней	1	5
84	на себе	1	5
85	но что	3	5
86	но только	3	5
87	того чтобы	2	5
88	я не	4	5
89	в каком	2	5
90	таким образом	3	5
91	о том	11	5
92	так и	6	5
93	можно сказать	6	5
94	и можно	2	5
95	именно в	1	5
96	для того	2	5
97	личности в	1	5
98	знания и	2	5
99	в меру	2	5
100	и для	2	5
101	но если	1	5
102	также и	10	4
103	хотя бы	2	4
104	что они	3	4
105	в этой	4	4
106	в течение	9	4
107	и как	4	4
108	не как	1	4
109	в силу	1	4
110	то ни	1	4
111	и с	14	4
112	этом смысле	4	4
113	с тем	2	4
114	и уже	1	4
115	бытия и	1	4
116	мир и	1	4
117	она не	1	4
118	уже о	1	4
119	что все	2	4
120	и знания	1	4
121	еще не	2	4
122	она всегда	2	4
123	в его	12	4
124	мы должны	2	4
125	с ними	2	4
126	ни с	4	4
127	в одном	1	4
128	как раз	7	4
129	отнюдь не	3	4
130	так же	1	4
131	в особенности	4	4
132	на свете	1	4
133	но это	3	4
134	один из	4	4
135	бы в	1	4
136	или не	1	4
137	жизни и	5	4
138	но и	19	4
139	необходимым образом	1	3
140	отношения к	1	3
141	и то	10	3
142	только потому	1	3
143	мы имели	1	3
144	чего не	1	3
145	едва ли	3	3
146	что если	1	3
147	и тут	2	3
148	личности с	2	3
149	то мы	3	3
150	со стороны	2	3
151	в истории	4	3
152	как в	3	3
153	когда он	5	3
154	но в	12	3
155	все эти	3	3
156	и если	5	3
157	одной и	1	3
158	на этом	2	3
159	от нее	2	3
160	об этом	7	3
161	мы уже	7	3
162	известно что	2	3
163	в данном	1	3
164	можно только	1	3
165	в своей	4	3
166	в их	1	3
167	она в	1	3
168	и той	1	3
169	иной раз	6	3
170	и притом	3	3
171	мы можем	1	3
172	найти в	1	3
173	нет ни	1	3
174	есть только	1	3
175	говоря уже	1	3
176	к жизни	2	3
177	и религии	1	3
178	вот почему	1	3
179	этот момент	2	3
180	для всех	1	3
181	без того	1	3
182	в виде	3	3
183	уже нет	1	3
184	даже и	9	3
185	в области	1	3
186	за пределы	3	3
187	себя и	1	3
188	что не	1	3
189	говорит о	1	3
