N	3gram	Trubetskoy_1	NovoeSre
1	не может быть	4	4
2	не во имя	1	4
3	никогда не было	1	2
4	он не может	1	2
5	вместе с тем	3	2
6	так же как	1	2
7	и должно быть	1	2
8	вопрос о том	1	2
9	ни одна из	2	2
10	в том и	2	2
11	она не может	2	2
12	и того же	1	1
13	и в жизни	1	1
14	одного и того	1	1
15	в том числе	1	1
16	в зависимость от	2	1
17	до сих пор	5	1
18	и не может	3	1
19	что он может	1	1
20	том случае если	3	1
21	о том чтобы	2	1
22	том числе и	1	1
23	от того чтобы	1	1
24	заключает в себе	1	1
25	можно было бы	3	1
26	культуры в котором	1	1
27	в том случае	4	1
28	отказаться от того	1	1
29	в советской россии	1	1
30	в том чтобы	1	1
31	к вопросу о	3	1
32	они считают себя	1	1
33	но она не	2	1
34	еще не было	1	1
35	приводит к отрицанию	1	1
36	россия никогда не	1	1
37	к одному из	1	1
38	это конечно не	1	1
39	а во имя	1	1
40	во всяком случае	6	1
41	лишь в том	2	1
42	в самом себе	2	1
43	о том что	2	1
44	в значительной степени	1	1
45	но для этого	1	1
46	и для чего	1	1
47	и вместе с	2	1
48	есть по существу	1	1
49	это и есть	1	1
50	то это есть	1	1
51	не может когда	1	1
52	в большинстве случаев	2	1
53	и вырабатывает свою	1	1
54	быть не может	1	1
55	в том что	7	1
56	во имя своих	1	1
