N	3gram	Bakhtin_sl_2	Myshleni
1	для того чтобы	2	14
2	по отношению к	4	12
3	в том что	4	11
4	с точки зрения	3	9
5	в письменной речи	1	5
6	в этом отношении	3	5
7	с самого начала	1	5
8	о том что	1	4
9	сама по себе	3	4
10	в этом случае	6	3
11	в лучшем случае	1	3
12	до сих пор	2	3
13	с одной стороны	5	3
14	в процессе развития	1	3
15	в свою очередь	2	3
16	не может быть	15	3
17	не только не	1	3
18	том что в	1	2
19	том что он	1	2
20	и не может	1	2
21	в зависимости от	4	2
22	в той же	1	2
23	что он не	1	2
24	в отличие от	12	2
25	таким образом в	1	2
26	не до конца	1	2
27	тем или иным	1	2
28	с другой стороны	1	2
29	включает в себя	2	2
30	но все же	4	2
31	мы говорим о	1	2
32	как мы видели	1	2
33	и может быть	1	1
34	не может не	1	1
35	точки зрения и	1	1
36	имеет дело с	1	1
37	меньше чем в	2	1
38	отношения к ней	1	1
39	более или менее	2	1
40	с ним но	1	1
41	во всем ее	1	1
42	в том числе	1	1
43	одной стороны и	3	1
44	с их внутренней	1	1
45	как например в	1	1
46	на первый план	1	1
47	речи так и	1	1
48	для этой цели	1	1
49	прежде чем перейти	1	1
50	не менее чем	1	1
51	в собственном смысле	3	1
52	том числе и	1	1
53	во всех областях	4	1
54	намеренный и сознательный	1	1
55	чем перейти к	1	1
56	в применении к	1	1
57	точек зрения не	1	1
58	а не только	1	1
59	на которые оно	1	1
60	того чтобы увидеть	1	1
61	точка зрения на	1	1
62	не могут быть	2	1
63	тогда когда это	1	1
64	все более и	1	1
65	в связи с	2	1
66	мы уже говорили	1	1
67	может идти не	1	1
68	связи с изучением	1	1
69	друг к другу	1	1
70	прямо сказать что	2	1
71	во всяком случае	2	1
72	можно прямо сказать	3	1
73	так и в	3	1
74	он принимает за	1	1
75	тем не менее	1	1
76	тем и другим	1	1
77	между этими двумя	1	1
78	как уже сказано	2	1
79	мы не можем	1	1
80	и связанная с	1	1
81	все эти явления	1	1
82	это и не	1	1
83	те или иные	1	1
84	того или иного	1	1
85	этой способности и	1	1
86	точки зрения так	1	1
87	более и более	1	1
88	но в этом	1	1
89	с помощью одного	1	1
90	в другом случае	1	1
91	в то же	4	1
92	а во второй	1	1
93	заключается именно в	1	1
94	тех или иных	1	1
95	так и по	1	1
96	там где они	2	1
97	той или иной	5	1
98	влечет за собой	1	1
