N	2gram	Vinokur_Vv_1	DiskursI
1	в себе	4	19
2	при этом	3	17
3	в этом	34	16
4	как и	5	16
5	состоит в	2	16
6	и в	27	16
7	в качестве	7	16
8	может быть	24	16
9	и не	13	15
10	а не	3	14
11	отличие от	3	12
12	в отличие	3	12
13	и т.п	1	12
14	в частности	3	12
15	тогда как	2	11
16	но в	10	11
17	представляет собой	12	11
18	но и	5	11
19	со стороны	12	10
20	не только	21	10
21	том что	26	10
22	своего рода	3	10
23	так и	1	9
24	не может	13	9
25	такого рода	2	9
26	как в	1	8
27	в том	31	8
28	а также	3	8
29	но не	7	7
30	в данном	11	7
31	в нем	13	7
32	не менее	8	7
33	при всей	1	7
34	прежде всего	8	7
35	то же	8	6
36	еще не	4	6
37	данном случае	5	6
38	себя в	2	6
39	все же	8	6
40	в своей	4	6
41	в своих	2	6
42	и на	3	5
43	в противовес	1	5
44	в своем	3	5
45	в то	5	5
46	с другой	8	5
47	же время	5	5
48	что в	11	5
49	для него	1	5
50	то что	17	5
51	ни к	2	5
52	я и	1	4
53	и то	5	4
54	разумеется не	1	4
55	по отношению	4	4
56	в этой	3	4
57	потому что	14	4
58	этом отношении	3	4
59	о том	15	4
60	одного из	1	4
61	времени в	3	4
62	с одной	4	4
63	одно из	5	4
64	в одном	4	4
65	одной стороны	4	4
66	как бы	5	4
67	точки зрения	7	4
68	к этому	3	4
69	отношению к	4	4
70	можно назвать	1	4
71	также и	16	3
72	например в	2	3
73	в строгом	3	3
74	и ее	4	3
75	и как	9	3
76	все эти	3	3
77	из этих	5	3
78	претендовать на	1	3
79	не следует	2	3
80	подход к	1	3
81	в другом	3	3
82	с позиций	1	3
83	его в	6	3
84	это не	8	3
85	соответствии с	2	3
86	одного и	2	3
87	в этих	3	3
88	в котором	4	3
89	не столько	2	3
90	не в	8	3
91	на рубеже	2	3
92	в тексте	4	3
93	могут быть	4	3
94	той или	1	3
95	еще в	1	3
96	в его	10	3
97	только в	13	3
98	и его	5	3
99	уже не	5	3
100	из них	3	3
101	в них	4	3
102	из двух	2	3
103	или иной	1	3
104	здесь в	1	3
105	не было	1	3
106	мира в	1	3
107	ее становления	1	3
108	как будто	3	3
109	иначе говоря	1	3
110	можно сказать	3	3
111	но это	1	3
112	и того	2	3
113	и все	1	3
114	становления и	1	3
115	жизни а	1	3
116	жизни и	2	3
117	как на	11	3
118	которых не	3	2
119	же как	3	2
120	того же	3	2
121	и это	6	2
122	той же	4	2
123	говорить о	3	2
124	жизни как	2	2
125	в ней	3	2
126	мы имеем	3	2
127	не нужно	2	2
128	качестве примера	1	2
129	время в	2	2
130	общих чертах	1	2
131	большей части	2	2
132	значении этого	1	2
133	отношение к	3	2
134	из важнейших	1	2
135	стороны и	3	2
136	как уже	2	2
137	отношения между	1	2
138	в целом	5	2
139	рассказа в	1	2
140	вследствие этого	1	2
141	по словам	1	2
142	должна быть	2	2
143	в принципе	2	2
144	не к	2	2
145	свое время	2	2
146	подобно тому	1	2
147	что ни	1	2
148	заключает в	1	2
149	одно и	1	2
150	же касается	2	2
151	и с	2	2
152	этой традиции	2	2
153	входит в	2	2
154	обоих случаях	1	2
155	на почве	5	2
156	который по	2	2
157	но уже	2	2
158	должно быть	2	2
159	все это	6	2
160	этом случае	6	2
161	в ходе	1	2
162	с точки	2	2
163	в обоих	2	2
164	непосредственно и	1	2
165	дело в	3	2
166	никогда не	3	2
167	и другого	1	2
168	что на	1	2
169	в области	4	2
170	в специальном	1	2
171	с их	5	2
172	для себя	1	2
173	здесь не	2	2
174	это еще	2	2
175	говорит об	1	2
176	в себя	1	2
177	времени и	4	2
178	не с	2	2
179	отсюда и	2	2
180	в результате	3	2
181	но здесь	1	2
182	между тем	8	2
183	в языке	1	2
184	что и	3	2
185	которая в	1	2
186	есть в	1	2
187	слова не	1	2
