N	4gram	Medvedev_F_1	SlovoVZh
1	бы то ни было	1	3
2	с одной стороны и	4	2
3	не может быть и	1	2
4	ничего общего с социологией	1	1
5	убедиться в этом достаточно	1	1
6	все более и более	2	1
7	на самом деле это	1	1
8	но в то же	2	1
9	как если бы оно	2	1
10	чтобы убедиться в этом	2	1
11	и не может быть	2	1
12	на самом же деле	1	1
13	в то же время	8	1
14	в зависимости от того	1	1
15	при таком понимании форма	1	1
16	в художественном произведении как	1	1
17	может быть более или	1	1
18	общего с социологией не	1	1
19	быть более или менее	1	1
20	художественного произведения и его	2	1
21	то же время не	1	1
22	и в истории литературы	1	1
