N	4gram	Bakhtin_fo_1	Hudozhes
1	в то же время	6	6
2	одно и то же	3	3
3	одного и того же	5	3
4	в той или иной	1	2
5	в том числе и	2	2
6	и в то же	4	2
7	и не могло быть	1	2
8	мы имеем в виду	1	1
9	имеет место слияние пространственных	1	1
10	и временных примет в	1	1
11	место слияние пространственных и	1	1
12	пространственных и временных примет	1	1
13	примет в осмысленном и	1	1
14	осмысленном и конкретном целом	1	1
15	временных примет в осмысленном	1	1
16	то же время оно	1	1
17	одном и том же	1	1
18	в одном и том	1	1
19	включает в себя и	1	1
20	с самим собою в	1	1
21	в осмысленном и конкретном	1	1
22	как раз в том	1	1
23	было и не могло	1	1
24	человека с самим собою	1	1
25	но и прежде всего	1	1
26	хронотопе имеет место слияние	1	1
27	не было и не	1	1
28	слияние пространственных и временных	1	1
