N	3gram	Propp_Morf_1	formyVre
1	в связи с	8	5
2	для того чтобы	2	5
3	и в других	1	4
4	по отношению к	4	3
5	до сих пор	1	3
6	в этом отношении	1	3
7	одно и то	1	3
8	не может быть	9	3
9	в то время	3	3
10	и то же	1	3
11	в другую страну	1	2
12	но все же	3	2
13	друг за другом	2	2
14	с точки зрения	2	2
15	здесь не место	1	2
16	друг на друга	2	2
17	наряду с этим	3	2
18	то время как	3	2
19	с одной стороны	1	2
20	может быть и	2	2
21	друг к другу	2	2
22	в точном смысле	1	2
23	под углом зрения	1	2
24	а также и	3	2
25	связи с этим	4	2
26	с самого начала	1	2
27	в том что	3	2
28	как и в	2	2
29	но кроме того	1	1
30	и может быть	1	1
31	до наших дней	2	1
32	ее по существу	1	1
33	а вовсе не	1	1
34	или в форме	2	1
35	и по существу	1	1
36	тех случаях когда	2	1
37	ко второму типу	1	1
38	чаще всего это	1	1
39	по существу не	1	1
40	не входит в	1	1
41	как мы увидим	4	1
42	совершенно ясно что	1	1
43	и др здесь	1	1
44	в тех случаях	2	1
45	до известной степени	1	1
46	вплоть до наших	1	1
47	в данном случае	1	1
48	могут быть названы	1	1
49	при помощи которой	2	1
50	с этим в	1	1
51	не могут быть	2	1
52	все более и	1	1
53	во всяком случае	2	1
54	в этом и	1	1
55	то перед нами	5	1
56	не вызывает никаких	1	1
57	бросается в глаза	1	1
58	по существу и	1	1
59	сих пор не	1	1
60	за нами в	1	1
61	в доме не	1	1
62	в этом случае	8	1
63	о том что	1	1
64	то что не	1	1
65	время уже не	1	1
66	но наряду с	1	1
67	эта форма в	1	1
68	более и более	1	1
69	наряду с этими	1	1
70	в этих условиях	1	1
71	мы будем говорить	1	1
72	или во всяком	1	1
73	мы имеем в	1	1
74	которые могут быть	1	1
75	друг с другом	1	1
76	два или три	1	1
77	в высшей степени	1	1
78	здесь как и	1	1
79	по существу здесь	1	1
