N	2gram	Berdyaev_M_2	slovoVRo
1	и в	46	39
2	может быть	21	37
3	и его	5	33
4	не только	18	24
5	и не	18	22
6	но и	15	21
7	не может	15	20
8	в нем	22	19
9	до конца	4	17
10	в этом	20	16
11	все это	1	16
12	так и	4	15
13	а не	13	14
14	человек и	2	14
15	как в	7	13
16	в пределах	1	13
17	во всех	2	12
18	к своему	2	9
19	и с	3	9
20	не в	9	9
21	со своим	2	9
22	оно не	2	8
23	себя в	4	8
24	прежде всего	12	8
25	точки зрения	2	8
26	с его	4	7
27	в этих	2	7
28	для него	18	7
29	с ним	3	7
30	никогда не	18	7
31	в его	5	7
32	и потому	7	7
33	как бы	8	7
34	в сущности	2	6
35	в своем	8	6
36	и к	7	6
37	но в	10	6
38	все эти	1	6
39	значительной степени	1	6
40	в них	3	6
41	как и	13	6
42	она не	8	6
43	в значительной	1	6
44	человек в	3	6
45	жизни и	6	6
46	человека в	14	5
47	это не	5	5
48	том что	4	5
49	по себе	2	5
50	не могут	1	5
51	но все	1	5
52	той или	1	5
53	мира и	1	5
54	с другой	1	5
55	один из	5	5
56	в том	3	5
57	уже не	4	5
58	или иной	2	5
59	в плане	1	5
60	остается в	1	5
61	и для	7	5
62	только в	3	5
63	и все	5	5
64	отношения к	2	4
65	его не	2	4
66	и на	3	4
67	по отношению	2	4
68	отношение к	8	4
69	то же	5	4
70	его в	3	4
71	входит в	1	4
72	на почве	3	4
73	ни в	3	4
74	в отношении	5	4
75	в основе	2	4
76	или как	1	4
77	во всем	5	4
78	для этого	4	4
79	наконец в	1	4
80	и других	2	4
81	так как	8	4
82	себя и	3	4
83	и мир	2	4
84	xix века	1	4
85	в той	1	4
86	а в	2	4
87	отношении к	3	4
88	отношению к	2	4
89	должна быть	1	3
90	той же	3	3
91	человека и	7	3
92	говорить о	1	3
93	в чем	3	3
94	сама по	1	3
95	и как	1	3
96	бы и	5	3
97	и социальной	1	3
98	на этом	2	3
99	сознание и	1	3
100	не с	1	3
101	лишь в	2	3
102	с точки	1	3
103	не была	1	3
104	связи с	2	3
105	этом отношении	1	3
106	действует в	1	3
107	в ней	11	3
