N	2gram	Nazirov_Vr_1	formyVre
1	и в	8	46
2	в этом	8	22
3	прежде всего	1	14
4	в романе	6	13
5	и его	3	12
6	во всех	1	11
7	не только	9	11
8	как бы	4	10
9	во время	2	10
10	точки зрения	2	10
11	в том	3	10
12	но в	6	10
13	у него	5	9
14	но и	7	9
15	вместе с	2	9
16	и не	5	9
17	то же	5	8
18	как и	6	8
19	с точки	2	8
20	потому что	1	8
21	связи с	3	8
22	в его	3	8
23	из них	2	8
24	в связи	3	8
25	в основном	1	8
26	жизни и	1	8
27	всех этих	1	7
28	так и	1	7
29	в них	2	7
30	в эпизоде	1	7
31	может быть	4	7
32	в одном	1	7
33	то что	7	7
34	еще не	2	6
35	все же	6	6
36	и наконец	1	6
37	при этом	4	6
38	человека в	3	6
39	и с	6	6
40	его в	3	6
41	никогда не	2	6
42	и во	3	6
43	в особенности	1	6
44	все это	4	6
45	и все	7	6
46	но не	1	5
47	с этим	1	5
48	в своем	3	5
49	он не	3	5
50	в нем	6	5
51	в то	5	5
52	и у	3	5
53	в частности	1	5
54	что в	7	5
55	отношения к	2	4
56	также и	1	4
57	человека и	1	4
58	в мире	2	4
59	и он	2	4
60	что они	1	4
61	в истории	4	4
62	как в	1	4
63	уже в	4	4
64	в себе	2	4
65	их в	2	4
66	том что	3	4
67	в котором	6	4
68	место в	2	4
69	том же	2	4
70	героев и	1	4
71	же время	5	4
72	к себе	2	4
73	к смерти	1	4
74	с ним	4	4
75	о том	4	4
76	его жизни	1	4
77	вопросу о	1	4
78	и их	1	4
79	отнюдь не	2	4
80	еще более	1	4
81	же в	2	4
82	ему в	1	3
83	в виду	4	3
84	того же	1	3
85	а следовательно	1	3
86	отношение к	2	3
87	хотя и	1	3
88	целый ряд	4	3
89	и как	3	3
90	в этот	3	3
91	уже не	2	3
92	при виде	1	3
93	таким образом	2	3
94	на первый	2	3
95	в их	1	3
96	к реальному	1	3
97	не могли	1	3
98	следовательно и	1	3
99	на основе	2	3
100	роль в	1	3
101	том как	1	3
102	жизнь и	1	3
103	а также	2	3
104	затем в	1	3
105	того что	1	3
106	что он	4	3
107	в качестве	1	3
108	для него	2	3
109	тем что	3	3
110	в форме	1	3
