N	3gram	Losev_Dial_1	Poddanst
1	в то же	4	7
2	то же время	4	7
3	в отношении к	1	5
4	в том что	7	4
5	с точки зрения	12	3
6	сами по себе	1	3
7	в сравнении с	1	3
8	с одной стороны	2	3
9	одной стороны и	2	2
10	и в то	2	2
11	и потому в	1	2
12	в ней не	1	2
13	в полной мере	1	2
14	в своем значении	1	2
15	как она есть	3	1
16	– все это	2	1
17	что это значит?	1	1
18	более или менее	3	1
19	в этом смысле	3	1
20	есть прежде всего	1	1
21	или хотя бы	2	1
22	и в этом	3	1
23	можно говорить о	1	1
24	и быть может	1	1
25	не было бы	2	1
26	бы она ни	1	1
27	и в частности	2	1
28	с ними как	1	1
29	для того кто	1	1
30	как бы она	1	1
31	если бы мы	1	1
32	по сравнению с	2	1
33	между тем в	1	1
34	значило бы что	1	1
35	не в том	1	1
36	во всяком случае	2	1
37	с другой стороны	4	1
38	в каком смысле	1	1
39	не может быть	3	1
40	но также и	1	1
41	само по себе	5	1
42	та или иная	3	1
43	но в то	1	1
44	друг с другом	1	1
45	для того чтобы	1	1
46	а никак не	1	1
47	и т д	19	1
48	быть может и	1	1
