N	3gram	Voloshinov_1	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в связи с	7	3
4	с точки зрения	20	2
5	лишнего человека в	2	2
6	но в то	2	2
7	не может быть	13	2
8	в том что	3	2
9	а между тем	1	1
10	а следовательно и	1	1
11	между прочим и	1	1
12	равно как и	1	1
13	в этом смысле	2	1
14	но в известном	1	1
15	на первый план	2	1
16	до сих пор	8	1
17	и не может	9	1
18	не было бы	1	1
19	в этом отношении	3	1
20	независимо от того	1	1
21	– это и	2	1
22	может быть и	3	1
23	но и это	1	1
24	так же как	2	1
25	в высшей степени	3	1
26	в конце концов	3	1
27	но при этом	2	1
28	быть и речи	2	1
29	все же не	1	1
30	– одна из	1	1
31	во всяком случае	2	1
32	от того как	1	1
33	с другой стороны	5	1
34	связи с этим	3	1
35	тем не менее	2	1
36	нет ничего общего	1	1
37	в свою очередь	2	1
38	это и есть	2	1
39	и в самом	1	1
40	не только не	1	1
41	имеется в виду	1	1
