N	3gram	Propp_Russ_2	Problema
1	в настоящее время	1	16
2	о том что	4	14
3	тем не менее	2	12
4	во всяком случае	1	10
5	в этом случае	6	7
6	и т д	5	6
7	в данном случае	6	5
8	с одной стороны	2	5
9	с другой стороны	1	5
10	более или менее	1	4
11	пока еще не	2	4
12	те или другие	1	4
13	на то что	1	4
14	в том что	18	4
15	что иное как	2	3
16	но и в	1	3
17	и в этом	1	3
18	не может быть	3	3
19	можно сказать что	1	3
20	не что иное	2	3
21	только тогда когда	3	3
22	имея в виду	1	2
23	том что в	1	2
24	всяком случае не	1	2
25	в советской науке	1	2
26	так что в	1	2
27	а может быть	1	2
28	можно было бы	1	2
29	может быть только	2	2
30	может быть и	1	2
31	для того чтобы	6	2
32	и многие другие	2	2
33	того или другого	1	2
34	между собой и	1	2
35	это и есть	1	2
36	вопрос о том	1	2
37	подобно тому как	3	2
38	по этому поводу	2	2
39	представление о них	1	1
40	для нас важно	1	1
41	или даже не	1	1
42	не может не	1	1
43	а это в	1	1
44	прежде всего как	1	1
45	иметь в виду	1	1
46	далеко не все	1	1
47	о том как	1	1
48	же как и	2	1
49	том что это	3	1
50	для нас важны	1	1
51	и во многих	1	1
52	но далеко не	1	1
53	между тем как	1	1
54	на самом же	2	1
55	а так как	1	1
56	в этом отношении	1	1
57	то что в	1	1
58	но это не	1	1
59	как мы уже	1	1
60	бы значительно увеличить	1	1
61	однако все эти	1	1
62	вместе с тем	4	1
63	то время как	1	1
64	так же как	4	1
65	здесь мы имеем	1	1
66	на первый взгляд	1	1
67	и на земле	1	1
68	как и вообще	1	1
69	он был бы	1	1
70	но вместе с	2	1
71	самом же деле	2	1
72	мы не можем	2	1
73	для нас не	1	1
74	в то время	2	1
75	на тот же	1	1
76	было бы значительно	1	1
77	к выводу что	1	1
78	мы не будем	2	1
79	ни одна из	1	1
80	не только на	1	1
81	что представление о	1	1
82	в этих случаях	3	1
83	мы и здесь	1	1
84	нужно было бы	1	1
85	имеет и свои	1	1
86	во многих отношениях	1	1
87	или даже просто	1	1
88	то и дело	2	1
89	этом случае на	1	1
