N	4gram	Vygotskiy__7	VeschiIm
1	не что иное как	1	8
2	одно и то же	3	5
3	есть не что иное	1	5
4	но если это так	1	2
5	заключается в том что	4	2
6	с этой точки зрения	4	2
7	с одной стороны и	3	1
8	и вместе с тем	2	1
9	нельзя сказать что оно	1	1
10	точка зрения приводит к	1	1
11	в том что это	1	1
12	что с точки зрения	1	1
13	одной стороны и с	1	1
14	из того что мы	1	1
15	в качестве одного из	1	1
16	содержит в себе в	1	1
17	в том что он	2	1
18	том что он не	1	1
19	с тем же правом	1	1
20	не только не есть	1	1
21	только на то что	1	1
22	в то время как	2	1
