N	2gram	Losev_Vlad_3	Narrotol
1	не только	25	26
2	а не	8	17
3	но и	18	15
4	при этом	3	14
5	в том	18	14
6	в качестве	3	14
7	и не	25	14
8	в этом	16	13
9	и в	40	13
10	том что	18	13
11	такого рода	4	12
12	только в	13	11
13	в частности	1	11
14	может быть	8	10
15	в данном	5	10
16	сводится к	3	9
17	так и	6	9
18	то есть	24	9
19	к тому	7	9
20	а в	7	9
21	в себе	9	8
22	то что	28	8
23	не в	3	8
24	не может	14	8
25	у него	24	6
26	в своем	8	6
27	все же	4	6
28	и к	2	6
29	но в	4	6
30	в жизни	2	6
31	никогда не	11	6
32	ничего не	5	6
33	данном случае	2	6
34	можно сказать	1	6
35	а также	8	6
36	в его	14	6
37	вслед за	1	6
38	того что	7	6
39	со стороны	2	6
40	прежде всего	10	6
41	как бы	3	6
42	я не	3	5
43	отличие от	3	5
44	что он	5	5
45	как в	1	5
46	хотя и	7	5
47	в нем	3	5
48	тем не	10	5
49	он не	8	5
50	таким образом	11	5
51	и тем	3	5
52	далеко не	3	5
53	точки зрения	13	5
54	в котором	4	5
55	место в	1	5
56	не столько	3	5
57	человеческого я	1	5
58	тем самым	2	5
59	в то	7	5
60	на него	2	5
61	о том	11	5
62	с одной	3	5
63	с другой	5	5
64	одной стороны	3	5
65	в отличие	3	5
66	то же	4	4
67	и мира	1	4
68	в ее	1	4
69	в этой	8	4
70	отнюдь не	5	4
71	перед нами	3	4
72	что это	9	4
73	тому же	5	4
74	в силу	2	4
75	уже не	9	4
76	в мире	2	4
77	об этом	6	4
78	в глазах	1	4
79	в своей	9	4
80	не к	2	4
81	в конце	12	4
82	не менее	9	4
83	при всей	1	4
84	в себя	1	4
85	если бы	3	4
86	в другом	2	4
87	истории в	2	4
88	в какой	2	4
89	свидетельствует о	2	4
90	для него	8	4
91	как и	7	4
92	как это	4	4
93	в литературе	1	4
94	не является	2	4
95	и все	4	4
96	же в	3	4
97	и у	3	4
98	жизни и	1	4
99	что в	17	4
100	все что	1	4
101	для себя	5	3
102	самом деле	1	3
103	едва ли	11	3
104	мы имеем	3	3
105	так а	1	3
106	с его	2	3
107	но не	4	3
108	что они	1	3
109	в целом	2	3
110	все эти	5	3
111	в известном	1	3
112	и его	10	3
113	так сказать	1	3
114	и по	2	3
115	которой он	1	3
116	о которой	1	3
117	точку зрения	1	3
118	тому что	4	3
119	одна из	1	3
120	пока еще	1	3
121	того чтобы	3	3
122	же время	2	3
123	по своей	2	3
124	этом отношении	2	3
125	личность не	1	3
126	той или	2	3
127	и сам	1	3
128	мира и	1	3
129	строго говоря	1	3
130	о ней	1	3
131	внимание на	1	3
132	это не	3	3
133	известном смысле	1	3
134	один из	1	3
135	никак не	4	3
136	то и	2	3
137	представить себе	1	3
138	как раз	10	3
139	и даже	6	3
140	или иной	1	3
141	только к	2	3
142	да и	6	3
143	с этой	2	3
144	и для	3	3
145	а к	1	3
146	сказать что	12	3
147	к его	2	3
148	в таком	3	3
149	только эти	1	2
150	должна быть	2	2
151	по его	2	2
152	мы не	2	2
153	же как	3	2
154	в составе	1	2
155	в будущем	1	2
156	в каждой	1	2
157	в ней	5	2
158	еще не	4	2
159	он сам	2	2
160	в чем	3	2
161	на самом	3	2
162	себе и	2	2
163	не являются	1	2
164	в самом	4	2
165	бы с	1	2
166	в нашем	2	2
167	из этих	3	2
168	роль в	2	2
169	как он	1	2
170	на то	4	2
171	что она	2	2
172	именно то	1	2
173	чтобы в	1	2
174	не будет	6	2
175	было бы	4	2
176	должен был	2	2
177	несмотря на	7	2
178	бы на	2	2
179	не зависит	1	2
180	с точки	6	2
181	и что	8	2
182	но он	1	2
183	и более	2	2
184	и такого	2	2
185	что с	1	2
186	не имеет	4	2
187	в процессе	1	2
188	не могло	1	2
189	только не	1	2
190	потому что	11	2
191	для нас	5	2
192	с таким	2	2
193	не вполне	2	2
194	у нас	5	2
195	личности в	1	2
196	и здесь	6	2
197	все то	3	2
198	в направлении	1	2
199	оно не	3	2
200	но для	3	2
201	и он	1	2
202	здесь не	3	2
203	ни слова	1	2
204	второго лица	1	2
205	всей своей	2	2
206	можно было	5	2
207	те же	1	2
208	во второй	1	2
209	том как	1	2
210	все те	1	2
211	а во	1	2
212	или иначе	2	2
213	эти два	1	2
214	что и	7	2
215	нашего я	1	2
216	но зато	1	2
217	не происходит	1	2
218	и внутреннего	1	2
219	в виде	13	2
220	в начале	2	2
221	время является	1	2
222	не все	3	2
223	в душе	1	2
224	а то	2	2
225	могло бы	2	2
226	вовсе не	13	2
227	личность по	1	2
228	представляют собой	1	2
229	только на	5	2
230	именно в	3	2
231	а с	4	2
232	в настоящем	2	2
233	говорит о	4	2
234	церкви и	3	2
235	принадлежит не	1	2
236	если не	6	2
237	так же	8	2
238	в строгом	1	2
239	к своему	2	2
240	по своему	1	2
241	о чем	1	2
242	в течение	4	2
243	которое не	1	2
244	в церкви	2	2
245	но это	6	2
246	видно что	1	2
247	к которому	1	2
248	потому не	1	2
249	в результате	4	2
250	нас нет	1	2
251	но также	1	2
252	собственно говоря	3	2
253	интерес к	1	2
254	бы в	2	2
255	хотя бы	6	2
256	только что	2	2
257	во время	1	2
258	в свою	1	2
259	точно так	4	2
260	в своих	7	2
261	по поводу	1	2
262	как на	3	2
263	они не	1	2
264	нашей памяти	1	1
265	а между	1	1
266	не иначе	2	1
267	слова является	1	1
268	как все	1	1
269	отношения к	5	1
270	также и	17	1
271	например в	1	1
272	таком случае	2	1
273	рассматривается как	1	1
274	начинается с	1	1
275	не имел	2	1
276	противоречие с	1	1
277	это и	1	1
278	так у	1	1
279	решительно все	1	1
280	думал о	1	1
281	свидетельствует об	1	1
282	из его	1	1
283	под которым	1	1
284	противном случае	1	1
285	он уже	2	1
286	нельзя назвать	2	1
287	мы никак	1	1
288	вопрос о	4	1
289	опоры на	1	1
290	но ясно	1	1
291	но она	1	1
292	как то	1	1
293	на себя	2	1
294	мы и	2	1
295	о наличии	1	1
296	жизни это	1	1
297	это время	2	1
298	и говорить	1	1
299	и самого	1	1
300	а еще	1	1
301	иное как	1	1
302	быть в	2	1
303	иначе как	1	1
304	во всех	1	1
305	а тем	2	1
306	могло быть	2	1
307	важный для	1	1
308	в сторону	2	1
309	свою жизнь	1	1
310	в общем	1	1
311	с совершенно	1	1
312	очевидно что	1	1
313	в новом	1	1
314	него с	1	1
315	не просто	10	1
316	за пределы	3	1
317	природа в	2	1
318	определяется не	1	1
319	где человеческая	1	1
320	есть личность	1	1
321	относится к	1	1
322	как первые	1	1
323	нашего сознания	1	1
324	него только	1	1
325	как говорит	2	1
326	наряду с	2	1
327	и нравственной	1	1
328	если она	1	1
329	своей жизни	1	1
330	за этим	1	1
331	и нет	1	1
332	что касается	2	1
333	в противном	1	1
334	им в	1	1
335	либо его	1	1
336	кто не	1	1
337	бог а	1	1
338	и как	7	1
339	и наконец	2	1
340	более или	5	1
341	себе не	1	1
342	здесь и	2	1
343	то в	6	1
344	а есть	2	1
345	в которой	2	1
346	бы и	4	1
347	так или	2	1
348	можно не	2	1
349	бы не	1	1
350	поскольку в	3	1
351	по преимуществу	2	1
352	с их	3	1
353	говорит не	1	1
354	есть на	1	1
355	после этого	1	1
356	в плане	1	1
357	какой бы	1	1
358	что ни	1	1
359	смысле как	1	1
360	постольку поскольку	1	1
361	поскольку она	1	1
362	исходя из	1	1
363	что является	2	1
364	забвение в	1	1
365	этом последнем	1	1
366	несомненно есть	1	1
367	есть все	4	1
368	конечно в	1	1
369	с позиций	1	1
370	его не	1	1
371	есть не	2	1
372	который так	1	1
373	этом смысле	3	1
374	всю свою	1	1
375	истории и	1	1
376	в новое	1	1
377	здесь нет	2	1
378	в это	2	1
379	ни в	10	1
380	но уже	2	1
381	но мы	2	1
382	как об	1	1
383	эту тему	1	1
384	и вопреки	1	1
385	не всегда	1	1
386	за всю	1	1
387	в я	3	1
388	жизни но	1	1
389	строгом смысле	1	1
390	должно быть	5	1
391	автора и	1	1
392	обратимся к	1	1
393	еще раз	2	1
394	не мог	6	1
395	между ними	1	1
396	на первый	2	1
397	или менее	5	1
398	она сама	1	1
399	в такой	1	1
400	и без	1	1
401	всяком случае	3	1
402	она в	1	1
403	разума а	2	1
404	все и	2	1
405	в которых	1	1
406	говоря и	1	1
407	признать что	1	1
408	впадая в	1	1
409	мир и	1	1
410	есть его	1	1
411	другом и	1	1
412	и двусмысленный	1	1
413	знания но	1	1
414	имеет смысл	1	1
415	их в	1	1
416	для нее	1	1
417	личность в	1	1
418	связи с	2	1
419	раз и	8	1
420	что есть	3	1
421	в отношении	5	1
422	можно ли	2	1
423	как можно	2	1
424	с которой	1	1
425	она не	2	1
426	иной раз	6	1
427	и притом	3	1
428	в основе	1	1
429	время как	2	1
430	иметь в	2	1
431	что иное	1	1
432	это еще	1	1
433	того и	1	1
434	а поскольку	1	1
435	и после	1	1
436	и теперь	1	1
437	свидетельствуют о	1	1
438	эти три	5	1
439	только с	2	1
440	как будто	1	1
441	в каком	4	1
442	может показаться	2	1
443	настоящего времени	1	1
444	если у	1	1
445	данности и	1	1
446	принадлежит к	1	1
447	не могут	2	1
448	есть только	9	1
449	и вполне	2	1
450	же самое	3	1
451	только еще	1	1
452	возможна только	2	1
453	не хотел	1	1
454	именно таким	1	1
455	ли в	1	1
456	жизнь оказывается	1	1
457	гласит что	1	1
458	как мы	8	1
459	тем и	1	1
460	что человек	1	1
461	и о	4	1
462	с ее	1	1
463	что все	7	1
464	в виду	3	1
465	распространяется на	1	1
466	не природа	1	1
467	то время	4	1
468	сознания в	1	1
469	если они	2	1
470	например о	1	1
471	не с	4	1
472	ясно что	1	1
473	было в	1	1
474	особенно в	1	1
475	оно как	1	1
476	во многом	2	1
477	историю своей	1	1
478	глубоко и	1	1
479	еще в	5	1
480	когда в	1	1
481	к первому	2	1
482	жизнь и	3	1
483	не имели	1	1
484	о своей	1	1
485	собой и	1	1
486	которой его	1	1
487	не на	2	1
488	произведения как	1	1
489	в личности	1	1
490	тех кто	3	1
491	то они	1	1
492	в самой	1	1
493	другими словами	1	1
494	что перед	1	1
495	или на	1	1
496	утверждает что	4	1
497	на что	1	1
498	мира а	1	1
499	с того	1	1
500	основе своей	1	1
501	может не	1	1
502	более высокой	1	1
503	это было	3	1
504	к нему	3	1
505	и откуда	1	1
506	и во	1	1
507	а потому	1	1
508	полноту и	1	1
509	во всей	1	1
510	я вижу	2	1
511	без которого	1	1
512	по разным	1	1
513	от этих	1	1
514	говорить и	1	1
515	в юности	2	1
516	и она	1	1
517	другого для	2	1
518	говорит в	3	1
519	оттолкнувшись от	1	1
520	быть и	2	1
521	с той	1	1
522	но с	2	1
523	время у	1	1
524	что только	1	1
525	одной из	2	1
526	которым он	1	1
527	как нечто	3	1
528	течение всей	1	1
529	и так	2	1
530	простой и	1	1
531	по мнению	4	1
532	мы будем	2	1
533	даже вовсе	1	1
534	так что	14	1
535	того же	2	1
536	не можем	2	1
537	вернуться к	1	1
538	в нашей	2	1
539	и чисто	3	1
540	предполагает наличие	1	1
541	него и	1	1
542	является не	3	1
543	литературе еще	1	1
544	оно всегда	1	1
545	никогда ничего	1	1
546	растворяется в	1	1
547	не будут	1	1
548	и их	1	1
549	в одном	5	1
550	конце жизни	3	1
551	не для	1	1
552	нашем сознании	1	1
553	не о	2	1
554	но что	2	1
555	к человеку	1	1
556	в системе	1	1
557	заметить что	2	1
558	не говорит	5	1
559	тем что	5	1
560	тогда в	1	1
561	то а	1	1
562	внутреннего мира	1	1
563	бы это	2	1
564	для того	2	1
565	из множества	1	1
566	о невозможности	1	1
567	в последние	1	1
568	нужно было	1	1
569	является носителем	2	1
