N	3gram	Medvedev_S_1	Problemy
1	то же время	1	10
2	в то же	1	10
3	по отношению к	2	6
4	во всяком случае	1	4
5	а между тем	1	3
6	в конце концов	2	3
7	и наконец в	1	2
8	и в то	1	2
9	что все это	1	2
10	и в этом	1	2
11	в том что	2	2
12	в том и	1	1
13	то что в	1	1
14	это вовсе не	1	1
15	благодаря тому что	1	1
16	по крайней мере	1	1
17	главным образом в	1	1
18	о том как	1	1
19	в каждом своем	1	1
20	но только в	1	1
21	бы они ни	1	1
22	они ни были	1	1
23	бы он ни	1	1
24	друг от друга	1	1
25	сама по себе	1	1
26	то же самое	1	1
