N	2gram	Savitsky_P_1	StatiiOP
1	и в	14	29
2	том что	4	27
3	в том	9	27
4	в этом	10	21
5	не только	17	19
6	но и	6	19
7	что в	4	19
8	в и	1	13
9	в его	2	13
10	между прочим	2	12
11	в которой	1	11
12	то что	4	11
13	все это	2	11
14	т е	3	10
15	и т	3	9
16	в своем	4	9
17	потому что	3	9
18	и не	12	9
19	как на	2	9
20	но в	9	8
21	как раз	2	8
22	и пр	5	8
23	в ней	6	7
24	в самом	1	7
25	в г	1	7
26	в котором	4	7
27	не столько	2	7
28	для того	3	7
29	с тем	3	7
30	вместе с	1	7
31	вопрос о	1	6
32	и на	1	6
33	все же	1	6
34	т д	1	6
35	того чтобы	1	6
36	и что	1	6
37	было бы	6	5
38	точки зрения	3	5
39	в русской	4	5
40	того что	2	5
41	между тем	3	5
42	в качестве	9	5
43	прежде всего	3	5
44	а не	2	5
45	как бы	4	5
46	хотя и	3	4
47	и к	4	4
48	в нем	3	4
49	и с	2	4
50	не в	5	4
51	но также	4	4
52	и о	5	4
53	с другой	5	4
54	именно в	2	4
55	в частности	2	4
56	еще более	2	4
57	например в	2	3
58	же как	1	3
59	сомнения что	2	3
60	русской истории	1	3
61	хотя бы	8	3
62	подчеркнуть что	1	3
63	но не	3	3
64	в общем	2	3
65	с этим	2	3
66	не было	2	3
67	что это	1	3
68	в известном	1	3
69	в начале	2	3
70	в россии	3	3
71	из них	2	3
72	в эту	2	3
73	в этих	1	3
74	по себе	4	3
75	не менее	2	3
76	что эта	1	3
77	никогда не	1	3
78	на себя	1	3
79	и по	1	3
80	и именно	1	3
81	на нее	1	3
82	за то	1	3
83	и здесь	1	3
84	всяком случае	1	3
85	из нее	1	3
86	кто был	1	3
87	а с	1	3
88	так же	1	3
89	xix века	6	3
90	другой стороны	1	3
91	давно уже	1	3
92	отношении к	5	3
93	во всяком	1	3
94	как известно	1	2
95	также и	1	2
96	тем же	1	2
97	смысл этого	1	2
98	то же	9	2
99	поэзии и	1	2
100	в полной	2	2
