N	2gram	Propp_Morf_1	SlovoVZh
1	не может	14	16
2	может быть	52	14
3	точки зрения	2	14
4	как бы	3	13
5	и его	1	13
6	таким образом	21	12
7	и в	13	12
8	по отношению	4	11
9	в нашем	3	11
10	отношению к	4	11
11	и не	12	10
12	если бы	2	9
13	так как	16	9
14	прежде всего	9	8
15	сказать что	2	7
16	для нас	2	7
17	в том	6	6
18	только в	2	6
19	при этом	1	6
20	с помощью	1	6
21	должна быть	1	5
22	то же	7	5
23	в виду	1	5
24	можно сказать	2	5
25	как в	3	5
26	но в	2	5
27	и др	10	5
28	а не	11	5
29	как и	3	5
30	что мы	2	5
31	том что	4	5
32	хотя бы	4	5
33	то что	8	5
34	на самом	4	4
35	к нему	3	4
36	в этом	14	4
37	все же	7	4
38	уже не	2	4
39	не только	4	4
40	ни было	2	4
41	отношение к	1	4
42	от того	3	4
43	так и	6	4
44	материала и	1	4
45	с другой	8	4
46	что не	1	4
47	не в	3	4
48	его в	2	4
49	дело в	1	4
50	и к	4	4
51	и на	1	4
52	здесь не	2	3
53	самом деле	4	3
54	в пределах	3	3
55	ведь и	1	3
56	ясно что	5	3
57	еще не	3	3
58	мы не	8	3
59	с героем	1	3
60	о том	2	3
61	и герой	1	3
62	бы то	3	3
63	но и	4	3
64	между тем	5	3
65	того что	3	3
66	быть и	2	3
67	и наконец	1	3
68	имеет в	1	3
69	и ее	3	3
70	все эти	2	3
71	только на	1	3
72	в себе	1	3
73	к герою	3	3
74	для него	1	3
75	он должен	2	3
76	и по	2	3
77	то ни	3	3
78	и с	1	3
79	точек зрения	1	3
80	до сих	1	3
81	ни в	1	3
82	в некоторых	3	3
83	и пр	37	3
84	в них	1	3
85	в своей	1	3
86	так же	3	3
87	тем не	5	3
88	и более	1	3
89	из этого	1	3
90	сих пор	1	3
91	не менее	5	3
92	но для	2	3
93	и для	2	3
94	так называемой	1	3
95	или не	3	3
96	в каком	2	3
97	как не	1	2
98	и то	1	2
99	как это	3	2
100	они ни	1	2
101	действия и	1	2
102	и совершенно	1	2
103	те же	1	2
104	мы имеем	9	2
105	слушателя и	1	2
106	и здесь	5	2
107	настоящее время	3	2
108	с его	2	2
109	но мы	3	2
110	и что	2	2
111	между собой	4	2
112	в чем	1	2
113	тем как	1	2
114	данном случае	1	2
115	в данном	1	2
116	в его	1	2
117	что и	7	2
118	в форме	6	2
119	независимо от	3	2
120	в формах	1	2
121	кроме того	1	2
122	как уже	2	2
123	дело с	1	2
124	в какой	3	2
125	в настоящее	3	2
126	бы не	1	2
127	с одной	1	2
128	какой степени	1	2
129	имеем в	6	2
130	он не	3	2
131	не так	1	2
132	мы можем	2	2
133	форма в	3	2
134	одно и	1	2
135	но все	3	2
136	в особенности	1	2
137	конечно в	1	2
138	на все	1	2
139	с другими	1	2
140	это не	6	2
141	до известной	1	2
142	как же	2	2
143	оно не	2	2
144	себя и	2	2
145	одной стороны	1	2
146	другой стороны	4	2
147	там где	5	2
148	в момент	1	2
149	но не	4	2
150	и подобные	1	2
151	точку зрения	1	2
152	с этой	1	2
153	она не	2	2
154	еще раз	1	2
155	с точки	2	2
156	такой же	1	2
157	в то	3	2
158	и притом	1	2
159	на него	3	2
160	известной степени	1	2
161	ничего не	4	2
162	и все	1	2
163	все они	1	2
164	в этих	13	2
165	но это	6	2
166	между ними	1	2
167	же относится	1	2
168	могут быть	16	2
169	же самое	1	2
170	что в	8	2
171	как на	1	2
172	и другие	6	2
173	не есть	1	2
174	к этому	3	2
175	если же	5	2
176	ту же	2	1
177	например в	2	1
178	как мы	6	1
179	с ее	1	1
180	момент в	1	1
181	задачи в	4	1
182	некоторые стороны	1	1
183	совершенно ясно	1	1
184	это и	2	1
185	нами выше	1	1
186	показать что	4	1
187	в художественно	1	1
188	с самого	1	1
189	то время	3	1
190	из его	2	1
191	высшей степени	1	1
192	не стремится	1	1
193	из двух	2	1
194	можно было	2	1
195	мы уже	1	1
196	а этот	1	1
197	та же	2	1
198	а эта	2	1
199	же просто	1	1
200	на что	1	1
201	к другу	2	1
202	не отвечает	1	1
203	не вполне	1	1
204	и такой	1	1
205	то она	1	1
206	для одной	1	1
207	но то	1	1
208	к целому	2	1
209	с большим	1	1
210	нашей работы	2	1
211	что каждый	1	1
212	одной формой	1	1
213	там же	1	1
214	нему в	1	1
