N	3gram	Trubetskoy_1	Analitik
1	о том что	2	6
2	в том что	7	6
3	в данном случае	3	5
4	состоит в том	1	4
5	по отношению к	1	4
6	и в этом	1	4
7	у него на	1	4
8	в этом случае	3	4
9	к тому же	1	4
10	в этом отношении	1	3
11	по крайней мере	1	3
12	того или иного	2	3
13	той или иной	3	3
14	тем не менее	1	3
15	с точки зрения	9	2
16	в то же	10	2
17	можно было бы	3	2
18	и то что	3	2
19	в значительной степени	1	2
20	то же время	10	2
21	в борьбе с	1	2
22	и тем самым	2	2
23	на то что	4	2
24	тех или иных	1	2
25	жизни но и	1	1
26	а между тем	5	1
27	между прочим и	1	1
28	как бы не	1	1
29	более или менее	4	1
30	таит в себе	1	1
31	во всех этих	1	1
32	ко всему этому	1	1
33	на этот вопрос	1	1
34	в противном случае	1	1
35	с другом в	1	1
36	несмотря на то	1	1
37	то и другое	1	1
38	в полной мере	1	1
39	до известной степени	1	1
40	в применении к	1	1
41	все что может	2	1
42	в противоречие с	2	1
43	его можно было	1	1
44	то все они	1	1
45	в свою очередь	1	1
46	в связи с	1	1
47	прежде всего в	1	1
48	и к ее	1	1
49	между нами и	1	1
50	а в том	1	1
51	только то что	1	1
52	всех этих случаях	1	1
53	не может быть	4	1
54	отнюдь не является	1	1
55	заключается в том	1	1
56	но и для	1	1
57	первый и второй	1	1
58	ни одна из	2	1
59	в самом деле	1	1
60	речь идет о	1	1
61	к тому что	2	1
62	сама по себе	2	1
63	друг с другом	14	1
64	очевидно что такой	1	1
65	точно так же	2	1
66	то же самое	1	1
67	не только для	1	1
68	с самим собой	2	1
