1	и в	21	41
2	в нем	3	30
3	и т	3	28
4	то есть	12	26
5	т п	2	23
6	в романе	10	21
7	могут быть	2	19
8	в роман	1	19
9	во всех	1	17
10	но и	3	16
11	не только	7	16
12	и не	7	16
13	а не	5	15
14	и его	6	14
15	то же	13	14
16	может быть	5	14
17	не может	4	14
18	и на	7	14
19	в то	15	14
20	слова и	1	13
21	в сущности	1	13
22	в его	13	13
23	в этом	6	12
24	же время	12	12
25	как бы	17	12
26	до конца	2	12
27	так и	2	11
28	все эти	1	9
29	себя в	1	9
30	таким образом	5	9
31	на его	3	8
32	но в	7	8
33	может не	2	8
34	или в	2	8
35	как в	8	8
36	прежде всего	4	8
37	все они	1	7
38	с ним	3	7
39	все же	5	7
40	вовсе не	5	7
41	жизни слова	1	7
42	в своей	4	7
43	не в	2	7
44	всех его	1	7
45	того же	2	6
46	оно не	1	6
47	только в	5	6
48	а в	6	6
49	и даже	3	6
50	в них	1	6
51	отношении к	1	6
52	в плане	1	6
53	в отношении	1	6
54	при этом	7	6
55	это не	4	6
56	так сказать	2	5
57	к нему	1	5
58	все это	10	5
59	еще более	2	5
60	т д	1	5
61	с другой	3	5
62	и мир	2	5
63	в основе	2	5
64	в самом	3	5
65	романа и	1	5
66	и к	1	5
67	он в	1	5
68	со своим	1	5
69	не на	1	5
70	подхода к	3	5
71	далеко не	3	5
72	в их	3	4
73	в каждом	3	4
74	в которой	3	4
75	одной стороны	1	4
76	и часто	1	4
77	перед нами	2	4
78	и наконец	2	4
79	один из	4	4
80	с одной	1	4
81	и все	6	4
82	язык в	1	4
83	в смысле	1	4
84	с его	11	4
85	ту же	3	4
86	в ней	2	4
87	все его	1	4
88	прямо и	1	4
89	по преимуществу	2	4
90	как и	12	4
91	еще не	1	4
92	другой стороны	1	4
93	преимущественно в	1	4
94	к предмету	1	4
95	всех этих	1	4
96	в процессе	1	4
97	кроме того	1	4
98	о нем	1	4
99	и от	4	4
100	и с	3	4
101	одним из	4	4
102	с ее	3	4
103	том же	1	4
104	связанные с	1	3
105	не могут	1	3
106	было бы	1	3
107	в свою	7	3
108	его и	1	3
109	для него	6	3
110	и здесь	1	3
111	в истории	1	3
112	форм и	1	3
113	европейского романа	1	3
114	данном случае	2	3
115	также и	1	3
116	лишь на	1	3
117	он не	8	3
118	никогда не	3	3
119	к тому	2	3
120	в качестве	2	3
121	с ними	1	3
122	с этим	1	3
123	в первом	2	3
124	автора к	1	3
125	его в	1	3
126	в него	2	3
127	в других	1	3
128	бы и	1	3
129	все время	1	3
130	именно в	2	3
131	одной из	4	3
132	нем и	1	3
133	в романном	1	3
134	в том	7	3
135	и других	3	3
136	у него	7	3
137	и ее	1	3
138	она не	1	3
139	в своем	4	3
140	не было	1	3
141	в данном	2	3
142	с этой	1	3
143	по всей	1	3
144	и прямо	1	3
145	переходит в	2	3
146	к языку	1	3
147	из них	2	3
148	единство и	1	3
149	и сам	1	3
150	но эти	1	3
151	о том	6	3
152	в себе	2	3
153	хотя бы	5	3
154	на всю	1	3
155	в основном	4	3
156	так как	3	3
157	того что	3	3
158	наконец в	1	2
159	автора в	1	2
160	свою очередь	1	2
161	возникает из	1	2
162	на ту	1	2
163	все свои	1	2
164	на протяжении	3	2
165	хотя и	3	2
166	по своему	1	2
167	а с	1	2
168	в виде	3	2
169	но он	2	2
170	ни было	1	2
171	а как	2	2
172	вокруг него	1	2
173	нас в	1	2
174	эпохи и	1	2
175	так что	2	2
176	на все	1	2
177	перестает быть	1	2
178	в частности	2	2
179	одним словом	1	2
180	уже не	3	2
181	мы все	1	2
182	к этому	2	2
183	сказать что	2	2
184	его социальная	1	2
185	и о	1	2
186	том что	11	2
187	не укладывается	1	2
188	бы его	1	2
189	ибо он	1	2
190	лежащая в	1	2
191	и по	3	2
192	вне его	1	2
193	в духе	2	2
194	чем он	1	2
195	к своей	1	2
196	одна из	2	2
197	на том	2	2
198	как к	2	2
199	и у	2	2
200	он весь	1	2
201	не есть	1	2
202	и роман	1	2
203	эти слова	2	2
204	в одном	1	2
205	оно было	1	2
206	даже в	3	2
207	даже как	1	2
208	в атмосфере	1	2
209	иногда в	1	2
210	самого автора	1	2
211	одного из	2	2
212	в романах	13	2
213	столь же	1	2
214	только на	2	2
215	в котором	6	2
216	связана с	1	2
217	жизнь в	1	2
218	мы уже	1	2
219	и тем	2	2
220	так в	1	2
221	что все	3	2
222	но не	3	2
223	связь с	1	2
224	в ее	1	2
225	той же	3	2
226	но по	1	2
227	как раз	1	2
228	время как	1	2
229	дело не	3	2
230	можно сказать	2	2
231	на самом	3	2
232	до сих	1	2
233	сливается с	3	2
234	жизни но	1	2
235	на этом	1	2
236	от других	2	2
237	роль в	1	2
238	связи с	1	2
239	так же	3	2
240	потому что	5	2
241	однако этот	1	2
242	же и	2	2
243	xx века	1	2
244	же как	1	2
245	между тем	1	2
246	его как	2	2
247	а на	1	2
248	с которым	2	2
249	для них	1	2
250	если мы	1	2
251	был бы	2	2
252	в целом	4	2
253	между собой	1	2
254	сих пор	1	2
255	и мыслит	1	2
256	и стиля	1	2
257	у нас	1	2
258	то в	2	2
259	и те	1	2
260	в этих	2	2
261	тому что	1	2
262	известном смысле	1	2
263	одновременно и	2	2
264	от этой	1	2
265	в известном	1	2
266	здесь они	1	1
267	сквозь эту	1	1
268	его можно	1	1
269	и того	2	1
270	мира в	2	1
271	в направлении	2	1
272	цитату из	1	1
273	однако в	2	1
274	значение в	1	1
275	от него	1	1
276	в бесах	3	1
277	в одной	2	1
278	в другую	1	1
279	и вследствие	1	1
280	что важнейшие	1	1
281	и степени	1	1
282	с установкой	1	1
283	находятся в	1	1
284	он и	1	1
285	с первым	1	1
286	и их	1	1
287	принцип в	1	1
288	слово о	1	1
289	в основу	1	1
290	к одному	1	1
291	для осуществления	1	1
292	в действительности	1	1
293	целый ряд	1	1
294	же не	1	1
295	за ними	1	1
296	в эти	1	1
297	романа мы	1	1
298	в герое	1	1
299	из общего	1	1
300	даже с	1	1
301	и свое	1	1
302	далек от	1	1
303	да и	1	1
304	рождается в	1	1
305	в один	2	1
306	все попытки	1	1
307	самом же	1	1
308	предшественников диккенса	1	1
309	эта идея	1	1
310	есть не	2	1
311	и до	1	1
312	приводит к	2	1
313	на эту	4	1
314	по крайней	2	1
315	который превращает	1	1
316	сколько в	1	1
317	оказывалось что	1	1
318	своего собственного	2	1
319	заключается в	1	1
320	отсюда его	1	1
321	отличную от	1	1
322	с большой	4	1
323	что по	1	1
324	и содержание	1	1
325	не столько	2	1
326	вследствие этого	1	1
327	героя и	2	1
328	и среди	2	1
329	между прочим	1	1
330	но с	1	1
331	слияние с	1	1
332	как известно	1	1
333	его не	1	1
334	в душе	1	1
335	или на	1	1
336	и есть	1	1
337	тем поразительнее	1	1
338	тем более	1	1
339	среди них	1	1
340	людей и	2	1
341	личности и	2	1
342	в действительной	1	1
343	в точном	1	1
344	мы имеем	1	1
345	к истории	1	1
346	только как	1	1
347	не умел	1	1
348	в литературе	2	1
349	вместе с	2	1
350	входят в	1	1
351	смерти в	1	1
352	но что	1	1
353	есть только	1	1
354	не имеют	4	1
355	и если	1	1
356	прибегает к	1	1
357	этот рассказ	1	1
358	в двух	2	1
359	тем не	2	1
360	чем у	1	1
361	отличие от	2	1
362	на смену	2	1
363	живет и	1	1
364	в самой	1	1
365	и было	1	1
366	этой концепции	2	1
367	то у	1	1
368	едва только	1	1
369	еще далеко	1	1
370	место в	3	1
371	действительности и	2	1
372	имеем в	1	1
373	сколько бы	1	1
374	глава ii	1	1
375	же за	1	1
376	с каким	2	1
377	в виноградов	1	1
378	живет на	1	1
379	эту форму	1	1
380	в литературу	1	1
381	но она	2	1
382	нет никакой	1	1
383	сам же	1	1
384	укладываются в	1	1
385	в этой	5	1
386	что может	1	1
387	то ни	1	1
388	ни в	1	1
389	когда она	1	1
390	в диалоге	1	1
391	являются необходимыми	1	1
392	прочим в	1	1
393	же деле	1	1
394	поэтому мы	1	1
395	не встречается	1	1
396	только не	1	1
397	но если	3	1
398	из всех	4	1
399	на этот	1	1
400	для этого	1	1
401	может сделать	1	1
402	та же	4	1
403	не определяют	1	1
404	смысл на	1	1
405	лежал в	1	1
406	жизни и	3	1
407	две линии	1	1
408	не значит	1	1
409	самого начала	3	1
410	он по	1	1
411	и он	2	1
412	человек может	2	1
413	какие бы	1	1
414	в комнату	2	1
415	рассматривается как	1	1
416	здесь лишь	1	1
417	и место	1	1
418	к слову	1	1
419	не все	1	1
420	в социальном	1	1
421	настоящим и	1	1
422	словами уже	1	1
423	истории литературного	1	1
424	в несколько	1	1
425	и уже	1	1
426	в нее	1	1
427	часто в	1	1
428	герои не	1	1
429	человека в	6	1
430	только эта	1	1
431	и что	1	1
432	и где	1	1
433	же в	1	1
434	а затем	2	1
435	в какой	1	1
436	действительности в	2	1
437	бы то	1	1
438	таков образ	1	1
439	к своим	1	1
440	отношение автора	1	1
441	его губы	1	1
442	чем в	1	1
443	в таком	1	1
444	это было	1	1
445	своей книге	1	1
446	всегда внутренне	1	1
447	до этого	2	1
448	дело в	3	1
449	из самых	1	1
450	в более	1	1
451	ибо в	2	1
452	ее с	1	1
453	собой в	2	1
454	она всегда	1	1
455	не от	1	1
456	вот что	1	1
457	но только	2	1
458	них слово	1	1
459	и другие	3	1
460	соотнесен с	1	1
461	их все	1	1
462	и со	1	1
463	о котором	2	1
464	что она	2	1
465	от всех	1	1
466	к чисто	1	1
467	из уст	1	1
468	для эпохи	1	1
469	эта ироническая	1	1
470	эти два	1	1
471	рассказе и	1	1
472	встречаются и	1	1
473	же он	1	1
474	не к	1	1
475	к людям	1	1
476	от последнего	1	1
477	раз на	2	1
478	не знает	2	1
479	особенно в	1	1
480	сознания в	1	1
481	отличается от	1	1
