N	3gram	Ircho_Kome_3	Vladivir
1	о том что	4	7
2	в том что	9	7
3	в свое время	1	5
4	то что он	1	5
5	то же время	4	4
6	в течение всей	1	4
7	на то что	1	4
8	в то же	4	4
9	на этот раз	2	4
10	более или менее	1	3
11	что он не	2	3
12	в конце концов	2	3
13	с другой стороны	2	3
14	в ответ на	1	2
15	на первый план	1	2
16	и в то	1	2
17	так как он	1	2
18	и в частности	1	2
19	то обстоятельство что	2	2
20	в том чтобы	1	2
21	в то время	2	2
22	за это время	1	2
23	об этом и	1	2
24	во всяком случае	3	2
25	к этому времени	1	2
26	что у него	1	2
27	можно сказать что	1	2
28	тем не менее	3	2
29	для того чтобы	6	2
30	что и в	2	2
31	к тому же	4	2
32	и т д	1	2
33	хотя бы по	2	1
34	никогда не любил	1	1
35	но и все	1	1
36	не без основания	1	1
37	не говоря уже	1	1
38	в самом деле	6	1
39	в настоящее время	1	1
40	и по существу	1	1
41	в том же	1	1
42	так и не	1	1
43	во время своего	1	1
44	как это было	1	1
45	и не может	1	1
46	говоря уже о	1	1
47	но в этот	1	1
48	и во многом	1	1
49	бы то ни	2	1
50	в неловкое положение	1	1
51	к себе на	1	1
52	об этом не	1	1
53	когда он был	1	1
54	вместе с тем	3	1
55	как раз в	1	1
56	все то же	1	1
57	то время как	2	1
58	то ни было	2	1
59	с одной стороны	3	1
60	в связи с	3	1
61	и в этом	1	1
62	из любви к	1	1
63	которой мы сталкиваемся	1	1
64	так или иначе	2	1
65	в этот момент	1	1
66	из них не	1	1
67	любовь к ней	3	1
68	еще одна цитата	1	1
69	с ней в	1	1
70	нет ни одного	1	1
71	не по годам	1	1
72	до тех пор	3	1
73	вступить с ней	1	1
74	и о том	1	1
75	так и в	1	1
76	более далекого от	1	1
77	но как раз	1	1
78	в свою очередь	6	1
79	отношения к нему	1	1
80	выходят за пределы	1	1
81	и без того	1	1
82	и никогда не	1	1
83	но и здесь	1	1
84	в известной степени	2	1
85	за то что	1	1
86	к тому что	1	1
87	что он говорит	1	1
88	по этому поводу	1	1
89	и меня и	1	1
90	лицом к лицу	1	1
91	и с его	1	1
92	только об этом	1	1
93	в этом отношении	2	1
