N	3gram	Bakhtin_Pr_3	PoTuStor
1	с точки зрения	4	6
2	по ту сторону	2	4
3	на самом деле	10	4
4	с самого начала	8	4
5	в чем не	2	3
6	в этом смысле	4	3
7	до сих пор	1	3
8	по крайней мере	3	3
9	во всяком случае	5	3
10	не может быть	6	3
11	ни в чем	2	3
12	можно сказать что	1	3
13	в большинстве случаев	2	3
14	друг на друга	2	2
15	в нем нет	1	2
16	в самом деле	3	2
17	но в общем	2	2
18	в его целом	2	2
19	о том что	2	2
20	мы можем сказать	1	2
21	и в этом	2	2
22	если бы он	1	1
23	и того же	1	1
24	одних и тех	1	1
25	то что я	2	1
26	на этом моменте	1	1
27	и столь же	1	1
28	всех без исключения	1	1
29	если б я	1	1
30	в нем и	1	1
31	на них мы	1	1
32	подобно тому как	2	1
33	но даже и	1	1
34	одного и того	1	1
35	сих пор еще	1	1
36	это последнее слово	1	1
37	и лишь в	1	1
38	ни в ком	1	1
39	как мы сказали	1	1
40	бы то ни	4	1
41	а может быть	2	1
42	в этом отношении	1	1
43	в другом человеке	1	1
44	рано или поздно	1	1
45	из одного плана	1	1
46	со всех сторон	1	1
47	вместе с тем	2	1
48	и тех же	1	1
49	что я в	1	1
50	и со всеми	1	1
51	не чем иным	1	1
52	в данном случае	1	1
53	хотя и с	1	1
54	то ни было	4	1
55	чтобы пробиться к	1	1
56	что может быть	1	1
57	в высшей степени	3	1
58	всяком случае не	1	1
59	с ним и	1	1
60	в этот момент	1	1
61	б я не	1	1
62	один из моментов	1	1
63	конечно не случайно	1	1
64	в том что	1	1
65	с чрезвычайною ясностью	1	1
66	мы говорили что	1	1
67	и ни в	1	1
68	а вместе с	1	1
69	чем иным как	1	1
70	и пр в	1	1
71	так и в	2	1
72	его отношение к	4	1
73	и к другим	1	1
74	и прежде всего	4	1
75	по его мнению	1	1
76	но оно в	1	1
77	или во всяком	1	1
78	и что он	1	1
79	друг с другом	2	1
80	на всю жизнь	2	1
81	для того чтобы	1	1
82	можем сказать что	1	1
83	может быть даже	3	1
84	мы увидим что	2	1
85	как мы знаем	2	1
86	обратим внимание на	1	1
87	той или иной	2	1
88	только себя и	1	1
89	мы еще не	1	1
