N	2gram	Ircho_Kome_1	formyVre
1	и в	22	46
2	в этом	3	22
3	и т	9	14
4	прежде всего	5	14
5	вовсе не	2	13
6	и его	8	12
7	во всех	1	11
8	не только	10	11
9	только в	3	11
10	т п	5	11
11	как бы	1	10
12	то есть	1	10
13	во время	5	10
14	точки зрения	4	10
15	в том	11	10
16	но в	4	10
17	мы уже	1	9
18	не в	6	9
19	у него	3	9
20	но и	11	9
21	вместе с	2	9
22	и не	8	9
23	и для	1	9
24	мира и	1	9
25	то же	6	8
26	как и	9	8
27	для того	1	8
28	того чтобы	1	8
29	потому что	5	8
30	в его	5	8
31	из них	10	8
32	в основном	1	8
33	жизни и	1	8
34	и на	3	7
35	так и	5	7
36	в них	3	7
37	может быть	9	7
38	в одном	8	7
39	то что	2	7
40	как мы	4	6
41	еще не	2	6
42	все же	3	6
43	при этом	5	6
44	человека в	1	6
45	и с	3	6
46	его в	3	6
47	те же	1	6
48	и во	2	6
49	так как	4	6
50	в особенности	1	6
51	здесь в	3	6
52	все это	5	6
53	и все	3	6
54	но не	2	5
55	с этим	1	5
56	в своем	1	5
57	связанные с	2	5
58	в античном	1	5
59	он не	3	5
60	в нем	4	5
61	в то	10	5
62	в дальнейшем	1	5
63	и у	3	5
64	и др	1	5
65	в частности	3	5
66	по существу	1	5
67	что в	6	5
68	также и	1	4
69	в мире	1	4
70	и он	1	4
71	что они	4	4
72	в истории	5	4
73	как в	5	4
74	уже в	5	4
75	из этих	1	4
76	в себе	2	4
77	том что	12	4
78	в котором	4	4
79	эпизоде с	1	4
80	место в	3	4
81	том же	1	4
82	же время	4	4
83	к себе	1	4
84	в образе	3	4
85	с ним	1	4
86	о том	8	4
87	все его	1	4
88	так что	1	4
89	мир в	1	4
90	за ними	1	4
91	отнюдь не	1	4
92	с этой	1	4
93	еще более	1	4
94	же в	4	4
95	почти все	1	3
96	ему в	1	3
97	того же	2	3
98	слова и	1	3
99	отношение к	3	3
100	хотя и	3	3
101	целый ряд	1	3
102	и как	3	3
103	и художественного	1	3
104	в этот	1	3
105	в большинстве	1	3
106	эпохи возрождения	1	3
107	т д	4	3
108	и по	6	3
109	таким образом	8	3
110	здесь мы	3	3
111	в совершенно	1	3
112	в их	4	3
113	в которых	1	3
114	не могли	1	3
115	следовательно и	1	3
116	же самое	2	3
117	к тому	6	3
118	роль в	1	3
119	в борьбе	1	3
120	жизнь и	1	3
121	в другом	4	3
122	а также	4	3
123	как у	1	3
124	затем в	2	3
125	что и	4	3
126	того что	1	3
127	тот же	3	3
128	что он	6	3
129	во времени	1	3
130	в качестве	4	3
131	на протяжении	4	3
132	за счет	3	3
133	большинстве случаев	1	3
134	тем что	4	3
135	в форме	2	3
136	что на	1	3
137	и даже	5	3
138	и прежде	1	3
139	о чем	1	3
140	мира в	1	3
141	в это	1	3
142	в этих	1	3
143	ее в	2	3
144	а в	6	3
145	всего в	3	3
146	и другие	1	3
147	к этому	4	3
148	том числе	1	3
149	ту же	2	2
150	тем же	1	2
151	из самых	1	2
152	почти всегда	2	2
153	и людей	2	2
154	в сущности	2	2
155	говорить о	1	2
156	пародия на	1	2
157	он был	2	2
158	совсем не	2	2
159	если в	1	2
160	друг от	1	2
161	то в	1	2
162	и к	1	2
163	в этой	7	2
164	с одной	3	2
165	особое место	1	2
166	только один	2	2
167	как он	1	2
168	не могла	1	2
169	после этого	1	2
170	и вот	4	2
171	на этом	2	2
172	людей и	1	2
173	по аналогии	1	2
174	по себе	1	2
175	далеко не	1	2
176	с тем	1	2
177	которой он	1	2
178	мы видели	2	2
179	женщин и	1	2
180	те явления	1	2
181	представление о	1	2
182	одном из	4	2
183	но он	2	2
184	друг другу	1	2
185	и более	1	2
186	и почти	1	2
187	в той	1	2
188	в отношении	6	2
189	вплоть до	1	2
190	на землю	3	2
191	ссылаясь на	2	2
192	этом отношении	3	2
193	в духе	1	2
194	принадлежит к	2	2
195	могут быть	3	2
196	и потому	1	2
197	и это	1	2
198	и о	3	2
199	от друга	1	2
200	чем не	1	2
201	в себя	2	2
202	не мог	3	2
203	особенно в	1	2
204	отсюда и	1	2
205	находится в	2	2
206	утверждает что	1	2
207	борьбе с	1	2
208	и только	1	2
209	в литературе	1	2
210	один из	5	2
211	только под	1	2
212	и других	7	2
213	до того	1	2
214	в конце	6	2
215	каждый из	3	2
216	протяжении всего	2	2
217	до сих	2	2
218	с другой	5	2
219	именно в	4	2
220	было бы	2	2
221	наконец в	1	2
222	у нас	3	2
223	не знает	1	2
224	жизни но	1	2
225	до конца	2	2
226	что все	1	2
227	не может	2	2
228	так же	3	2
229	как это	3	2
230	по своему	3	2
231	в данном	1	2
232	наряду с	2	2
233	одновременно с	1	2
234	а потом	1	2
235	сих пор	2	2
236	о его	1	2
237	друг на	1	2
238	с большой	1	2
239	сказал что	1	2
240	в двух	1	2
241	у них	1	2
242	но это	2	2
243	как на	1	2
244	во всяком	2	2
245	все что	2	2
246	которых не	1	1
247	к полному	1	1
248	можно говорить	1	1
249	чтобы не	1	1
250	мы здесь	1	1
251	на самом	1	1
252	к эпохе	2	1
253	части и	1	1
254	идет о	3	1
255	обстоит дело	1	1
256	здесь и	2	1
257	в какой-то	1	1
258	и политическая	1	1
259	и больше	1	1
260	видеть в	2	1
261	этот отрывок	1	1
262	а как	1	1
263	со всех	1	1
264	мира как	1	1
265	для своего	1	1
266	миру и	1	1
267	что уже	1	1
268	вопрос о	3	1
269	и новых	1	1
270	время как	4	1
271	из того	1	1
272	комедию и	1	1
273	в каждой	1	1
274	всех сторон	1	1
275	это время	2	1
276	в ней	1	1
277	в народном	5	1
278	те не	1	1
279	традиционный образ	1	1
280	в чем	3	1
281	тем как	2	1
282	но конечно	1	1
283	не входит	1	1
284	с трудом	1	1
285	в общем	1	1
286	отличие от	2	1
287	за пределы	2	1
288	в настоящем	2	1
289	что во	1	1
290	в трагедии	2	1
291	каждая из	1	1
292	под открытым	1	1
293	из уст	1	1
294	искусстве и	1	1
295	все остальные	3	1
296	однако не	1	1
297	существующему и	1	1
298	в полном	1	1
299	когда он	1	1
300	что по	2	1
301	его к	1	1
302	быть объяснена	1	1
303	и материальной	1	1
304	имеет свои	1	1
305	и этим	1	1
306	хотя она	1	1
307	в самом	2	1
308	в которой	6	1
309	тон в	1	1
310	реальная жизнь	1	1
311	бы не	1	1
312	так в	4	1
313	на поверхность	1	1
314	остановиться на	1	1
315	и тот	1	1
316	и те	1	1
317	ее как	1	1
318	о других	1	1
319	но прежде	1	1
320	идей и	1	1
321	стороны в	1	1
322	мы можем	4	1
323	понятий и	1	1
324	на его	5	1
325	большую часть	1	1
326	чтобы в	1	1
327	об отражении	1	1
328	его от	1	1
329	около двух	1	1
330	так например	1	1
331	но все	1	1
332	до эпохи	1	1
333	всех отношениях	1	1
334	в каждом	1	1
335	для характеристики	2	1
336	в состоянии	2	1
337	перспективы и	1	1
338	они должны	1	1
339	другом случае	1	1
340	об этом	1	1
341	является конечно	1	1
342	на этой	1	1
343	и иногда	1	1
344	это было	1	1
345	как тот	1	1
346	дома и	1	1
347	собой на	1	1
348	задняя часть	1	1
