N	2gram	Vygotskiy__7	slovoVRo
1	и в	26	41
2	в нем	2	30
3	и т	1	28
4	могут быть	2	19
5	во всех	6	17
6	не только	24	16
7	и не	18	16
8	точки зрения	28	16
9	но и	11	16
10	а не	6	15
11	то же	8	14
12	в то	3	14
13	и его	12	14
14	может быть	7	14
15	не может	11	14
16	слова и	10	13
17	в сущности	9	13
18	в его	4	13
19	в этом	29	12
20	до конца	5	12
21	языка и	1	12
22	как бы	6	12
23	так и	3	11
24	в большинстве	2	10
25	в той	4	10
26	все эти	6	9
27	таким образом	23	9
28	той или	1	9
29	или иной	1	9
30	точка зрения	1	8
31	как в	4	8
32	но в	4	8
33	на его	2	8
34	с точки	21	8
35	как мы	14	8
36	или в	2	8
37	слова в	5	8
38	прежде всего	7	8
39	отношение к	2	7
40	все же	6	7
41	в слове	11	7
42	в своей	3	7
43	не в	4	7
44	вовсе не	2	7
45	с ним	3	7
46	и следовательно	5	7
47	все они	1	7
48	во всяком	2	7
49	того же	1	6
50	при этом	1	6
51	это не	3	6
52	в них	1	6
53	в отношении	2	6
54	слова как	5	6
55	только в	8	6
56	большинстве случаев	2	6
57	по своим	2	6
58	а в	2	6
59	отношении к	1	6
60	в каждый	1	5
61	и к	7	5
62	в самом	9	5
63	так сказать	1	5
64	с другими	3	5
65	всяком случае	1	5
66	все это	3	5
67	в основе	3	5
68	к нему	3	5
69	как его	1	5
70	с другой	4	5
71	и непосредственно	1	5
72	еще более	1	5
73	каждый данный	1	5
74	ту же	2	4
75	одним из	2	4
76	поэзии и	2	4
77	в ней	3	4
78	еще не	4	4
79	за пределы	1	4
80	данный момент	1	4
81	перед нами	2	4
82	и наконец	4	4
83	в которой	11	4
84	но именно	2	4
85	всех этих	1	4
86	не как	1	4
87	и с	5	4
88	лишь в	2	4
89	входит в	2	4
90	языка но	1	4
91	как и	15	4
92	речь на	1	4
93	в их	2	4
94	речи в	27	4
95	том же	2	4
96	в процессе	5	4
97	и для	5	4
98	с ее	2	4
99	ничего не	2	4
100	о нем	1	4
101	прямо и	1	4
102	язык в	1	4
103	один из	2	4
104	оно и	1	4
105	с одной	5	4
106	языка как	1	4
107	одной стороны	5	4
108	и все	1	4
109	там где	1	4
110	и потому	3	4
111	и от	4	4
112	в смысле	6	4
113	кроме того	1	4
114	здесь в	1	4
115	и часто	1	4
116	другой стороны	1	4
117	также и	2	3
118	в первом	3	3
119	почти всегда	2	3
120	из подчиненных	1	3
121	в зависимости	1	3
122	от всякой	2	3
123	зависимости от	1	3
124	же слово	1	3
125	данном случае	5	3
126	в своем	1	3
127	языка так	1	3
128	момент его	1	3
129	из этих	3	3
130	выражение в	6	3
131	в себе	9	3
132	внутренней речи	67	3
133	и может	1	3
134	и почти	1	3
135	его в	2	3
136	было бы	6	3
137	он не	3	3
138	в понимании	1	3
139	и ее	2	3
140	от его	1	3
141	точку зрения	2	3
142	которые в	2	3
143	она не	5	3
144	слово оно	1	3
145	не могло	1	3
