N	3gram	Ircho_Kome_1	UchenyiS
1	с другой стороны	5	3
2	то же время	4	3
3	бы то ни	2	3
4	в то же	4	3
5	в этой области	1	3
6	то ни было	2	3
7	а между тем	1	2
8	то же самое	2	2
9	до сих пор	2	2
10	в этом отношении	3	2
11	в том что	9	2
12	в конце концов	4	2
13	но прежде всего	1	1
14	и в конце	1	1
15	или иначе связанные	1	1
16	оно все же	1	1
17	содержания и формы	1	1
18	другой стороны в	1	1
19	так или иначе	1	1
20	и в их	1	1
21	иначе связанные с	1	1
22	более или менее	1	1
23	по меньшей мере	2	1
24	большей или меньшей	1	1
25	он может быть	1	1
26	и не только	1	1
27	сам по себе	1	1
28	в той же	1	1
29	в первую очередь	2	1
30	и независимо от	1	1
31	и прежде всего	1	1
32	у нас в	2	1
33	когда бы то	2	1
34	на то что	2	1
35	в этой же	1	1
36	и у других	1	1
37	в данном случае	1	1
38	может быть в	1	1
39	не только в	1	1
40	с одной стороны	3	1
