N	3gram	Berdyaev_O_1	EvropaiC
1	в том что	1	16
2	друг с другом	1	9
3	на то что	1	7
4	для того чтобы	3	6
5	в самом деле	1	5
6	по сравнению с	1	5
7	о том что	1	4
8	в том случае	1	4
9	том случае если	1	4
10	не может быть	2	4
11	и то что	1	3
12	как и в	1	2
13	и в том	1	2
14	чтобы все эти	1	2
15	заключает в себе	1	2
16	и все что	1	2
17	друг к другу	1	2
18	между этими двумя	1	2
19	как и все	2	2
20	ко всему этому	1	2
21	во всяком случае	1	2
22	и не очень	1	1
23	все та же	1	1
24	не в том	1	1
25	от всех тех	1	1
26	в самой природе	1	1
27	и все это	1	1
28	и не может	1	1
29	или лучше сказать	1	1
30	никто не может	1	1
31	вместо того чтобы	1	1
32	есть одно из	1	1
33	это было бы	2	1
34	смысле этого слова	1	1
35	что у него	2	1
36	у него в	5	1
37	а это было	1	1
38	и все же	1	1
39	а не в	2	1
40	никогда не было	2	1
41	указывали на то	1	1
42	хотя и не	1	1
43	но в этой	1	1
