N	2gram	Bakhtin_fo_1	VeschiIm
1	не может	6	33
2	не только	9	31
3	может быть	11	29
4	и не	14	28
5	и в	50	26
6	вещи и	1	24
7	то что	6	24
8	и есть	1	23
9	и т	8	21
10	а не	3	20
11	есть только	2	17
12	и следовательно	4	15
13	только в	4	14
14	по себе	2	13
15	того что	2	13
16	и то	4	12
17	есть не	3	12
18	все же	6	12
19	в себя	1	12
20	что это	1	12
21	было бы	2	12
22	и ее	3	12
23	но и	8	12
24	сказать что	3	12
25	таким образом	11	11
26	с нею	1	11
27	то же	11	10
28	в ней	4	10
29	как бы	2	10
30	потому что	4	10
31	уже не	2	10
32	что мы	2	10
33	в самом	8	9
34	и с	4	9
35	вещей и	1	9
36	в том	9	9
37	что не	3	9
38	еще и	2	9
39	прежде всего	15	9
40	с ее	6	8
41	в себе	3	8
42	на то	1	8
43	и это	4	8
44	ничего не	9	8
45	себя и	3	8
46	она есть	1	8
47	также и	2	7
48	в этом	25	7
49	его в	3	7
50	с другими	3	7
51	том что	4	7
52	в то	9	7
53	что оно	1	7
54	как с	1	7
55	себя в	1	7
56	и их	8	7
57	так как	6	7
58	как раз	13	7
59	от всего	1	7
60	совершенно не	2	7
61	с собою	1	6
62	и как	10	6
63	но в	10	6
64	бы и	1	6
65	одно и	3	6
66	бытие и	1	6
67	точки зрения	5	6
68	необходимо чтобы	2	6
69	с ним	2	6
70	она не	1	6
71	отличается от	1	6
72	ясно что	2	6
73	должно быть	1	6
74	и только	1	6
75	так что	1	6
76	если мы	2	6
77	ни с	2	6
78	для него	2	6
79	когда мы	1	6
80	быть только	3	6
81	в результате	6	6
82	жизни и	8	6
83	что в	5	6
84	того же	8	5
85	и до	5	5
86	ведь и	1	5
87	в сущности	3	5
88	на себя	2	5
89	в чем	2	5
90	но не	5	5
91	отнюдь не	5	5
92	вообще не	3	5
93	это не	6	5
94	с тем	3	5
95	не в	5	5
96	в отношении	3	5
97	одна из	2	5
98	только и	5	5
99	у нас	1	5
100	для себя	7	5
101	свою очередь	1	5
102	в ее	6	5
103	должны быть	1	5
104	если бы	5	5
105	еще не	5	5
106	или не	2	5
107	она имеет	1	5
108	и для	4	5
109	из себя	1	5
110	а в	3	5
111	в свою	2	5
112	мы не	3	4
113	я не	1	4
114	как я	1	4
115	учение об	1	4
116	и явления	1	4
117	в их	6	4
118	во всех	6	4
119	точка зрения	1	4
120	нет и	2	4
121	независимо от	1	4
122	его на	2	4
123	с этим	6	4
124	в своем	4	4
125	однако не	1	4
126	с чем	1	4
127	не предполагает	1	4
128	на почве	2	4
129	как и	8	4
130	между собою	1	4
131	что значит	1	4
132	с точки	2	4
133	и более	1	4
134	на себе	1	4
135	же время	9	4
136	должен быть	1	4
137	смысле и	1	4
138	о том	1	4
139	с другой	2	4
140	что и	3	4
141	быть и	2	4
142	этот вопрос	1	4
143	то и	1	4
144	из них	1	4
145	бытия и	1	4
146	тем что	2	4
147	и даже	2	4
148	даже не	2	4
149	когда я	1	4
150	и потому	3	4
151	мы говорим	1	4
152	в данном	2	4
153	как только	1	4
154	не существует	1	4
155	и все	6	4
156	между ними	3	4
157	оно не	2	4
158	самом деле	1	3
159	к другому	2	3
160	отношения к	3	3
161	или ее	1	3
162	мы имеем	1	3
163	и сущность	1	3
164	вопрос о	2	3
165	из того	1	3
166	момент в	2	3
167	явлений и	1	3
168	себе не	1	3
169	как оно	2	3
170	в нем	24	3
171	по самому	2	3
172	могла бы	1	3
173	было в	1	3
174	в жизни	6	3
175	и тогда	1	3
176	можно только	2	3
177	в своей	2	3
178	нельзя и	1	3
179	все это	4	3
180	есть именно	2	3
181	есть еще	1	3
