N	3gram	Bakhtin_sl_2	formyVre
1	и т п	33	11
2	с точки зрения	3	8
3	в связи с	2	7
4	для того чтобы	2	7
5	не только в	2	5
6	в пространстве и	1	4
7	то же время	4	4
8	в рыцарском романе	1	4
9	в то же	4	4
10	как мы уже	2	4
11	мы уже сказали	1	3
12	и в особенности	2	3
13	в том числе	1	3
14	в средние века	1	3
15	и в то	1	3
16	но и в	1	3
17	во всех этих	1	3
18	мы уже говорили	1	3
19	в большинстве случаев	5	3
20	в том что	4	3
21	и т д	2	3
22	а следовательно и	1	2
23	пространстве и времени	1	2
24	и в поэзии	1	2
25	в этом случае	6	2
26	на первый план	1	2
27	до сих пор	2	2
28	сами по себе	1	2
29	том числе и	1	2
30	может быть и	2	2
31	бы она ни	1	2
32	она ни была	1	2
33	не для того	1	2
34	в истории романа	1	2
35	в этом отношении	3	2
36	на протяжении всего	1	2
37	средние века и	1	2
38	т п если	1	1
39	даже там где	1	1
40	не может не	1	1
41	в чем не	2	1
42	в той или	3	1
43	и связанные с	2	1
44	и в сущности	2	1
45	зоне контакта с	1	1
46	не значит конечно	1	1
47	то есть не	1	1
48	а вовсе не	2	1
49	значит конечно что	1	1
50	в зоне контакта	1	1
51	и наконец в	2	1
52	границе между эпосом	1	1
53	с ним но	1	1
54	там где они	2	1
55	оно не может	3	1
56	том что он	1	1
57	у марка аврелия	1	1
58	т п наконец	1	1
59	и как он	1	1
60	мы наблюдаем те	1	1
61	с установкой на	3	1
62	и не только	1	1
63	таков например и	1	1
64	в действии и	1	1
65	что он не	1	1
66	в отличие от	12	1
67	особенно важное значение	1	1
68	между тем как	1	1
69	точном смысле слова	1	1
70	дело идет об	1	1
71	но в этом	1	1
72	не меньше чем	2	1
73	как пародия на	1	1
74	эпосом и романом	1	1
75	в романе в	3	1
76	рано или поздно	1	1
77	со всех сторон	1	1
78	по самому своему	1	1
79	он как мы	1	1
80	самому своему существу	1	1
81	и на развитие	1	1
82	конечно не в	1	1
83	же в значительной	1	1
84	новый смысл и	1	1
85	как и в	1	1
86	о которых мы	1	1
87	с одной стороны	5	1
88	а также и	2	1
89	однако в пределах	1	1
90	века и в	1	1
91	до некоторой степени	1	1
92	не до конца	1	1
93	в дальнейшей истории	1	1
94	для него самого	1	1
95	но здесь это	1	1
96	это не значит	1	1
97	все более и	1	1
98	могут быть сведены	1	1
99	имеет громадное значение	1	1
100	проявляется вовсе не	1	1
101	с другой стороны	1	1
102	не может быть	15	1
103	именно в том	1	1
104	в широком смысле	1	1
105	но в то	3	1
106	в частности в	1	1
107	ни в чем	2	1
108	и затем в	1	1
109	стихотворный рыцарский роман	2	1
110	в свою очередь	2	1
111	в них и	1	1
112	этим определяется и	1	1
113	и в них	1	1
114	о том что	1	1
115	для романного жанра	3	1
116	с самого начала	1	1
117	более и более	1	1
118	себя в них	3	1
119	т п в	2	1
120	но все же	4	1
121	также и в	1	1
122	лежит на границе	2	1
123	один из многих	1	1
124	приобретает новый смысл	1	1
125	в другом случае	1	1
126	уже не только	1	1
127	это как бы	1	1
128	наблюдаем те же	1	1
129	на границе между	2	1
130	не входят в	1	1
131	чувствует себя в	1	1
132	между словом и	3	1
133	всего может быть	1	1
134	и в нем	1	1
135	между эпосом и	1	1
136	у августина у	1	1
137	всех этих актов	1	1
138	всех этих случаях	1	1
139	рыцарского романа в	1	1
140	человека и его	2	1
141	сюда прежде всего	2	1
142	реального мира и	1	1
143	одна из самых	1	1
144	как мы видели	1	1
145	той или иной	5	1
146	в точном смысле	2	1
147	только с помощью	1	1
