N	2gram	Tiupa_Teor_1	Problemy
1	и в	18	46
2	то есть	12	40
3	и не	13	27
4	может быть	17	23
5	не может	4	19
6	как бы	5	19
7	в нем	4	17
8	в этом	8	16
9	и т.п	4	14
10	не только	16	14
11	слова в	2	13
12	как мы	1	12
13	как и	4	12
14	но и	9	12
15	перед нами	2	12
16	точки зрения	9	11
17	в одном	2	11
18	и на	1	11
19	а не	9	11
20	не в	7	10
21	в пределах	5	10
22	между ними	4	10
23	прежде всего	2	9
24	вовсе не	3	9
25	в большинстве	2	9
26	в том	16	9
27	с точки	3	9
28	и к	3	9
29	в его	6	9
30	в самом	4	9
31	или в	3	8
32	большинстве случаев	1	8
33	в себе	9	7
34	еще не	4	7
35	как раз	2	7
36	по себе	1	7
37	голосов в	1	7
38	что ж	1	7
39	слова и	1	7
40	в сущности	1	7
41	слова с	1	7
42	есть в	2	6
43	в романе	3	6
44	то же	7	6
45	и его	8	6
46	в каждом	1	6
47	ни в	2	6
48	никогда не	4	6
49	хотя и	3	6
50	только в	6	6
51	но в	9	6
52	все это	2	6
53	что он	1	6
54	на фоне	2	6
55	слово в	1	6
56	к одному	1	6
57	же время	5	5
58	отношению к	4	5
59	рядом с	1	5
60	в жизни	2	5
61	к нему	1	5
62	с самим	1	5
63	во всех	1	5
64	себе самом	1	5
65	особенно в	1	5
66	это не	2	5
67	за пределы	2	5
68	по отношению	4	5
69	и сам	1	5
70	в то	6	5
71	при этом	12	5
72	речи и	2	5
73	у него	1	5
74	к другому	1	5
75	в структуре	2	5
76	с его	5	5
77	о себе	2	5
78	о том	1	5
79	если мы	2	5
80	в самой	2	5
81	так как	1	5
82	все эти	2	4
83	героя и	5	4
84	в словах	1	4
85	и здесь	2	4
86	точек зрения	1	4
87	очень часто	1	4
88	можно сказать	3	4
89	еще и	1	4
90	так и	10	4
91	таким образом	3	4
92	приводит к	5	4
93	в их	2	4
94	но не	9	4
95	что в	9	4
96	превращается в	2	4
97	например в	1	4
98	совершенно не	1	4
99	потому что	3	4
100	в себя	3	4
101	то что	3	4
102	в этих	3	4
103	том же	1	4
104	как в	5	4
105	своего рода	7	4
106	должно быть	1	4
107	к ним	1	4
108	уже не	4	4
109	он не	3	4
110	том числе	2	4
111	этих двух	2	4
112	здесь не	1	4
113	на себя	2	4
114	в виду	5	4
115	не знает	3	4
116	том что	9	4
117	до минимума	1	3
118	одним из	2	3
119	с ее	3	3
120	образом и	1	3
121	между этими	1	3
122	но он	3	3
123	так же	2	3
124	отличается от	2	3
125	и для	2	3
126	здесь и	1	3
127	и их	1	3
128	числе и	1	3
129	на то	1	3
130	значение для	1	3
131	с помощью	1	3
132	в условиях	1	3
133	и другие	2	3
134	в конце	2	3
135	того же	3	3
136	в центре	1	3
137	в своей	6	3
138	более того	1	3
139	бы в	1	3
140	ведь это	1	3
141	по своей	3	3
142	и только	1	3
143	отношение к	5	3
144	самим собою	2	3
145	в формах	2	3
146	такого что	1	3
147	в той	2	3
148	к своему	1	3
149	и даже	2	3
150	в диалоге	2	3
151	между двумя	3	3
152	из этих	3	3
153	отличие от	6	3
154	в отношении	3	3
155	дело в	2	3
156	и что	3	3
157	и о	4	3
158	в единстве	1	3
159	нам уже	1	3
160	только на	1	3
161	в слове	3	3
162	той же	1	3
163	имеем в	3	3
164	или менее	2	3
165	мы имеем	7	3
166	жизнь и	1	3
167	если бы	3	3
168	и т.д	3	3
169	далеко не	2	3
170	другой стороны	5	3
171	в этой	3	3
172	тем что	1	3
173	в повести	2	3
174	что и	2	3
175	жизнь в	1	3
176	не могут	2	3
177	в отличие	6	3
178	в мире	19	3
179	себя и	1	3
180	с собой	1	3
181	она не	1	3
182	также и	1	3
183	на этом	1	3
184	их в	3	3
185	с другой	7	3
186	слова как	3	3
187	по существу	1	3
188	и до	1	3
189	себя в	6	3
190	тем же	1	3
191	было бы	1	3
192	никак не	1	3
193	и это	2	3
194	но именно	1	3
195	в своем	4	3
196	человека и	1	3
197	более или	2	3
198	но с	1	2
199	отношении к	2	2
200	в другом	3	2
201	вопрос о	1	2
202	время и	1	2
203	в одно	2	2
204	с нею	1	2
205	о котором	1	2
206	могут оказаться	2	2
207	не была	1	2
208	в поэзии	2	2
209	отношение между	1	2
210	этого слова	3	2
211	не менее	4	2
212	композиционные формы	1	2
213	целый ряд	1	2
214	но дело	1	2
215	в произведении	3	2
216	бы ни	1	2
217	так что	1	2
218	от автора	1	2
219	если в	2	2
220	могут быть	4	2
221	а между	1	2
222	так в	4	2
223	в художественном	3	2
224	для этого	1	2
225	об этом	2	2
226	оглядывается на	1	2
227	себя внимание	1	2
228	а в	13	2
229	слова не	1	2
230	те же	1	2
231	же явления	1	2
232	оно и	1	2
233	не входят	1	2
234	утверждение о	1	2
235	литературной речи	1	2
236	остановимся на	1	2
237	того и	1	2
238	вместе с	2	2
239	этом смысле	2	2
240	к жизни	2	2
241	в рассказе	2	2
242	для него	2	2
243	раз в	1	2
244	для понимания	2	2
245	в узком	3	2
246	между тем	5	2
247	к тому	2	2
248	только к	1	2
249	времени и	2	2
250	своей природе	2	2
251	сама по	1	2
252	жизни не	1	2
253	которые в	1	2
254	языковых стилей	1	2
255	они не	1	2
256	в системе	1	2
257	на почве	4	2
258	у нас	2	2
259	зрения и	2	2
260	отношения к	2	2
261	лишь в	6	2
262	не входит	1	2
263	связи между	1	2
264	сказать что	3	2
265	но на	1	2
266	автора и	1	2
267	в одной	1	2
268	не могло	2	2
269	к определенному	1	2
270	высказывание в	1	2
271	ту же	1	2
272	только и	1	2
273	и тем	3	2
274	главного героя	1	2
275	из своих	1	2
276	же как	1	2
277	значение в	1	2
278	этих случаях	1	2
279	остается в	1	2
280	социальных диалектов	1	2
281	тем как	1	2
