N	4gram	Losev_Prob_2	Marksizm
1	бы то ни было	1	4
2	в той или иной	1	3
3	на самом же деле	1	3
4	с одной стороны и	3	2
5	какой бы то ни	1	2
6	все более и более	1	2
7	одним и тем же	1	2
8	с нашей точки зрения	1	2
9	но тем не менее	1	1
10	уже с самого начала	2	1
11	может быть и более	1	1
12	уже о том что	1	1
13	говоря уже о том	1	1
14	тем не менее в	1	1
15	в том числе и	2	1
16	на тот или иной	1	1
17	ни в какой мере	1	1
18	не что иное как	3	1
19	и не может быть	1	1
20	в обычном смысле слова	1	1
21	а может быть и	1	1
22	у нас не будет	1	1
23	же в таком случае	1	1
24	в точном смысле слова	1	1
25	в какой мере не	1	1
26	несмотря на то что	1	1
27	не говоря уже о	4	1
28	можно прямо сказать что	1	1
29	свидетельствует о том что	1	1
