N	2gram	Medvedev_U_1	NovoeSre
1	а не	10	17
2	и в	14	16
3	не может	7	16
4	и не	8	11
5	что в	1	9
6	в том	2	8
7	он не	1	8
8	в этом	7	7
9	может быть	6	7
10	как и	3	7
11	с его	2	6
12	не в	2	6
13	никогда не	1	6
14	но это	2	6
15	в ней	1	5
16	не только	10	5
17	все это	5	5
18	в нем	1	5
19	о том	1	4
20	перестает быть	5	4
21	то что	7	4
22	это не	3	4
23	прежде всего	8	4
24	не было	1	4
25	должно быть	1	4
26	и потому	1	4
27	и для	2	4
28	и все	1	4
29	с другой	4	3
30	должна быть	2	3
31	человека и	1	3
32	за пределы	1	3
33	конечно не	4	3
34	не значит	1	3
35	но и	4	3
36	это было	2	3
37	не есть	2	3
38	с тем	1	3
39	к лицу	1	3
40	в своей	3	3
41	в россии	4	3
42	она не	1	3
43	что такое	4	3
44	не существует	1	3
45	сказать что	1	3
46	и это	1	2
47	же как	1	2
48	к созданию	1	2
49	так и	1	2
50	природе и	1	2
51	мы не	2	2
52	и с	2	2
53	для этого	3	2
54	вот почему	7	2
55	реакцией против	1	2
56	и что	1	2
57	быть в	1	2
58	но не	2	2
59	но в	3	2
60	с одной	1	2
61	в себе	2	2
62	уже не	1	2
63	у него	1	2
64	что она	2	2
65	что все	2	2
66	нет и	1	2
67	и даже	1	2
68	этом смысле	2	2
69	том что	2	2
70	одной стороны	1	2
71	другой стороны	3	2
72	обращение к	1	2
73	по существу	2	2
74	если нет	1	2
75	и формы	3	2
76	но для	1	2
77	равно как	1	2
78	в то	3	2
79	формы и	2	2
80	не ставит	1	2
81	хотя бы	5	2
82	все они	2	2
83	могут быть	2	2
84	и через	2	1
85	для себя	1	1
86	он может	1	1
87	вверх ногами	1	1
88	приводит к	1	1
89	слова а	1	1
90	споров о	1	1
91	можно сказать	1	1
92	смысле и	1	1
93	в виду	1	1
94	нужно будет	1	1
95	все в	1	1
96	не могут	2	1
97	переходит в	1	1
98	в его	2	1
99	и только	5	1
100	и бессодержательной	1	1
101	но тут	1	1
102	в значительной	1	1
103	в своем	1	1
104	от вопроса	1	1
105	что он	2	1
106	только в	2	1
107	в этот	1	1
108	в самом	2	1
109	он в	1	1
110	приобретает характер	1	1
111	в известном	1	1
112	для всех	2	1
113	и у	2	1
114	вопроса о	2	1
115	механическое сцепление	1	1
116	в конце	2	1
117	последние годы	1	1
118	не для	1	1
119	не случайно	2	1
120	тем что	2	1
121	это значит	1	1
122	в последние	1	1
123	было бы	3	1
124	а это	1	1
125	и быть	1	1
126	было и	1	1
127	превращается в	2	1
128	и возвращается	1	1
129	в этой	4	1
130	этого не	1	1
131	и техники	1	1
132	была уже	1	1
133	отказаться от	1	1
134	что мы	2	1
135	он и	1	1
136	себя на	1	1
137	но если	1	1
138	изжит и	1	1
139	в котором	1	1
140	только для	1	1
141	не столько	2	1
142	у нас	3	1
143	и формального	1	1
144	но он	1	1
145	их в	1	1
146	что этот	1	1
147	быть не	1	1
148	по себе	2	1
149	в той	1	1
150	и вся	1	1
151	и истории	1	1
152	сих пор	2	1
153	она должна	1	1
154	это уже	2	1
155	до сих	2	1
156	этого конечно	1	1
157	так много	1	1
158	но также	1	1
159	всего что	1	1
160	тут мы	1	1
161	гораздо больше	1	1
162	в области	3	1
163	в период	1	1
164	себе нового	1	1
165	в которой	1	1
166	нам далеко	1	1
167	как на	1	1
168	все что	1	1
