N	3gram	Tiupa_Disk_1	Vladivir
1	там же с	1	10
2	в том что	13	9
3	в связи с	1	8
4	во всяком случае	1	6
5	тем не менее	1	6
6	что же касается	2	5
7	по крайней мере	2	4
8	содержит в себе	1	4
9	дело в том	1	3
10	более или менее	2	3
11	с точки зрения	1	3
12	в отличие от	4	3
13	в то же	3	3
14	не в том	3	3
15	то же время	4	3
16	о том что	5	3
17	и вообще в	1	2
18	не говоря уже	2	2
19	на то что	1	2
20	том что он	1	2
21	говоря уже о	2	2
22	сам по себе	1	2
23	в данном случае	2	2
24	в том чтобы	2	2
25	не только в	2	2
26	и на его	1	2
27	в свою очередь	3	2
28	а в том	2	2
29	к этому времени	1	2
30	заключается в том	1	2
31	несмотря на все	1	2
32	как мы видели	1	2
33	в которой он	1	1
34	ни к чему	1	1
35	потому что в	1	1
36	именно здесь в	1	1
37	также и в	1	1
38	в том числе	2	1
39	в этом случае	1	1
40	он не может	1	1
41	как раз и	1	1
42	не было и	1	1
43	до сих пор	1	1
44	не менее об	1	1
45	и в то	1	1
46	только то что	1	1
47	в этом отношении	1	1
48	себе не может	1	1
49	вместе с тем	1	1
50	мысли и ее	2	1
51	до известной степени	1	1
52	не могли быть	1	1
53	и как бы	3	1
54	как и вообще	1	1
55	к той же	1	1
56	хотя бы на	1	1
57	в первую очередь	1	1
58	и в том	1	1
59	не может быть	3	1
60	может быть названа	1	1
61	в свое время	1	1
62	по себе не	2	1
63	имелись в виду	1	1
64	далеко не все	1	1
65	что во всех	1	1
66	в этом же	1	1
67	к чему не	1	1
68	здесь как и	1	1
69	с самого начала	1	1
70	это в основном	1	1
71	и прежде всего	1	1
72	ему в этом	1	1
73	но все же	1	1
74	в этом рассуждении	1	1
75	можно сказать что	2	1
76	в этом смысле	1	1
77	может быть в	1	1
78	к тому же	4	1
79	пока еще не	3	1
