N	2gram	Losev_Prob_3	EvropaiC
1	таким образом	9	32
2	в том	21	31
3	и в	44	24
4	том что	12	20
5	все эти	7	19
6	не может	7	18
7	то что	23	17
8	может быть	28	15
9	все же	6	15
10	точки зрения	5	13
11	самом деле	3	12
12	в своем	5	12
13	до сих	2	12
14	в этом	17	12
15	сих пор	2	12
16	с этим	2	11
17	все это	5	11
18	во всех	2	10
19	так и	10	10
20	из себя	3	10
21	как бы	9	10
22	того же	2	9
23	на то	3	9
24	при этом	4	9
25	как и	10	9
26	в результате	2	9
27	что в	8	9
28	а и	1	8
29	в самом	3	8
30	с точки	2	8
31	мы говорили	2	8
32	знаем что	1	8
33	не в	13	8
34	идет речь	3	8
35	ясно что	6	8
36	если бы	3	8
37	так же	5	8
38	и все	3	8
39	на самом	7	7
40	из этих	1	7
41	о которых	3	7
42	или менее	1	7
43	не менее	10	7
44	по существу	2	7
45	того чтобы	1	7
46	к тому	3	7
47	для этого	6	7
48	о том	6	7
49	и что	7	7
50	что он	9	7
51	для того	1	7
52	но и	10	7
53	и не	35	7
54	более или	1	7
55	о котором	1	7
56	из этого	3	7
57	должна быть	1	6
58	еще не	5	6
59	и на	1	6
60	в этой	3	6
61	несмотря на	1	6
62	и при	2	6
63	от друга	2	6
64	с ним	7	6
65	что и	9	6
66	при чем	1	6
67	того что	8	6
68	говорили выше	1	6
69	только в	19	6
70	все они	2	6
71	так что	12	6
72	так как	9	6
73	мы можем	6	6
74	друг от	2	6
75	с другой	7	6
76	вместе с	2	6
77	в европе	1	6
78	отличается от	4	6
79	у них	2	6
80	как на	2	6
81	из всех	1	5
82	и к	6	5
83	но в	12	5
84	в которой	2	5
85	что это	3	5
86	в целом	6	5
87	в себе	8	5
88	тому же	1	5
89	не только	14	5
90	и если	6	5
91	но все	3	5
92	что все	2	5
93	и с	9	5
94	лишь в	1	5
95	его в	3	5
96	между собою	2	5
97	и без	4	5
98	что с	1	5
99	в то	9	5
100	как будто	3	5
101	что при	2	5
102	по сравнению	2	5
103	в его	9	5
104	потому что	25	5
105	у него	1	5
106	именно в	2	5
107	далеко не	1	5
108	ничем не	2	5
109	другой стороны	5	5
110	по своему	2	5
111	сравнению с	2	5
112	быть и	3	5
113	и для	2	5
114	и от	9	5
115	к этому	1	5
116	одним из	1	4
117	в такой	1	4
118	и то	14	4
119	то же	13	4
120	мы уже	4	4
121	из того	3	4
122	между собой	1	4
123	хотя и	5	4
124	он не	8	4
125	всех этих	2	4
126	в одну	1	4
127	факт что	1	4
128	из них	2	4
129	в их	2	4
130	оказывается что	1	4
131	тем не	10	4
132	из которых	2	4
133	связи с	8	4
134	в дальнейшем	1	4
135	никогда не	6	4
136	все прочие	1	4
137	и у	2	4
138	если мы	16	4
139	не есть	35	4
140	в виде	6	4
141	не так	3	4
142	а потому	1	4
143	в конце	5	4
144	а с	2	4
145	которых мы	1	4
146	конце концов	3	4
147	тот факт	1	4
148	не могут	1	4
149	это есть	3	4
150	самого себя	3	4
151	этом случае	5	4
152	то ясно	1	4
153	мы должны	7	4
154	хотя бы	3	4
155	состоит из	5	4
156	совершенно не	4	4
157	в таком	5	4
158	же как	3	3
159	историческую эпоху	1	3
160	вопрос о	1	3
161	не вполне	1	3
162	но даже	4	3
163	самих себя	1	3
164	в данном	9	3
165	мы будем	2	3
166	которые не	1	3
167	в истории	1	3
168	на нас	2	3
169	которых идет	1	3
170	так или	1	3
171	в нашем	5	3
172	в тех	3	3
173	в нем	9	3
174	и по	2	3
175	и может	2	3
176	заключается в	4	3
177	это не	9	3
178	в жизни	1	3
179	с тем	5	3
180	этих областях	1	3
181	и того	1	3
182	одного и	1	3
183	в этих	2	3
184	что если	1	3
185	представление о	1	3
186	даже в	1	3
187	что их	2	3
188	образом в	1	3
189	для нас	16	3
190	всякой другой	1	3
191	во всем	1	3
192	от того	2	3
193	у нас	10	3
194	что оно	2	3
195	ничего общего	7	3
196	и это	9	3
197	то ни	6	3
198	данном случае	7	3
199	жизнь и	2	3
200	и вообще	8	3
201	с одной	2	3
202	настоящее время	2	3
203	отличаются друг	2	3
204	даже если	2	3
205	очень много	3	3
206	в начале	2	3
207	при помощи	8	3
208	и других	1	3
209	от тех	2	3
210	отличие от	3	3
211	или иначе	1	3
212	прежде всего	3	3
213	а наоборот	1	3
214	же не	2	3
215	в связи	7	3
216	и потому	7	3
217	по одному	1	3
218	мы сказали	1	3
219	случаях когда	1	3
