N	3gram	Savitsky_P_1	NovoeSre
1	не может быть	1	4
2	в этом смысле	1	2
3	вместе с тем	1	2
4	так же как	1	2
5	с одной стороны	3	2
6	с другой стороны	1	2
7	нужно помнить что	2	1
8	что в этом	1	1
9	есть прежде всего	1	1
10	в том числе	2	1
11	философской мысли но	1	1
12	и не может	1	1
13	в эту эпоху	1	1
14	в жизни народа	1	1
15	сами по себе	3	1
16	в отличие от	1	1
17	но и в	2	1
18	том числе и	1	1
19	заключает в себе	2	1
20	коммунистической партии в	1	1
21	или иная форма	1	1
22	не только в	4	1
23	в известном смысле	1	1
24	не в том	1	1
25	в извращенной форме	1	1
26	во всяком случае	1	1
27	и в формах	1	1
28	и пр в	1	1
29	та или иная	1	1
30	в последние годы	1	1
31	в большинстве случаев	1	1
32	и не менее	1	1
33	россию от европы	1	1
34	в том что	4	1
35	в россии и	1	1
